chord,note_1,note_2,note_3,note_4,note_5,note_6,note_7,note_8,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8
Ab:maj(9),Ab,C,Eb,Bb,,,,,415.3046975799451,523.2511306011974,622.253967444162,932.3275230361803,,,,
Ab:maj(9)/9,Ab,C,Eb,Bb,,,,,415.3046975799451,523.2511306011974,622.253967444162,932.3275230361803,,,,
Ab:maj(9)/3,Ab,C,Eb,Bb,,,,,415.3046975799451,523.2511306011974,622.253967444162,932.3275230361803,,,,
Bb:maj/3,Bb,D,F,,,,,,466.1637615180899,587.3295358348153,698.456462866008,,,,,
Eb:maj,Eb,G,Bb,,,,,,311.1269837220808,391.99543598174927,466.1637615180899,,,,,
Ab:maj,Ab,C,Eb,,,,,,415.3046975799451,523.2511306011974,622.253967444162,,,,,
Bb:maj,Bb,D,F,,,,,,466.1637615180899,587.3295358348153,698.456462866008,,,,,
B:maj,B,D#,F#,,,,,,493.8833012561241,622.253967444162,739.988845423269,,,,,
Db:maj/4,Db,F,Gb,Ab,,,,,277.182630976872,349.2282314330038,369.99442271163434,415.3046975799451,,,,
Bb:min7,Bb,Db,F,Ab,,,,,466.1637615180899,554.3652619537443,698.456462866008,830.6093951598907,,,,
Ab:min7,Ab,Cb,Eb,Gb,,,,,415.3046975799451,493.8833012561241,622.253967444162,739.988845423269,,,,
Db:maj,Db,F,Ab,,,,,,277.182630976872,349.2282314330038,415.3046975799451,,,,,
Db:maj9(#11),Db,F,Ab,C,Eb,G,,,277.182630976872,349.2282314330038,415.3046975799451,523.2511306011974,622.253967444162,783.990871963499,,
C:min7,C,Eb,G,Bb,,,,,261.6255653005985,311.1269837220808,391.99543598174927,466.1637615180899,,,,
Ab:maj9(#11),Ab,C,Eb,G,Bb,D,,,415.3046975799451,523.2511306011974,622.253967444162,783.990871963499,932.3275230361803,1174.659071669631,,
Gb:maj9(#11),Gb,Bb,Db,F,Ab,C,,,369.99442271163434,466.1637615180899,554.3652619537443,698.456462866008,830.6093951598907,1046.5022612023952,,
F:min7,F,Ab,C,Eb,,,,,349.2282314330038,415.3046975799451,523.2511306011974,622.253967444162,,,,
Gb:7,Gb,Bb,Db,Fb,,,,,369.99442271163434,466.1637615180899,554.3652619537443,659.2551138257401,,,,
C:maj9(#11),C,E,G,B,D,F#,,,261.6255653005985,329.62755691286986,391.99543598174927,493.8833012561241,587.3295358348153,739.988845423269,,
Bb:9,Bb,D,F,Ab,C,,,,466.1637615180899,587.3295358348153,698.456462866008,830.6093951598907,1046.5022612023952,,,
"Eb:7(b9,11,13)",Eb,G,Bb,Db,Fb,Ab,C,,311.1269837220808,391.99543598174927,466.1637615180899,554.3652619537443,659.2551138257401,830.6093951598907,1046.5022612023952,
Ab:dim7,Ab,Cb,Ebb,Gbb,,,,,415.3046975799451,493.8833012561241,587.3295358348153,698.456462866008,,,,
Ab:maj7,Ab,C,Eb,G,,,,,415.3046975799451,523.2511306011974,622.253967444162,783.990871963499,,,,
"Eb:9(11,13)",Eb,G,Bb,Db,F,Ab,C,,311.1269837220808,391.99543598174927,466.1637615180899,554.3652619537443,698.456462866008,830.6093951598907,1046.5022612023952,
Eb:min7,Eb,Gb,Bb,Db,,,,,311.1269837220808,369.99442271163434,466.1637615180899,554.3652619537443,,,,
D:9(#11),D,F#,A,C,E,G#,,,293.66476791740746,369.99442271163434,440.0,523.2511306011974,659.2551138257401,830.6093951598907,,
Db:maj7,Db,F,Ab,C,,,,,277.182630976872,349.2282314330038,415.3046975799451,523.2511306011974,,,,
E:7,E,G#,B,D,,,,,329.62755691286986,415.3046975799451,493.8833012561241,587.3295358348153,,,,
Bb:min7/4,Bb,Db,Eb,F,Ab,,,,466.1637615180899,554.3652619537443,622.253967444162,698.456462866008,830.6093951598907,,,
