jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz
billboard_55.jams,Freeze-Frame,J. Geils Band,Masters Of Rock,2,239.830204081,03/03/2003,,USEM38800164,3099613.0,https://www.deezer.com/track/3099613,https://music.youtube.com/watch?v=Y9mPp5IZbrY,
billboard_864.jams,Baby I'm Burnin',Dolly Parton,The Very Best Of Dolly Parton,8,158.484897959,07/03/2007,9366cf0c-19e9-4b9b-acfb-bb8a7c0c2a4f,USRN17800016,989314.0,https://www.deezer.com/track/989314,https://music.youtube.com/watch?v=pl0q1x7nRf8,
billboard_537.jams,Suite: Judy Blue Eyes,"Crosby, Stills & Nash",So Far,11,449.455487528,19/08/1986,8f5021ec-8fd8-4999-b6aa-77c65070a333,USAT20901715,3828186.0,https://www.deezer.com/track/3828186,https://music.youtube.com/watch?v=OvGfQCsfzUo,
billboard_167.jams,Back in the High Life Again,Steve Winwood,Revolutions: The Very Best Of Steve Winwood (UK/ROW Version),14,262.6961678,07/06/2010,f459677d-c280-489b-ad8e-c54012fa4db5,GBUM71002702,6717792.0,https://www.deezer.com/track/6717792,https://music.youtube.com/watch?v=xY1I2Arf7pA,
billboard_472.jams,Where Are You,Dinah Washington,"Soul Sisters, Vol. 1",14,136.097959183,12/02/2013,df5e4dc6-ed4a-4709-bc68-d2b8d85189e6,GBBXS2033915,1142497882.0,https://www.deezer.com/track/1142497882,https://music.youtube.com/watch?v=9sqP9syR0HQ,
billboard_188.jams,Talk Back Trembling Lips,Johnny Tillotson,The EP Collection,16,158.511020408,28/11/2014,,GBVVQ1500921,110576424.0,https://www.deezer.com/track/110576424,https://music.youtube.com/watch?v=XRvShHmqjAo,
billboard_649.jams,Live To Tell,Madonna,True Blue,4,352.121292517,08/03/2005,b3ec50ff-f200-4600-a1cf-c4b4afcf2c3b,USWB19903144,678369.0,https://www.deezer.com/track/678369,https://music.youtube.com/watch?v=ISgE0ALH4gQ,
billboard_219.jams,Stoned Love,The Supremes,Hitsville USA - The Motown Singles Collection 1959-1971,14,181.577142857,11/01/2019,12d802bf-4dae-4550-b1be-da7eef720a9a,USMO17084719,613101542.0,https://www.deezer.com/track/613101542,https://music.youtube.com/watch?v=cbYFiIOgkCU,
billboard_130.jams,I Saw Her Standing There,The Beatles,1958-1962,15,175.830204081,25/12/2022,,NLHR52135216,2443658695.0,https://www.deezer.com/track/2443658695,https://music.youtube.com/watch?v=oxwAB3SECtc,
billboard_560.jams,Naked Eyes,Always Something There to Remind Me,Naked Eyes,,220.865306122,,,,,,https://music.youtube.com/watch?v=e2fQxbEshtA,
billboard_833.jams,Jamie,Eddie Holland,Best of Disco Dance - Classics,17,145.240816326,27/10/2013,0510db7b-2d84-4e38-bc9c-50c051f28f4e,USMO16100027,1394056642.0,https://www.deezer.com/track/1394056642,https://music.youtube.com/watch?v=g2Oy5ICE8u8,
billboard_425.jams,Who Will You Run To,Heart,Greatest Hits 1985-1995,7,245.420408163,08/06/2000,c7822ace-fdcf-4443-80a9-e60fbe296c06,USCA20000460,3102861.0,https://www.deezer.com/track/3102861,https://music.youtube.com/watch?v=WRQq_Nx7XaE,
billboard_14.jams,Ebony Eyes,The Everly Brothers,Chock House Blues,4,186.266213151,14/10/2020,5ec8f641-a106-434a-8408-9609dab983a7,QMAT31536991,1108421702.0,https://www.deezer.com/track/1108421702,https://music.youtube.com/watch?v=0PdUzoYEs9k,
billboard_825.jams,Jungle Boogie,Kool and the Gang,Wild And Peaceful,3,186.200816326,06/03/2008,afd7680d-0df0-41d8-8d80-318090702f90,USPR37308011,2114458.0,https://www.deezer.com/track/2114458,https://music.youtube.com/watch?v=QGKiC2suCHQ,
billboard_576.jams,True Colors,Cyndi Lauper,All For You,9,228.222244897,14/08/2015,531c800f-ae39-4942-aeeb-05a44f1dcdcf,USSM11500536,105160154.0,https://www.deezer.com/track/105160154,https://music.youtube.com/watch?v=ExkmlgRNIhM,
billboard_126.jams,Do You Love Me,The Contours,The Very Best of the Contours,1,174.367346938,29/03/2011,e6cb9aab-a9c2-4ead-9503-42282a4952a2,USXTN1047114,544525982.0,https://www.deezer.com/track/544525982,https://music.youtube.com/watch?v=uRsoWlYMO-4,
billboard_433.jams,That's Old Fashioned (That's The Way Love Should Be),The Everly Brothers,40 Greatest Hits,29,142.471836734,01/12/2014,bb811d6e-86b2-4063-ab88-aab82e66e521,USDEI1337425,67945701.0,https://www.deezer.com/track/67945701,https://music.youtube.com/watch?v=-IerGMEYHhk,
billboard_599.jams,Handy Man,Jimmy Jones,The Spinning Wheel,4,122.435918367,16/03/2021,70ec0961-742c-4b72-b89e-4338e36c8aab,QMAHS1525805,1277694312.0,https://www.deezer.com/track/1277694312,https://music.youtube.com/watch?v=Wf6ZuwccJ48,
billboard_608.jams,Jump (for My Love),The Pointer Sisters,80s 100 Hits - Volume 2,83,241.88217687,08/04/2011,2439db27-7952-4017-a794-d57609417c02,USRC18308013,10287171.0,https://www.deezer.com/track/10287171,https://music.youtube.com/watch?v=KXHLV7sH-WU,
billboard_258.jams,I'd Love To Change The World,Ten Years After,Together at Home: ’80s Fantasy Concert,13,224.914285714,,6da484ef-6ac1-4d17-9abf-d06e56943307,,,,https://music.youtube.com/watch?v=TLu53UFQRdY,
billboard_43.jams,Goin' Back,The Byrds,Mr. Tambourine Man - The Best Of,11,207.960816326,15/04/2004,60d4a61f-9d1f-47b4-8767-9d8049e73737,USSM10024600,72292806.0,https://www.deezer.com/track/72292806,https://music.youtube.com/watch?v=pjmYyXiA3lA,
billboard_171.jams,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,Teenage Mutant Ninja Turtles,1,232.462222222,,dc071aa2-2d73-4b95-8bc4-18fbfbd64a1e,,,,https://music.youtube.com/watch?v=J3AKMIn8xGM,
billboard_521.jams,Bird Dog,The Everly Brothers,Everly Brothers Greatest Hits,10,137.45632653,02/12/2014,,GBZTD1201020,37613431.0,https://www.deezer.com/track/37613431,https://music.youtube.com/watch?v=ESSlYHp8wPA,
billboard_872.jams,You Can't Roller Skate In A Buffalo Herd,Roger Miller,Golden Hits,5,112.279818594,01/09/2023,c8e69003-5b1b-46d2-b25b-346cb2a175d1,QZYGC2315684,2435043415.0,https://www.deezer.com/track/2435043415,https://music.youtube.com/watch?v=ZbAq_fVWO4k,
billboard_464.jams,Three Hearts In A Tangle,Roy Drusky,Anymore,8,164.048979591,01/01/2000,,GBLGL1113323,516560052.0,https://www.deezer.com/track/516560052,https://music.youtube.com/watch?v=V-Yr-xYYSdQ,
billboard_673.jams,Rebel Yell,Billy Idol,Rebel Yell,1,290.664489795,28/04/2017,99b99f36-8cea-4df7-96e8-fe32965abc93,USCH38400024,353398301.0,https://www.deezer.com/track/353398301,https://music.youtube.com/watch?v=seHlHzYpWBU,
billboard_389.jams,Baby Don't Go,Sonny & Cher,Baby Don't Go,1,188.551836734,14/04/2009,9426fc9d-1742-4fc5-a795-0015d96ef26a,USRE10500967,3083668.0,https://www.deezer.com/track/3083668,https://music.youtube.com/watch?v=xOofyXdRn8M,
billboard_223.jams,I Really Don't Want To Know,Elvis Presley,Walk a Mile in My Shoes: The Essential '70s Masters,6,166.217142857,10/10/1995,43a6f56d-ed84-4f01-a8b5-8d17b8143537,USRC17001867,1045030.0,https://www.deezer.com/track/1045030,https://music.youtube.com/watch?v=yguQLGVl7Ms,
billboard_38.jams,Sweet Little Rock N' Roll,Chuck Berry,This Is Chuck Berry,5,142.465306122,29/12/2022,1258056a-2925-45ad-8394-087fbee036ec,NLHR52135524,2076879747.0,https://www.deezer.com/track/2076879747,https://music.youtube.com/watch?v=AZBSTG6ZlZA,
billboard_736.jams,Standing In The Shadows Of Love,Four Tops,Summer Of Love,19,158.988707482,11/09/2020,,USMO10119991,1074482332.0,https://www.deezer.com/track/1074482332,https://music.youtube.com/watch?v=NhEuFW7l5c4,
billboard_366.jams,Feelin' Stronger Every Day,Chicago,The Very Best of Chicago: Only the Beginning,13,253.910204081,02/07/2002,07453b73-b499-4b8a-9516-5e9654b3c9d3,USRH10285529,3616300.0,https://www.deezer.com/track/3616300,https://music.youtube.com/watch?v=DljvkWj_siY,
billboard_809.jams,Here I Go Again,Whitesnake,Unzipped (Deluxe Edition),20,278.308571428,19/10/2018,,USRH11802357,568831962.0,https://www.deezer.com/track/568831962,https://music.youtube.com/watch?v=0ly5yQv11S4,
billboard_9.jams,Spirits In The Material World,The Police,Indie Rock This Summer,29,178.925034013,08/08/2022,a41bbfa0-801b-4f8d-93db-2c26de942fe4,GBAAM0201126,1848749647.0,https://www.deezer.com/track/1848749647,https://music.youtube.com/watch?v=4MBeN110940,
billboard_274.jams,Come Together,The Beatles,Abbey Road (Super Deluxe Edition),1,259.996734693,27/09/2019,abc79296-52b5-476c-9f03-849565d6c018,GBUM71903329,760429392.0,https://www.deezer.com/track/760429392,https://music.youtube.com/watch?v=oVW6wJ7MYDM,
billboard_624.jams,Land Of 1000 Dances,Chris Kenner,Soul for Dancers 2: Out on the Floor Firecrackers,4,149.133061224,21/02/2016,7babcac8-6d1a-4077-8d29-d6b1305cca06,GBSUW0735335,117215934.0,https://www.deezer.com/track/117215934,https://music.youtube.com/watch?v=3joI5VtuNV0,
billboard_331.jams,I've Got A Tiger By The Tail,Buck Owens,"All-Time Greatest Hits, Vol. 1",7,135.401564625,31/08/2010,,USCRB1511460,103470980.0,https://www.deezer.com/track/103470980,https://music.youtube.com/watch?v=RqrfZfrmCk0,
billboard_761.jams,Never My Love,The 5th Dimension,Ultimate 5th Dimension,19,237.844897959,26/01/2004,07777219-f042-465e-b211-bb881125e797,USAR17100149,1131243.0,https://www.deezer.com/track/1131243,https://music.youtube.com/watch?v=splnYaenps8,
billboard_80.jams,Going To A Go-Go,The Rolling Stones,Still Life (2009 Re-Mastered Digital Version),6,203.206530612,09/11/2009,568d6a12-f393-4daf-96ec-c51ee243a960,GBUM70912445,4619144.0,https://www.deezer.com/track/4619144,https://music.youtube.com/watch?v=y3PIQMWrV0w,
billboard_448.jams,When Will I Be Loved,Linda Ronstadt,Linda Ronstadt – As Heard On TV,4,124.91755102,06/06/2023,70a4d2a4-3c9a-4f6b-909e-88de3cc52b40,USCA27400035,2303181315.0,https://www.deezer.com/track/2303181315,https://music.youtube.com/watch?v=r4TdEG2drsU,
billboard_632.jams,Big Iron,Marty Robbins,Big Iron on His Hip,1,236.930612244,08/12/2014,925ca11c-a464-4c5d-8bae-15804377599d,FRX871566184,783190252.0,https://www.deezer.com/track/783190252,https://music.youtube.com/watch?v=zzICMIu5zFY,
billboard_262.jams,"(You're So Square) Baby, I Don't Care",Joni Mitchell,Wild Things Run Fast,7,158.040816326,21/02/2008,daebea92-8798-4d18-bc05-2437d25b00cb,USIR10000562,60725473.0,https://www.deezer.com/track/60725473,https://music.youtube.com/watch?v=l1y_TumGc2A,
billboard_798.jams,When It's Love,Van Halen,"Van Halen Live: Right Here, Right Now",3,322.403265306,23/02/1993,b6d71d56-d724-44e2-82c2-da502eb47212,USWB10001118,3668341.0,https://www.deezer.com/track/3668341,https://music.youtube.com/watch?v=4uhMCzTvV9Y,
billboard_79.jams,Annie's Song,John Denver,The Wildlife Concert,10,181.514399092,13/06/1995,1e6937c1-37db-436e-81d4-4141e03db245,USSM19500109,1031113.0,https://www.deezer.com/track/1031113,https://music.youtube.com/watch?v=ztFLBxw8HWQ,
billboard_96.jams,Time Is On My Side,Rolling Stones,The Rolling Stones No. 2,4,178.782040816,22/11/2010,015c741f-8496-4caf-afbe-5901ab5f0b7b,USA176410330,7818890.0,https://www.deezer.com/track/7818890,https://music.youtube.com/watch?v=IDvt69Vy6iY,
billboard_777.jams,I Cried A Tear,LaVern Baker,Blues Ballads (Remastered),1,156.238367346,04/08/2017,9eacb823-5022-4513-ba19-8a321d143054,GBBMH1725839,390232501.0,https://www.deezer.com/track/390232501,https://music.youtube.com/watch?v=WIoB32fAU2E,
billboard_327.jams,Break It To Me Gently,Juice Newton,Juice Newton's Greatest Hits,4,243.408979591,19/10/1988,af8d8ebc-28b6-42b8-a71b-3111d18d2a84,USCN18800080,3127746.0,https://www.deezer.com/track/3127746,https://music.youtube.com/watch?v=Pbu4DwSeH7k,
billboard_848.jams,Something About You,Level 42,"7"" Singles",15,227.265306122,08/07/2022,58537363-f83c-4109-aaed-77e4883735e2,GBAKW8501020,1810064057.0,https://www.deezer.com/track/1810064057,https://music.youtube.com/watch?v=CS9KU81mcG8,
billboard_235.jams,Super Freak Part One,Rick James,Dead or Alive: Dance Hits of the 80’s,11,201.848163265,,1c35969a-abe4-4544-b009-add420005b3e,,,,https://music.youtube.com/watch?v=wnKc4zi0MLA,
billboard_665.jams,I'll Take You There,The Staple Singers,Stax Volt Chartbusters Vol 4,11,194.748140589,19/11/2007,e2303fbf-ef4a-4c96-9d45-22462efc86f2,USFI80700331,907186.0,https://www.deezer.com/track/907186,https://music.youtube.com/watch?v=6gpzVCFrKWk,
billboard_370.jams,I've Passed This Way Before,Jimmy Ruffin,The Motown Anthology,3,169.19510204,26/01/2004,21c90dfd-3a5d-4f2c-aeb9-b6f0ac165fd4,USMO16682610,2516766.0,https://www.deezer.com/track/2516766,https://music.youtube.com/watch?v=7QJkpTXaDWo,
billboard_720.jams,Easy,The Commodores,The Commodores Anthology,,264.333061224,,,,,,https://music.youtube.com/watch?v=-_z35XZWiP4,
billboard_409.jams,Foggy Mountain Breakdown,Flatt & Scruggs,The Bluegrass Hall Of Fame,7,161.724081632,03/07/2009,,USACU0506603,732306112.0,https://www.deezer.com/track/732306112,https://music.youtube.com/watch?v=ZeBKgxqfvN0,
billboard_491.jams,Sunshine Superman,Donovan,Flower Power,2,279.849795918,03/04/2019,,FR2X41920575,658933852.0,https://www.deezer.com/track/658933852,https://music.youtube.com/watch?v=9OGUO3Oc84I,
billboard_868.jams,For The Good Times,Ray Price,Ray Price - 16 Biggest Hits,11,230.426122448,03/08/1999,,USSM17000840,624009.0,https://www.deezer.com/track/624009,https://music.youtube.com/watch?v=jtISLBZ_8Lg,
billboard_887.jams,Get Ready,Rare Earth,Hitsville USA - The Motown Singles Collection 1959-1971,3,169.698548752,11/01/2019,c2ec4b44-79a9-4436-bb97-0aacbd917c7d,USMO17000286,613101432.0,https://www.deezer.com/track/613101432,https://music.youtube.com/watch?v=D0BCUumCEFY,
billboard_184.jams,Private Dancer,Tina Turner,Private Dancer (30th Anniversary Issue),5,433.606530612,26/06/2015,47f617c3-eea5-4156-bd1e-861a42b24d56,GBAYE1401509,102271954.0,https://www.deezer.com/track/102271954,https://music.youtube.com/watch?v=MRm7yNpynLs,
billboard_757.jams,Wendy,The Beach Boys,Made In California,25,139.023673469,28/09/1995,783ca746-14ff-4446-8f07-4d0e6f56e07b,USCA21202057,69810730.0,https://www.deezer.com/track/69810730,https://music.youtube.com/watch?v=ufx2WR6s4qc,
billboard_307.jams,Get Together,The Youngbloods,Patriotic Hits / American Songs,45,276.767346938,23/05/2023,a4b97c87-47c3-4be0-8ba9-64e4a9ffc7c5,USRC16707554,2287319637.0,https://www.deezer.com/track/2287319637,https://music.youtube.com/watch?v=EAB3fyCIHpc,
billboard_612.jams,The Thrill Is Gone,B.B. King,The Vietnam War - A Film By Ken Burns & Lynn Novick (The Soundtrack),9,243.510204081,15/09/2017,e205acc9-4e0a-45cd-9a88-884cd3d06d00,USMC10110473,404202652.0,https://www.deezer.com/track/404202652,https://music.youtube.com/watch?v=L8hOvsg_AiY,
billboard_242.jams,Sweet Music Man,Kenny Rogers,The Best Of Kenny Rogers,7,259.944489795,31/01/2020,6a153ba8-ab14-4ad5-a065-fe5da6bb32a3,USCN17700022,860791682.0,https://www.deezer.com/track/860791682,https://music.youtube.com/watch?v=1He-5eRellI,
billboard_59.jams,Smoking Gun,The Robert Cray Band,4 Nights of 40 Years Live (Deluxe Edition),3,240.796734693,28/08/2015,dbe879ad-103a-4c3c-902e-60374bcb91c8,NLB931501715,1587115302.0,https://www.deezer.com/track/1587115302,https://music.youtube.com/watch?v=UXjMN_yMhk8,
billboard_429.jams,Roll On Down The Highway,Bachman-Turner Overdrive,Not Fragile,3,240.248163265,15/07/2002,7df1e622-49a4-41d0-8595-e05051acf4e1,USPR37408027,2447244.0,https://www.deezer.com/track/2447244,https://music.youtube.com/watch?v=tIJ1-v9jv2Q,
billboard_583.jams,"Wonderful World, Beautiful People",Jimmy Cliff,Jimmy Cliff Versus Lee Perry (The Ultimate Reggae Masterclass Series),1,190.850612244,06/08/2018,8ee8ff6a-d995-42ca-a334-9724d5ba47dd,UKDNQ1534745,537658092.0,https://www.deezer.com/track/537658092,https://music.youtube.com/watch?v=5ikHtI_S5rc,
billboard_350.jams,I Don't Want To Spoil The Party,The Beatles,Beatles For Sale (Remastered),12,156.16,24/12/2015,15afd3be-63c8-4f70-b701-0b1832101fd3,GBAYE0601462,116348392.0,https://www.deezer.com/track/116348392,https://music.youtube.com/watch?v=zqVDvLDLsjI,
billboard_700.jams,With Or Without You,U2,U218 Singles (Deluxe Version),4,296.17632653,20/11/2006,,GBAAN8790003,1574199.0,https://www.deezer.com/track/1574199,https://music.youtube.com/watch?v=oNvWDP_GkiY,
billboard_215.jams,We're All Alone,Rita Coolidge,The Best Of Pure Love,27,220.491247165,22/01/2021,962b68b3-8280-43b2-bd6e-129cd835f29e,USAM17700071,1214741582.0,https://www.deezer.com/track/1214741582,https://music.youtube.com/watch?v=ZdbGDLC4qhI,
billboard_645.jams,Sleep Walk,Santo & Johnny,Sleepwalk,1,143.207619047,10/06/2015,9dd877df-31ba-4b25-bbac-47fd96c4e283,DK5C50054518,104814580.0,https://www.deezer.com/track/104814580,https://music.youtube.com/watch?v=5-lWo6K-axE,
billboard_829.jams,The Joker,Steve Miller Band,Greatest Hits 1974-78,8,219.036734693,12/08/2014,,USCA28500252,82323110.0,https://www.deezer.com/track/82323110,https://music.youtube.com/watch?v=tYTgtsCm0DA,
billboard_595.jams,A Dream Goes On Forever,Todd Rundgren,With a Twist...,11,179.127074829,28/11/2011,532c0ab2-8e80-4910-976c-35569c9e049c,GBBLY1103079,1438893222.0,https://www.deezer.com/track/1438893222,https://music.youtube.com/watch?v=xt90oOl0IE8,
billboard_716.jams,Nick of Time,Bonnie Raitt,Nick Of Time,1,232.907755102,04/10/2005,41ed3229-2ec8-4f83-84a4-34d1ce3d754a,USCA28900064,3402688.0,https://www.deezer.com/track/3402688,https://music.youtube.com/watch?v=odJEsYjcHbg,
billboard_346.jams,I'd Love To Change The World,Ten Years After,Together at Home: ’80s Fantasy Concert,13,224.914285714,,6da484ef-6ac1-4d17-9abf-d06e56943307,,,,https://music.youtube.com/watch?v=TLu53UFQRdY,
billboard_653.jams,Little Old Lady From Pasadena,Jan & Dean,The Little Old Lady From Pasadena,1,166.765714285,29/04/2011,,USEM39100199,10445398.0,https://www.deezer.com/track/10445398,https://music.youtube.com/watch?v=E_6FKsei-oY,
billboard_203.jams,Sweet Love,Anita Baker,Rapture,1,266.344489795,01/01/1986,ff7c972f-a036-403c-8469-e9cab5a0d3dd,USAT20104367,717534.0,https://www.deezer.com/track/717534,https://music.youtube.com/watch?v=2w6udgiojlE,
billboard_18.jams,Breaking Up Is Hard To Do,Neil Sedaka,Hit After Hit - 100 Hits of 1962,92,138.738344671,09/02/2014,,UKU6H1988597,1006607642.0,https://www.deezer.com/track/1006607642,https://music.youtube.com/watch?v=2M584bP_FeE,
billboard_487.jams,Years Ago,George Harrison,Somewhere In England,4,227.369795918,01/06/1981,60666151-aefc-4814-a6d6-8a636a075881,GBEXP0300025,2143009717.0,https://www.deezer.com/track/2143009717,https://music.youtube.com/watch?v=XV5YX3gU8Q0,
