jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
ireal-pro_636.jams,I'll Take Romance,Oakland Ben,Tenderly (An Informal Session),,261.0,,,,,,https://music.youtube.com/watch?v=emKRX4VeAP8,,
ireal-pro_629.jams,I'll Close My Eyes,Reid-Kaye,Into the Light,B1,269.173,,2798560e-a571-444d-9bbd-b78847b456f8,,,,https://music.youtube.com/watch?v=NlVPDaYu5EQ,,
ireal-pro_763.jams,"Just You, Just Me",Greer Jesse,PARKER: Billie's Bounce / RODGERS: My Favourite Things,2,361.0,29/09/2014,82ef6287-6b73-4dee-bce0-8be7ea23fbeb,CACA30410246,41855841.0,https://www.deezer.com/track/41855841,https://music.youtube.com/watch?v=uA7DXrpZZXg,,
ireal-pro_1113.jams,Satin Doll,Strayhorn-Ellington,Original Best of Jazz,14,177.24,,3467058b-3477-4f4f-90a8-d790d0834fa1,,,,https://music.youtube.com/watch?v=YKCEXx99zYs,,
ireal-pro_829.jams,Locomotion,Coltrane John,Triple Best Of,4,433.0,25/09/2009,ca9af83b-ebe2-4e81-88d9-21a7ffe94bde,USBN29600351,4227584.0,https://www.deezer.com/track/4227584,https://music.youtube.com/watch?v=hkxI2jKlSvM,,
ireal-pro_1403.jams,Witchcraft,Coleman Cy,Creating the Perfect Atmosphere,12,252.466,,4481f79d-de05-4c3e-b0e4-c2fff8e9950e,,,,https://music.youtube.com/watch?v=hU7Opw8u4Yg,,
ireal-pro_1207.jams,Stella By Starlight,Young Victor,Everything's Alright,11,188.0,03/07/2020,ced3e94c-6835-4b80-81b6-211f037900fb,FRX202031298,1000478232.0,https://www.deezer.com/track/1000478232,https://music.youtube.com/watch?v=D3RT5ZoDtLs,,
ireal-pro_239.jams,Boplicity,Henry Cleo,At Newport '63,B4,233.0,,6b7a0147-27f3-413b-9ca6-f9a14fe6f090,,,,https://music.youtube.com/watch?v=G1bt4KYvVdo,,
ireal-pro_1402.jams,Witch Hunt,Shorter Wayne,Speak No Evil,1,491.0,11/03/1999,fdd33fbe-91e9-478e-9e3a-c17538ab7f63,USBN29801009,3104567.0,https://www.deezer.com/track/3104567,https://music.youtube.com/watch?v=oJoSrQ6iP0c,,
ireal-pro_1930.jams,Put your records on,Corinne Bailey Rae(Bailey Rae-Chrisanthou-Beck),NOW 100 Hits: Sing‐A‐Long,4,212.0,,c0bc5b86-f671-4382-aadd-356265ad56f3,,,,https://music.youtube.com/watch?v=cDrU3weV3_Y,,
ireal-pro_836.jams,Look For The Silver Lining,Kern Jerome,KERN: The Song Is You (1925-1945),4,195.0,,389ceae6-8c2e-4ef9-bbe5-13e84482df9d,HKI190535404,16764528.0,https://www.deezer.com/track/16764528,https://music.youtube.com/watch?v=Ba28771pR8o,,
ireal-pro_1660.jams,All My Loving,"The Beatles (Lennon, McCartney)",Live at the Hollywood Bowl,11,135.0,,82a22698-659b-493f-8876-4c6d3e18fac0,,,,https://music.youtube.com/watch?v=TSpiwK5fig0,,
ireal-pro_57.jams,A Blossom Fell,Barnes-Cornelius,Ballads Of The Day,,156.0,,,,,,https://music.youtube.com/watch?v=SXzmXuTIX5k,,
