name,songs,ireal_charts
Leavitt Melodic Rhythms,0,irealb://Study%20%231%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7GZL7DQKcl%20L%20lcKQyX7DZL7D7%20-AZL%2CobA%20%2C6GZLZA-7%20yX6G%5Bx%7CQyXo%2C%20A-D%207-AZLobA%206GZxL%20%20ZL%206G%20ZL7D%2077LZD7bA%20%2C6-AZL6-7%20D7E%207-E%3E%297jaM%28%3C%20-%2CE%7CQyX7B%7CQyXGZL-7%20E-A%7CQyXZL7A%20ZG%5E7%20suS%28%3CZL-E%3E%297ja%28M%3C%20-E%7CQyX7BZL6G4%29%3EA7L7D%207ZL7D%204%29%3ED9obA%206G%7CQyXx%7CQy6XG%7CQyX%2C9b7D%20pp%2CLZA-7suS%28%3CD7XyQ%7CxXyQ%7CA-7%20D7LZG%2CXyQ%5D%20%3DJazz-Medium%20Swing%3D110%3D3%3D%3D%3DStudy%20%23%201A%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7%207-EZ%20xLZ%20Gp%20%2C7-DZL%20xZL%20-7DZL7A%205b7-EZLx7%2CFoLZL%20C%5BxZL%207%2C%20D-9A%205b7-EZLx%20ZLxZ%20L%20C%5B7bD%3E%299%2B%28%3C%207LZD-9b7bE%28%3CZLD7%20p%3C%28%2C7-EZL%209b7Bpp%2CZCL9b7G%207G%3E%294suSppE-/-DZL%20/GZLoC9%2C%20p%209B%3E%29%2B%28%3C%209BZL%2CC9%207-EZLtla7B%209BF9%20Eb%3E%29%2B11ZLtlaLZA-7ZL9b7%23F%207G%3E%294sSu%28%3CZL9b7D%209D%20p%20G9%20G77-E%20D%294suScl%20LZ7-D%7CQyXx%7CQyX7-ZDL7A%205b7-EZL%20x%20%20p%20%3C%28KQyXC%3EG7%20G7b9LZC%2CXyQ%7C%20%3DJazz-Medium%20Swing%3D75%3D3%3D%3D%3DStudy%20%232%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7-AZL%20-7LZG9b7A%2C5b7-Ep%207-ZGL7-D%20%2CFZL7C%207-LZBb6D%20%2CF%5B%3E%2911%289LZG-%3E%20%3C%20%7D%20%207C%20%2C7-G%2CpF1NZL%209b7Cpp%207FLZ%20%3Cb7D%207E%207-E%20%3EE7L%207-DZL6A%207%5EAZLE9%207-BZLoC%207-%23CZG7%2CLZ%3C%207-B7-Ep%20-7%20G7L7-D%20%2CFZL7C%207-ZGL7-D%20%2CFZL7CZL%2CZG-7%2CDZLobb5%20A7b9LZBb6%20LZA-7%20D7b9LZG-7%2CppC7b9LZFXyQ%5D%20%3DJazz-Medium%20Swing%3D100%3D3%3D%3D%3DLeavitt%20Melodic%20Rhythms
Study #1,0,irealb://Study%20%231%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7GZL7DQKcl%20L%20lcKQyX7DZL7D7%20-AZL%2CobA%20%2C6GZLZA-7%20yX6G%5Bx%7CQyXo%2C%20A-D%207-AZLobA%206GZxL%20%20ZL%206G%20ZL7D%2077LZD7bA%20%2C6-AZL6-7%20D7E%207-E%3E%297jaM%28%3C%20-%2CE%7CQyX7B%7CQyXGZL-7%20E-A%7CQyXZL7A%20ZG%5E7%20suS%28%3CZL-E%3E%297ja%28M%3C%20-E%7CQyX7BZL6G4%29%3EA7L7D%207ZL7D%204%29%3ED9obA%206G%7CQyXx%7CQy6XG%7CQyX%2C9b7D%20pp%2CLZA-7suS%28%3CD7XyQ%7CxXyQ%7CA-7%20D7LZG%2CXyQ%5D%20%3DJazz-Medium%20Swing%3D110%3D3%3D%3D%3D
Study # 1A,0,irealb://Study%20%23%201A%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7%207-EZ%20xLZ%20Gp%20%2C7-DZL%20xZL%20-7DZL7A%205b7-EZLx7%2CFoLZL%20C%5BxZL%207%2C%20D-9A%205b7-EZLx%20ZLxZ%20L%20C%5B7bD%3E%299%2B%28%3C%207LZD-9b7bE%28%3CZLD7%20p%3C%28%2C7-EZL%209b7Bpp%2CZCL9b7G%207G%3E%294suSppE-/-DZL%20/GZLoC9%2C%20p%209B%3E%29%2B%28%3C%209BZL%2CC9%207-EZLtla7B%209BF9%20Eb%3E%29%2B11ZLtlaLZA-7ZL9b7%23F%207G%3E%294sSu%28%3CZL9b7D%209D%20p%20G9%20G77-E%20D%294suScl%20LZ7-D%7CQyXx%7CQyX7-ZDL7A%205b7-EZL%20x%20%20p%20%3C%28KQyXC%3EG7%20G7b9LZC%2CXyQ%7C%20%3DJazz-Medium%20Swing%3D75%3D3%3D%3D%3D
Study #2,0,irealb://Study%20%232%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7-AZL%20-7LZG9b7A%2C5b7-Ep%207-ZGL7-D%20%2CFZL7C%207-LZBb6D%20%2CF%5B%3E%2911%289LZG-%3E%20%3C%20%7D%20%207C%20%2C7-G%2CpF1NZL%209b7Cpp%207FLZ%20%3Cb7D%207E%207-E%20%3EE7L%207-DZL6A%207%5EAZLE9%207-BZLoC%207-%23CZG7%2CLZ%3C%207-B7-Ep%20-7%20G7L7-D%20%2CFZL7C%207-ZGL7-D%20%2CFZL7CZL%2CZG-7%2CDZLobb5%20A7b9LZBb6%20LZA-7%20D7b9LZG-7%2CppC7b9LZFXyQ%5D%20%3DJazz-Medium%20Swing%3D100%3D3%3D%3D%3D
Leavitt Melodic Rhythms,0,irealb://Study%20%231%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7GZL7DQKcl%20L%20lcKQyX7DZL7D7%20-AZL%2CobA%20%2C6GZLZA-7%20yX6G%5Bx%7CQyXo%2C%20A-D%207-AZLobA%206GZxL%20%20ZL%206G%20ZL7D%2077LZD7bA%20%2C6-AZL6-7%20D7E%207-E%3E%297jaM%28%3C%20-%2CE%7CQyX7B%7CQyXGZL-7%20E-A%7CQyXZL7A%20ZG%5E7%20suS%28%3CZL-E%3E%297ja%28M%3C%20-E%7CQyX7BZL6G4%29%3EA7L7D%207ZL7D%204%29%3ED9obA%206G%7CQyXx%7CQy6XG%7CQyX%2C9b7D%20pp%2CLZA-7suS%28%3CD7XyQ%7CxXyQ%7CA-7%20D7LZG%2CXyQ%5D%20%3DJazz-Medium%20Swing%3D110%3D3%3D%3D%3DStudy%20%23%201A%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7%207-EZ%20xLZ%20Gp%20%2C7-DZL%20xZL%20-7DZL7A%205b7-EZLx7%2CFoLZL%20C%5BxZL%207%2C%20D-9A%205b7-EZLx%20ZLxZ%20L%20C%5B7bD%3E%299%2B%28%3C%207LZD-9b7bE%28%3CZLD7%20p%3C%28%2C7-EZL%209b7Bpp%2CZCL9b7G%207G%3E%294suSppE-/-DZL%20/GZLoC9%2C%20p%209B%3E%29%2B%28%3C%209BZL%2CC9%207-EZLtla7B%209BF9%20Eb%3E%29%2B11ZLtlaLZA-7ZL9b7%23F%207G%3E%294sSu%28%3CZL9b7D%209D%20p%20G9%20G77-E%20D%294suScl%20LZ7-D%7CQyXx%7CQyX7-ZDL7A%205b7-EZL%20x%20%20p%20%3C%28KQyXC%3EG7%20G7b9LZC%2CXyQ%7C%20%3DJazz-Medium%20Swing%3D75%3D3%3D%3D%3DStudy%20%232%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7-AZL%20-7LZG9b7A%2C5b7-Ep%207-ZGL7-D%20%2CFZL7C%207-LZBb6D%20%2CF%5B%3E%2911%289LZG-%3E%20%3C%20%7D%20%207C%20%2C7-G%2CpF1NZL%209b7Cpp%207FLZ%20%3Cb7D%207E%207-E%20%3EE7L%207-DZL6A%207%5EAZLE9%207-BZLoC%207-%23CZG7%2CLZ%3C%207-B7-Ep%20-7%20G7L7-D%20%2CFZL7C%207-ZGL7-D%20%2CFZL7CZL%2CZG-7%2CDZLobb5%20A7b9LZBb6%20LZA-7%20D7b9LZG-7%2CppC7b9LZFXyQ%5D%20%3DJazz-Medium%20Swing%3D100%3D3%3D%3D%3DStudy%20%232A%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7ZL%207GLZC6%20%20-DZLQyX7GZL7-%20D-DZL9b7A%3E%29%2B5%28%3CD-7LZ%207%5EC%5B7-D%20-7LZC%5E7A%3E%29%2B5%28%3C%206CZL%20%5E7CZL9b7G%207-Dp%207b9LZDG%207-D7-GZLLZD-%20ZL7C%207-Gp%206CZLG7%207-DZL%207GZL7-DF%20D-7%207GZL-DZL7F%20D-7GZL7bD%207-bAZL7b-E%20bGZL7C%207-GZLb%20Eb-ZL7C%207GZL7ZC%5E7%20ZL%207GZL7-D%20-DZ9Lb7A%3E%29%2B5%28%3C%206CZLD-%20D-L7G%207%20LZD-7%20G7LZCXyQ%20%5D%20%3DJazz-Medium%20Swing%3D100%3D3%3D%3D%3DLeavitt%20Melodic%20Rhythms
Study #1,0,irealb://Study%20%231%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7GZL7DQKcl%20L%20lcKQyX7DZL7D7%20-AZL%2CobA%20%2C6GZLZA-7%20yX6G%5Bx%7CQyXo%2C%20A-D%207-AZLobA%206GZxL%20%20ZL%206G%20ZL7D%2077LZD7bA%20%2C6-AZL6-7%20D7E%207-E%3E%297jaM%28%3C%20-%2CE%7CQyX7B%7CQyXGZL-7%20E-A%7CQyXZL7A%20ZG%5E7%20suS%28%3CZL-E%3E%297ja%28M%3C%20-E%7CQyX7BZL6G4%29%3EA7L7D%207ZL7D%204%29%3ED9obA%206G%7CQyXx%7CQy6XG%7CQyX%2C9b7D%20pp%2CLZA-7suS%28%3CD7XyQ%7CxXyQ%7CA-7%20D7LZG%2CXyQ%5D%20%3DJazz-Medium%20Swing%3D110%3D3%3D%3D%3D
Study # 1A,0,irealb://Study%20%23%201A%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7%207-EZ%20xLZ%20Gp%20%2C7-DZL%20xZL%20-7DZL7A%205b7-EZLx7%2CFoLZL%20C%5BxZL%207%2C%20D-9A%205b7-EZLx%20ZLxZ%20L%20C%5B7bD%3E%299%2B%28%3C%207LZD-9b7bE%28%3CZLD7%20p%3C%28%2C7-EZL%209b7Bpp%2CZCL9b7G%207G%3E%294suSppE-/-DZL%20/GZLoC9%2C%20p%209B%3E%29%2B%28%3C%209BZL%2CC9%207-EZLtla7B%209BF9%20Eb%3E%29%2B11ZLtlaLZA-7ZL9b7%23F%207G%3E%294sSu%28%3CZL9b7D%209D%20p%20G9%20G77-E%20D%294suScl%20LZ7-D%7CQyXx%7CQyX7-ZDL7A%205b7-EZL%20x%20%20p%20%3C%28KQyXC%3EG7%20G7b9LZC%2CXyQ%7C%20%3DJazz-Medium%20Swing%3D75%3D3%3D%3D%3D
Study #2,0,irealb://Study%20%232%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7-AZL%20-7LZG9b7A%2C5b7-Ep%207-ZGL7-D%20%2CFZL7C%207-LZBb6D%20%2CF%5B%3E%2911%289LZG-%3E%20%3C%20%7D%20%207C%20%2C7-G%2CpF1NZL%209b7Cpp%207FLZ%20%3Cb7D%207E%207-E%20%3EE7L%207-DZL6A%207%5EAZLE9%207-BZLoC%207-%23CZG7%2CLZ%3C%207-B7-Ep%20-7%20G7L7-D%20%2CFZL7C%207-ZGL7-D%20%2CFZL7CZL%2CZG-7%2CDZLobb5%20A7b9LZBb6%20LZA-7%20D7b9LZG-7%2CppC7b9LZFXyQ%5D%20%3DJazz-Medium%20Swing%3D100%3D3%3D%3D%3D
Study #2A,0,irealb://Study%20%232A%3DLeavitt%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7ZL%207GLZC6%20%20-DZLQyX7GZL7-%20D-DZL9b7A%3E%29%2B5%28%3CD-7LZ%207%5EC%5B7-D%20-7LZC%5E7A%3E%29%2B5%28%3C%206CZL%20%5E7CZL9b7G%207-Dp%207b9LZDG%207-D7-GZLLZD-%20ZL7C%207-Gp%206CZLG7%207-DZL%207GZL7-DF%20D-7%207GZL-DZL7F%20D-7GZL7bD%207-bAZL7b-E%20bGZL7C%207-GZLb%20Eb-ZL7C%207GZL7ZC%5E7%20ZL%207GZL7-D%20-DZ9Lb7A%3E%29%2B5%28%3C%206CZLD-%20D-L7G%207%20LZD-7%20G7LZCXyQ%20%5D%20%3DJazz-Medium%20Swing%3D100%3D3%3D%3D%3D
"MMG2, P.068, 5th Position Study No.2",0,irealb://MMG2%2C%20P.068%2C%205th%20Position%20Study%20No.2%3DComposer%20Unknown%3D%3DMedium%20Swing%3DC%3D%3D1r34LbKcu7%2CoF%2C7ppp%7CpD%7Cp%2C7-Ap%2CC%7Cppp6%2C-F%7Cppp%2CF%7Cp%2C7Cp-7%2CpC%2CC44T-F%7CpppEbo%2C%2C7Cpp%7Cppp%2CC%7C%2Cssu7bD%2C7bDp%2C7-D%7Cpp%7CF%2Cp%2C7-E%7C%7Cppp%2C%7CC%2CpApp%2C7%5EC%7Cp%2C6-Fp%2C%7CCp%2C7Gp%2C7-D%7Cp%2C7-p%7CG-7ppp%2C6pp%2C7-p%7CF%5E7ppp%2C7%5EbB%7Cppp%2C7%7CFppp%2C7-C%7Cx%7Cppp%2C%7Cx%7CBbpp%2C7C%2C6-F%7C%2Cppp%7C%7Cp%2C7Cpp%7Cppp%2CC%7C%2Cp7Gp%2C7-D%7Cppp%2CbAF%2Cppp7bE%7Cp%2C7G%7Cp%2CpA-7D%7Cppp%2C7bE%7Cppp%2C-7E%7Cp%2C7Gp%2C7-D%7Cp%2C-7%2CppC%7Cpppppp%7CC%2CpBb9%2Cp%7CC%2Cp%2Cp%2Cp%7C%20%3DPop-Rock%3D105%3D1
