id,file_performer,file_title,file_track,file_release,file_path,file_name,jams_path
isophonics_0,The Beatles,Here Comes The Sun,07,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/07_-_Here_Comes_The_Sun.jams,07_-_Here_Comes_The_Sun.jams,../../partitions/isophonics/choco/jams/isophonics_0.jams
isophonics_1,The Beatles,The End,16,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/16_-_The_End.jams,16_-_The_End.jams,../../partitions/isophonics/choco/jams/isophonics_1.jams
isophonics_2,The Beatles,Her Majesty,17,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/17_-_Her_Majesty.jams,17_-_Her_Majesty.jams,../../partitions/isophonics/choco/jams/isophonics_2.jams
isophonics_3,The Beatles,Polythene Pam,12,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/12_-_Polythene_Pam.jams,12_-_Polythene_Pam.jams,../../partitions/isophonics/choco/jams/isophonics_3.jams
isophonics_4,The Beatles,Golden Slumbers,14,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/14_-_Golden_Slumbers.jams,14_-_Golden_Slumbers.jams,../../partitions/isophonics/choco/jams/isophonics_4.jams
isophonics_5,The Beatles,I Want You,06,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/06_-_I_Want_You.jams,06_-_I_Want_You.jams,../../partitions/isophonics/choco/jams/isophonics_5.jams
isophonics_6,The Beatles,Because,08,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/08_-_Because.jams,08_-_Because.jams,../../partitions/isophonics/choco/jams/isophonics_6.jams
isophonics_7,The Beatles,Mean Mr Mustard,11,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/11_-_Mean_Mr_Mustard.jams,11_-_Mean_Mr_Mustard.jams,../../partitions/isophonics/choco/jams/isophonics_7.jams
isophonics_8,The Beatles,She Came In Through The Bathroom Window,13,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/13_-_She_Came_In_Through_The_Bathroom_Window.jams,13_-_She_Came_In_Through_The_Bathroom_Window.jams,../../partitions/isophonics/choco/jams/isophonics_8.jams
isophonics_9,The Beatles,Sun King,10,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/10_-_Sun_King.jams,10_-_Sun_King.jams,../../partitions/isophonics/choco/jams/isophonics_9.jams
isophonics_10,The Beatles,Octopus's Garden,05,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/05_-_Octopus's_Garden.jams,05_-_Octopus's_Garden.jams,../../partitions/isophonics/choco/jams/isophonics_10.jams
isophonics_11,The Beatles,Maxwell's Silver Hammer,03,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/03_-_Maxwell's_Silver_Hammer.jams,03_-_Maxwell's_Silver_Hammer.jams,../../partitions/isophonics/choco/jams/isophonics_11.jams
isophonics_12,The Beatles,Oh! Darling,04,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/04_-_Oh!_Darling.jams,04_-_Oh!_Darling.jams,../../partitions/isophonics/choco/jams/isophonics_12.jams
isophonics_13,The Beatles,Something,02,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/02_-_Something.jams,02_-_Something.jams,../../partitions/isophonics/choco/jams/isophonics_13.jams
isophonics_14,The Beatles,You Never Give Me Your Money,09,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/09_-_You_Never_Give_Me_Your_Money.jams,09_-_You_Never_Give_Me_Your_Money.jams,../../partitions/isophonics/choco/jams/isophonics_14.jams
isophonics_15,The Beatles,Carry That Weight,15,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/15_-_Carry_That_Weight.jams,15_-_Carry_That_Weight.jams,../../partitions/isophonics/choco/jams/isophonics_15.jams
isophonics_16,The Beatles,Come Together,01,Abbey Road,../../partitions/isophonics/raw/The Beatles/11_-_Abbey_Road/01_-_Come_Together.jams,01_-_Come_Together.jams,../../partitions/isophonics/choco/jams/isophonics_16.jams
