chord_str,chord_cnt,chord_freq,composite
F:Dom,432,0.07003891050583658,False
C:Dom,420,0.06809338521400778,False
G7,394,0.06387808041504539,False
Bb:Dom,329,0.05333981841763943,False
Dm7,301,0.048800259403372244,False
CM7,197,0.031939040207522695,False
C,181,0.029345006485084306,False
F:Ton,169,0.027399481193255512,False
C7,168,0.027237354085603113,False
C:Ton,159,0.025778210116731516,False
D7,137,0.02221141374837873,False
Am7,131,0.021238651102464333,False
A7,122,0.019779507133592736,False
Bb:Ton,117,0.018968871595330738,False
D:Dom,110,0.017833981841763942,False
Eb:Dom,104,0.016861219195849545,False
Cm7,96,0.01556420233463035,False
Em7,92,0.014915693904020753,False
F7,90,0.014591439688715954,False
F:Dom-tritone,80,0.01297016861219196,False
D%7,77,0.01248378728923476,False
G:Dom,72,0.011673151750972763,False
Fm7,69,0.011186770428015564,False
Bb7,69,0.011186770428015564,False
D:Ton,65,0.010538261997405967,False
A:Dom,65,0.010538261997405967,False
E7,60,0.009727626459143969,False
Ab:Dom,55,0.008916990920881971,False
FM7,54,0.008754863813229572,False
Eb:Ton,52,0.008430609597924773,False
Cm,50,0.008106355382619975,False
Gaug7,50,0.008106355382619975,False
Ab7,48,0.007782101167315175,False
Db:Dom,48,0.007782101167315175,False
Eb7,47,0.007619974059662775,False
Gm7,45,0.007295719844357977,False
C:Dom-tritone,41,0.0066472114137483785,False
G:Ton,39,0.00632295719844358,False
C:Dom-Rep,38,0.00616083009079118,False
A:Ton,37,0.005998702983138781,False
AbM7,36,0.005836575875486381,False
Ebo7,34,0.005512321660181583,False
Fm,32,0.005188067444876783,False
F:Ton-Rep,32,0.005188067444876783,False
F:Dom-Rep,31,0.005025940337224384,False
Bb:Dom-tritone,29,0.004701686121919585,False
Bb:Dom-Rep,28,0.004539559014267186,False
E%7,28,0.004539559014267186,False
F,28,0.004539559014267186,False
"Gsus4,7",27,0.004377431906614786,True
Bbm7,25,0.004053177691309987,False
D:Ton-Rep,24,0.0038910505836575876,False
B7,22,0.0035667963683527885,False
B%7,20,0.00324254215304799,False
C:Ton-Rep,20,0.00324254215304799,False
Bb:Ton-Rep,18,0.0029182879377431907,False
Eaug7,18,0.0029182879377431907,False
Ab:Ton,18,0.0029182879377431907,False
Gbo7,17,0.0027561608300907914,False
B:Dom,16,0.0025940337224383916,False
Bm7,15,0.0024319066147859923,False
Db:Ton,15,0.0024319066147859923,False
EbM7,14,0.002269779507133593,False
A%7,14,0.002269779507133593,False
Db7,14,0.002269779507133593,False
D:Dom-Rep,14,0.002269779507133593,False
Bb:Colour-IVf,14,0.002269779507133593,False
Aaug7,13,0.002107652399481193,False
Ebm7,13,0.002107652399481193,False
F:Colour-IVb,12,0.0019455252918287938,False
GM7,12,0.0019455252918287938,False
F:Colour-IVf,11,0.0017833981841763942,False
Gbm7,11,0.0017833981841763942,False
Gb%7,11,0.0017833981841763942,False
