jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
nottingham_821.jams,Orange and Blue,Hiko,Tennesse Orange (Sped Up) - I Met Somebody and He's Got Blue Eyes,1,164.0,17/08/2023,866bff8d-9a4c-4000-951b-b65d5b509104,QZNJZ2339564,2414949785.0,https://www.deezer.com/track/2414949785,https://music.youtube.com/watch?v=rVsjHU8Raes,,
nottingham_589.jams,Caymann Reel,Grand Puba,Reel to Reel,9,236.466,,3a69a52f-78c2-426b-a072-3e35a4d61c58,,,,https://music.youtube.com/watch?v=JH_09cjrtgc,,
nottingham_97.jams,Old Joe Clark 2,Chris Morgan,"The Boosey Brass Method | Horn in F, Vol. 1 – Accompaniment Tracks",51,31.0,01/01/2003,3b318a27-4a87-4677-84f0-6207848e7324,USHM22235645,1810391787.0,https://www.deezer.com/track/1810391787,https://music.youtube.com/watch?v=lVflZycSzPI,,
nottingham_571.jams,Drops of Brandy,The Chieftains,The Essential Chieftains,1,223.0,05/06/2006,,USBC19901825,548780.0,https://www.deezer.com/track/548780,https://music.youtube.com/watch?v=ZYrJJFpjrNg,,
nottingham_81.jams,My Old Man,Joni Mitchell,Blue,2,214.0,30/06/1975,4f60c897-5d8a-40b6-87e0-5ee9c4bf60d6,USRE17100011,2607668.0,https://www.deezer.com/track/2607668,https://music.youtube.com/watch?v=aR-kZUL9e6o,,
nottingham_285.jams,Davie's Brae,Gordon Pattullo and His All Star Scottish Band,The Golden Sound Of Scottish Music,19,254.0,01/01/1995,92a38b43-b4f0-4eb7-8056-cd51746377f8,GBHYK0701141,1225567802.0,https://www.deezer.com/track/1225567802,https://music.youtube.com/watch?v=UZovpA_K9Ec,,
nottingham_4.jams,Hole in the Wall,Musica calamus,"Medieval Dances, Vol. 1 (Dances for Reenactment, Larp and Medieval Markets)",10,180.0,15/03/2022,8ffb3cc9-46d0-4879-a622-ac7ac081e6ed,DEBL60691867,1689039897.0,https://www.deezer.com/track/1689039897,https://music.youtube.com/watch?v=aHJzUFOgyIE,,
nottingham_730.jams,Cairn on the Moor,Arthur Cormack,Nuair Bha Mi Og,10,242.0,24/11/2008,c8e51006-ac87-4b24-b16b-1f42b3c41f7e,GBCYD0804910,681704422.0,https://www.deezer.com/track/681704422,https://music.youtube.com/watch?v=DpB3UaDOa9w,,
nottingham_240.jams,Blackberry Quadrille,Paul Van Arsdale,Dulcimer Heritage: Traditional Hammered Dulcimer Music from New York State,2,162.0,01/01/1983,12b2679c-1cf5-44dc-943e-791d29f716b7,QMFMG1377053,1068220952.0,https://www.deezer.com/track/1068220952,https://music.youtube.com/watch?v=_teY4qWJA3o,,
nottingham_367.jams,Jonathan's Jig,Paul Sayre,A World to Play On,16,80.0,10/02/2017,526f710f-af68-401d-bd6c-fea484bb204f,QMQZ91200016,140151903.0,https://www.deezer.com/track/140151903,https://music.youtube.com/watch?v=o3NEd2EHwWw,,
nottingham_133.jams,Redwing,Feist,Multitudes,5,198.0,14/04/2023,2e3d8136-7a6b-4bc3-820d-02499d5a63de,FRUM72203030,2145064207.0,https://www.deezer.com/track/2145064207,https://music.youtube.com/watch?v=ecsYpc7-SH4,,
nottingham_125.jams,McQuillen's Squeezebox,Rodney Miller and Bob McQuillen,Pure Quill,1,193.0,,139443df-3093-4859-82ff-808bf8b19ef3,USCGH0718056,69741275.0,https://www.deezer.com/track/69741275,https://music.youtube.com/watch?v=QN5gDW4o-kA,,
nottingham_852.jams,West Fork Gals,Megan Lynch Chowning,Face to Face,10,153.0,01/12/2015,dd3ce33c-d012-4fb5-b806-337c4336401a,QM97N1500010,116797254.0,https://www.deezer.com/track/116797254,https://music.youtube.com/watch?v=Db8egAOfKag,,
nottingham_1032.jams,Crooked Stove Pipe,St. Louis Ragtimers,Full Steam Ahead and Loaded Up!,3,195.0,04/03/2016,,QMDA71526298,120431906.0,https://www.deezer.com/track/120431906,https://music.youtube.com/watch?v=F2E0fKzJ58Q,,
