chord_str,chord_cnt,chord_freq,composite
C:maj,481,0.07346876431953567,False
G:maj,404,0.06170765235985948,False
D:maj,325,0.049641056972659234,False
F:maj,285,0.043531388422178095,False
E:min,264,0.0403238124331755,False
D:min,252,0.03849091186803116,False
F,248,0.03787994501298304,False
A:maj,228,0.03482511073774248,False
G,224,0.034214143882694364,False
Bb:maj,223,0.03406140216893234,False
A:min,218,0.03329769360012219,False
Bb,175,0.026729799908354973,False
Eb,159,0.024285932488162517,False
D,153,0.023369482205590347,False
E:maj,148,0.022605773636780204,False
C,141,0.021536581640446004,False
Ab,126,0.01924545593401558,False
Eb:maj,122,0.018634489078967465,False
N,113,0.01725981365510921,False
B:maj,113,0.01725981365510921,False
A,108,0.01649610508629907,False
B:min,106,0.016190621658775012,False
Db,105,0.016037879945012982,False
G:min,104,0.015885138231250956,False
F:min,103,0.015732396517488926,False
F#:maj,87,0.013288529097296472,False
C:min,81,0.012372078814724302,False
C#:maj,61,0.009317244539483733,False
Ab:maj,54,0.008248052543149535,False
E,52,0.007942569115625478,False
F#:min,51,0.007789827401863449,False
Ab:min,45,0.006873377119291278,False
G#:maj,37,0.005651443409195051,False
D#:min,33,0.005040476554146938,False
D#:maj,33,0.005040476554146938,False
Bb:7,33,0.005040476554146938,False
A:sus4,31,0.00473499312662288,False
C:maj/2,31,0.00473499312662288,False
E:min/4,26,0.003971284557812739,False
C#:min,24,0.003665801130288682,False
D:7,24,0.003665801130288682,False
Eb:maj7,23,0.0035130594165266532,False
D:maj/3,23,0.0035130594165266532,False
D:min/b3,22,0.003360317702764625,False
B,19,0.0029020925614785397,False
Cb,18,0.0027493508477165114,False
G/3,18,0.0027493508477165114,False
G/4,18,0.0027493508477165114,False
D:min/5,18,0.0027493508477165114,False
F#:min/b3,17,0.002596609133954483,False
D:min7,17,0.002596609133954483,False
Bb/5,17,0.002596609133954483,False
F:min7,16,0.0024438674201924544,False
G:5,16,0.0024438674201924544,False
G/5,15,0.002291125706430426,False
E:maj/3,15,0.002291125706430426,False
Db:7,15,0.002291125706430426,False
Bb:min6/b3,15,0.002291125706430426,False
Gb:min/5,15,0.002291125706430426,False
G#:min,14,0.0021383839926683978,False
G:min7,14,0.0021383839926683978,False
Gb,13,0.0019856422789063695,False
C:sus4,13,0.0019856422789063695,False
F#,12,0.001832900565144341,False
E:min7,12,0.001832900565144341,False
Gb:maj,12,0.001832900565144341,False
C#/b7,11,0.0016801588513823125,False
F:7,11,0.0016801588513823125,False
F:sus4,11,0.0016801588513823125,False
F#/4,10,0.0015274171376202842,False
E:min9,10,0.0015274171376202842,False
G:maj7/3,10,0.0015274171376202842,False
D/3,10,0.0015274171376202842,False
Bb:maj7,10,0.0015274171376202842,False
B:min/5,10,0.0015274171376202842,False
E:min/5,10,0.0015274171376202842,False
F#:maj/3,10,0.0015274171376202842,False
Eb:min,10,0.0015274171376202842,False
Bb:min,9,0.0013746754238582557,False
E/3,9,0.0013746754238582557,False
Bb/3,9,0.0013746754238582557,False
A:min7,9,0.0013746754238582557,False
C:maj7,9,0.0013746754238582557,False
G#:min7,8,0.0012219337100962272,False
D/5,8,0.0012219337100962272,False
B:min/b3,8,0.0012219337100962272,False
C:min7,8,0.0012219337100962272,False
C:maj/3,8,0.0012219337100962272,False
A#:min,8,0.0012219337100962272,False
G:maj7/5,8,0.0012219337100962272,False
F#:7,7,0.0010691919963341989,False
G:7,7,0.0010691919963341989,False
G:sus4,7,0.0010691919963341989,False
D:maj7,7,0.0010691919963341989,False
C:7,7,0.0010691919963341989,False
D:maj/b7,6,0.0009164502825721705,False
G:maj7/7,6,0.0009164502825721705,False
C:maj/b7,6,0.0009164502825721705,False
D:min9,6,0.0009164502825721705,False
G:maj/5,6,0.0009164502825721705,False
F:maj7,5,0.0007637085688101421,False
A:aug,5,0.0007637085688101421,False
C/2,5,0.0007637085688101421,False
G/7,5,0.0007637085688101421,False
F#:dim7/b5,5,0.0007637085688101421,False
C:9,5,0.0007637085688101421,False
F:min6,5,0.0007637085688101421,False
E:min/b3,4,0.0006109668550481136,False
D:dim,4,0.0006109668550481136,False
F/3,4,0.0006109668550481136,False
Bb:sus4,4,0.0006109668550481136,False
Ab/2,4,0.0006109668550481136,False
G:maj/3,4,0.0006109668550481136,False
Ab:maj7,4,0.0006109668550481136,False
D:dim/b5,4,0.0006109668550481136,False
B:aug/3,4,0.0006109668550481136,False
E:min7/b7,4,0.0006109668550481136,False
E:min6/6,4,0.0006109668550481136,False
C#:maj/b7,4,0.0006109668550481136,False
F:5,4,0.0006109668550481136,False
A:min/b3,4,0.0006109668550481136,False
A:maj/3,4,0.0006109668550481136,False
Fb,4,0.0006109668550481136,False
G#:min9,3,0.00045822514128608525,False
C#,3,0.00045822514128608525,False
B:7,3,0.00045822514128608525,False
Db:maj,3,0.00045822514128608525,False
F:aug,3,0.00045822514128608525,False
A/5,3,0.00045822514128608525,False
Eb:dim,3,0.00045822514128608525,False
C:min/b3,3,0.00045822514128608525,False
Bb:maj/3,3,0.00045822514128608525,False
Bb:min/b3,3,0.00045822514128608525,False
Ab/5,3,0.00045822514128608525,False
Bb7/5,3,0.00045822514128608525,False
E:7,3,0.00045822514128608525,False
E:min6,3,0.00045822514128608525,False
Bb:5,3,0.00045822514128608525,False
Gb:min/b3,3,0.00045822514128608525,False
B:dim,2,0.0003054834275240568,False
E:dim/b3,2,0.0003054834275240568,False
F#:min/4,2,0.0003054834275240568,False
Bb:maj/5,2,0.0003054834275240568,False
G:min/b3,2,0.0003054834275240568,False
Bb7/3,2,0.0003054834275240568,False
G:min/5,2,0.0003054834275240568,False
Eb/2,2,0.0003054834275240568,False
G:min/b6,2,0.0003054834275240568,False
E:min7/5,2,0.0003054834275240568,False
E:maj7,2,0.0003054834275240568,False
A:min/4,2,0.0003054834275240568,False
F:maj7/5,2,0.0003054834275240568,False
Bb:maj/b7,2,0.0003054834275240568,False
B:maj7,2,0.0003054834275240568,False
C:5,2,0.0003054834275240568,False
G#:aug/3,2,0.0003054834275240568,False
A:min6,2,0.0003054834275240568,False
G:min7/b7,2,0.0003054834275240568,False
F/5,2,0.0003054834275240568,False
G:min/b7,2,0.0003054834275240568,False
F:min/b3,2,0.0003054834275240568,False
Gb:min/4,2,0.0003054834275240568,False
Eb:min7,1,0.0001527417137620284,False
F#:sus4,1,0.0001527417137620284,False
C#:min/5,1,0.0001527417137620284,False
D:min/4,1,0.0001527417137620284,False
C:aug,1,0.0001527417137620284,False
F#:dim,1,0.0001527417137620284,False
G:maj9,1,0.0001527417137620284,False
D:sus4,1,0.0001527417137620284,False
C#:maj/3,1,0.0001527417137620284,False
B:maj/5,1,0.0001527417137620284,False
B:maj/3,1,0.0001527417137620284,False
G#:min/b3,1,0.0001527417137620284,False
F:min/4,1,0.0001527417137620284,False
A#:maj,1,0.0001527417137620284,False
F:min7/b7,1,0.0001527417137620284,False
Ab:7,1,0.0001527417137620284,False
A:maj7,1,0.0001527417137620284,False
B:min7,1,0.0001527417137620284,False
Bb:min7/b3,1,0.0001527417137620284,False
Eb:maj/3,1,0.0001527417137620284,False
F:maj/3,1,0.0001527417137620284,False
B:maj/b7,1,0.0001527417137620284,False
