jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz
robbie-williams_3.jams,Ego A Go Go,Robbie Williams,Life Thru a Lens,03,214.959977,02/12/2022,a45d5ebb-6607-4d8e-a23a-1cf45021077a,GBUM72205264,2035265037.0,https://www.deezer.com/track/2035265037,https://music.youtube.com/watch?v=EGRONkniqpU,
robbie-williams_11.jams,How Peculiar (Reprise),Robbie Williams,Escapology,14b,133.76576,,3ba767c8-e59a-4fe7-a557-29c8a46e2d8e,,,,https://music.youtube.com/watch?v=fX-Ugj7Dutk,
robbie-williams_46.jams,Better Man,Robbie Williams,Sing When You're Winning,02,202.639977,06/06/2011,d573ab01-ab73-4215-9fe9-680188e52583,GBAYE0000725,3102418.0,https://www.deezer.com/track/3102418,https://music.youtube.com/watch?v=2FnsJ_Dm4As,
robbie-williams_50.jams,Karma Killer,Robbie Williams,I've Been Expecting You,09,268.266644,01/04/2004,1668b655-730d-416c-9173-18da6c651261,GBAYK9800019,3099008.0,https://www.deezer.com/track/3099008,https://music.youtube.com/watch?v=VWq4eI68FSQ,
robbie-williams_27.jams,Ghosts,Robbie Williams,Intensive Care,01,222.479977,01/01/2002,423cf597-5235-4f23-87af-e648bc7747f2,GBFFG0500003,3119899.0,https://www.deezer.com/track/3119899,https://music.youtube.com/watch?v=CX5YOYnj0TA,
robbie-williams_31.jams,Make Me Pure,Robbie Williams,Intensive Care,03,273.213311,01/01/2002,efe2f23c-e36f-41bd-a681-278d86cb5501,GBFFG0500005,3119901.0,https://www.deezer.com/track/3119901,https://music.youtube.com/watch?v=lek9igDqY6o,
robbie-williams_30.jams,Advertising Space,Robbie Williams,Intensive Care,05,277.493311,01/01/2002,adb9e226-0c3a-4871-aedb-d86ef029fe6b,GBFFG0500007,3119903.0,https://www.deezer.com/track/3119903,https://music.youtube.com/watch?v=PozVPAfYias,
robbie-williams_26.jams,Tripping,Robbie Williams,Intensive Care,02,276.586644,01/01/2002,423cf597-5235-4f23-87af-e648bc7747f2,GBFFG0500004,3119900.0,https://www.deezer.com/track/3119900,https://music.youtube.com/watch?v=k4Q9vZr9eVg,
robbie-williams_51.jams,Man Machine,Robbie Williams,I've Been Expecting You,11,214.999977,01/04/2004,a98c6bf3-00dd-46ce-af4a-a8f2be061399,GBAYK9800011,3099010.0,https://www.deezer.com/track/3099010,https://music.youtube.com/watch?v=KQWBekZuLDI,
robbie-williams_47.jams,Let Love Be Your Energy,Robbie Williams,Sing When You're Winning,01,299.034989,01/03/2003,0cdadaa1-9afc-4014-ab42-4a047cb9cb81,GBAYK0000128,3102417.0,https://www.deezer.com/track/3102417,https://music.youtube.com/watch?v=lu2ZdyKY6p8,
robbie-williams_10.jams,Old Before I Die,Robbie Williams,Life Thru a Lens,06,233.626644,01/04/2004,c9b2a136-f568-4f89-805d-e61978e98dd9,GBAYE9701174,3087540.0,https://www.deezer.com/track/3087540,https://music.youtube.com/watch?v=SWZZkz2nkQE,
robbie-williams_2.jams,Life Thru A Lens,Robbie Williams,Life Thru a Lens,02,187.533311,02/12/2022,4280d9aa-6bff-4912-aeb8-045198daef6e,GBAYE9701181,2035264457.0,https://www.deezer.com/track/2035264457,https://music.youtube.com/watch?v=48OaCfP_Voo,
robbie-williams_21.jams,Me and My Monkey,Robbie Williams,Escapology,10,432.734966,28/08/2006,57ea55c2-5cff-4f72-9fc2-e9a7afb63b62,GBFFG0200010,3098225.0,https://www.deezer.com/track/3098225,https://music.youtube.com/watch?v=bc-MkFxVsgA,
robbie-williams_9.jams,One Of God's Better People,Robbie Williams,Life Thru a Lens,07,213.733311,02/12/2022,1dd068c9-1a49-4a3c-8dba-e6f25ece5ba0,GBAYE9701184,2035264507.0,https://www.deezer.com/track/2035264507,https://music.youtube.com/watch?v=9afOjgL30IM,
robbie-williams_37.jams,Your Gay Friend,Robbie Williams,Intensive Care,07,201.56356,01/01/2002,d7a65f8f-53e5-418f-9ef1-59e2fef17c7f,GBFFG0500009,3119905.0,https://www.deezer.com/track/3119905,https://music.youtube.com/watch?v=3xlC2JiV0gY,
robbie-williams_60.jams,No Regrets,Robbie Williams,I've Been Expecting You,02,310.599977,01/04/2004,a98c6bf3-00dd-46ce-af4a-a8f2be061399,GBAYK9800014,3099001.0,https://www.deezer.com/track/3099001,https://music.youtube.com/watch?v=Yb_3Bv-kmWQ,
robbie-williams_5.jams,South Of The Border,Robbie Williams,Life Thru a Lens,05,233.373311,01/04/2004,42295d96-702f-46f6-9e7b-927831116cf4,GBAYE9701183,3087539.0,https://www.deezer.com/track/3087539,https://music.youtube.com/watch?v=7ABkFzWN5wI,
robbie-williams_17.jams,Something Beautiful,Robbie Williams,Escapology,03,288.816803,28/08/2006,14b235e4-1e5c-4c32-af1c-90c4e61f27fd,GBFFG0200003,3098218.0,https://www.deezer.com/track/3098218,https://music.youtube.com/watch?v=HTWGsTkntsA,
robbie-williams_40.jams,Knutsford City Limits,Robbie Williams,Sing When You're Winning,09,285.46932,01/03/2003,b21227d3-3f2e-4f4f-873b-53798c87bc65,GBAYK0000134,3102425.0,https://www.deezer.com/track/3102425,https://music.youtube.com/watch?v=Cxt1E5qTOPk,
robbie-williams_56.jams,Strong,Robbie Williams,I've Been Expecting You,01,279.313379,01/04/2004,a98c6bf3-00dd-46ce-af4a-a8f2be061399,GBAYK9800013,3099000.0,https://www.deezer.com/track/3099000,https://music.youtube.com/watch?v=KVyxpwSvMsc,
robbie-williams_57.jams,She's The One,Robbie Williams,I've Been Expecting You,10,258.035465,01/04/2004,a98c6bf3-00dd-46ce-af4a-a8f2be061399,GBAYK9800020,3099009.0,https://www.deezer.com/track/3099009,https://music.youtube.com/watch?v=wp1m1MAFkk4,
robbie-williams_41.jams,Forever Texas,Robbie Williams,Sing When You're Winning,10,217.65517,01/03/2003,7e13b0d4-4b40-4edc-928e-147fc0c08898,GBAYK0000135,3102426.0,https://www.deezer.com/track/3102426,https://music.youtube.com/watch?v=VXaYhU_QNtM,
robbie-williams_16.jams,Nan's Song,Robbie Williams,Escapology,14a,231.766349,28/08/2006,0e2cd43a-9fd3-4ec0-a381-23fe8aaaa630,GBFFG0200014,3098229.0,https://www.deezer.com/track/3098229,https://music.youtube.com/watch?v=H5hxbw1JWPE,
robbie-williams_4.jams,Angels,Robbie Williams,Life Thru a Lens,04,264.999977,01/04/2004,eff706ac-fa4d-4ae1-8609-7550b539bfef,GBAYE9700233,3087538.0,https://www.deezer.com/track/3087538,https://music.youtube.com/watch?v=ezvBR_jakk0,
robbie-williams_61.jams,These Dreams,Robbie Williams,I've Been Expecting You,12,309.847052,01/04/2004,a98c6bf3-00dd-46ce-af4a-a8f2be061399,GBAYK9800022,3099011.0,https://www.deezer.com/track/3099011,https://music.youtube.com/watch?v=GDYpz3SIMqI,
robbie-williams_36.jams,Please Don't Die,Robbie Williams,Intensive Care,06,287.551247,01/01/2002,7ee28a0a-b24c-4307-844a-53d49f0a8789,GBFFG0500008,3119904.0,https://www.deezer.com/track/3119904,https://music.youtube.com/watch?v=wia-8vgpupM,
robbie-williams_8.jams,Let Me Entertain You,Robbie Williams,Life Thru a Lens,08,261.999977,01/04/2004,e7e1c858-2052-4acc-bc4c-eef5d8a03d0d,GBAYE9701083,3087542.0,https://www.deezer.com/track/3087542,https://music.youtube.com/watch?v=kzeK0V0amPQ,
robbie-williams_20.jams,Come Undone,Robbie Williams,Escapology,09,278.439977,28/08/2006,c5007e23-21ea-450a-8181-b1ca62b43782,GBFFG0200009,3098224.0,https://www.deezer.com/track/3098224,https://music.youtube.com/watch?v=-fvDv2ltyw0,
robbie-williams_58.jams,Win Some Lose Some,Robbie Williams,I've Been Expecting You,05,258.738481,01/04/2004,963d1b9a-4353-4c51-9c64-f61018b2df8a,GBAYK9800016,3099004.0,https://www.deezer.com/track/3099004,https://music.youtube.com/watch?v=wR-nPqBhZPo,
robbie-williams_19.jams,Handsome Man,Robbie Williams,Escapology,08,236.533311,28/08/2006,a49efc4b-7cf5-41cd-a035-00db3962d364,GBFFG0200008,3098223.0,https://www.deezer.com/track/3098223,https://music.youtube.com/watch?v=tC2mrYQrdpE,
robbie-williams_35.jams,A Place To Crash,Robbie Williams,Intensive Care,11,274.026644,01/01/2002,7f861e75-ed8e-4b48-b54e-a963d626d0d8,GBFFG0500013,3119909.0,https://www.deezer.com/track/3119909,https://music.youtube.com/watch?v=1irrZRE-Kig,
robbie-williams_23.jams,Hot Fudge,Robbie Williams,Escapology,12,248.113356,28/08/2006,eb946229-b3d4-413a-9158-6a4e3fa28566,GBFFG0200012,3098227.0,https://www.deezer.com/track/3098227,https://music.youtube.com/watch?v=v3FG8TfG2fo,
robbie-williams_54.jams,It's Only Us,Robbie Williams,I've Been Expecting You,07,170.733311,01/04/2004,a98c6bf3-00dd-46ce-af4a-a8f2be061399,GBAYK9900061,3099006.0,https://www.deezer.com/track/3099006,https://music.youtube.com/watch?v=0eRNOMcMUHQ,
