id,title,performers,release_year,file_path,jams_path
rock-corpus_0,1999,Prince,1982.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_0.jams
rock-corpus_1,A Change Is Gonna Come,Sam Cooke,1964.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_1.jams
rock-corpus_2,A Day In The Life,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_2.jams
rock-corpus_3,A Hard Day's Night,The Beatles,1964.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_3.jams
rock-corpus_4,A Whiter Shade Of Pale,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_4.jams
rock-corpus_5,All Along The Watchtower,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_5.jams
rock-corpus_6,All Apologies,Nirvana,1993.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_6.jams
rock-corpus_7,All I Have To Do Is Dream,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_7.jams
rock-corpus_8,Anarchy In The U.K.,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_8.jams
rock-corpus_9,Back In Black,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_9.jams
rock-corpus_10,Be-Bop-A-Lula,Gene Vincent,1956.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_10.jams
rock-corpus_11,Be My Baby,The Ronettes,1963.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_11.jams
rock-corpus_12,Billie Jean,Michael Jackson,1983.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_12.jams
rock-corpus_13,Bitter Sweet Symphony,The Verve,1997.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_13.jams
rock-corpus_14,Bizarre Love Triangle,New Order,1986.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_14.jams
rock-corpus_15,Blitzkrieg Bop,The Ramones,1976.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_15.jams
rock-corpus_16,Blowin' In The Wind,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_16.jams
rock-corpus_17,Blue Suede Shoes,Carl Perkins,1956.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_17.jams
rock-corpus_18,Blueberry Hill,Fats Domino,1956.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_18.jams
rock-corpus_19,Bo Diddley,Bo Diddley,1955.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_19.jams
rock-corpus_20,Bohemian Rhapsody,Queen,1975.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_20.jams
rock-corpus_21,Born To Be Wild,Steppenwolf,1968.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_21.jams
rock-corpus_22,Born To Run,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_22.jams
rock-corpus_23,Both Sides Now,Joni Mitchell,1969.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_23.jams
rock-corpus_24,Bridge Over Troubled Water,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_24.jams
rock-corpus_25,Brown-Eyed Girl,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_25.jams
rock-corpus_26,California Dreamin',The Mamas & the Papas,1965.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_26.jams
rock-corpus_27,California Girls,The Beach Boys,1965.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_27.jams
rock-corpus_28,California Love,Dr. Dre and 2Pac,1996.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_28.jams
rock-corpus_29,Cathy's Clown,The Everly Brothers,1960.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_29.jams
rock-corpus_30,Changes,David Bowie,1971.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_30.jams
rock-corpus_31,Come As You Are,Nirvana,1991.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_31.jams
rock-corpus_32,Crazy,Patsy Cline,1961.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_32.jams
rock-corpus_33,Crying,Roy Orbison,1961.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_33.jams
