Piece No.	Cat. Suffix	Tr. No.	Title	Artist (Vocal)	Singer Information	Length	Tempo	Live Instruments Used	Drum Information
No. 1	M01	Tr. 01	Eien no replica	Kazuo Nishi	Male	3:29	135	Gt	Drum sequences
No. 2	M01	Tr. 02	Magic in your eyes	Hiromi Yoshii	Female	3:42	100	Gt & Bs	Drum sequences
No. 3	M01	Tr. 03	HORO	MIT	Vocal group (1 male + 1 female)	3:15	111	 	Drum sequences
No. 4	M01	Tr. 04	Spice of Life	Hisayoshi Kazato	Male	4:02	86	Gt	Drum sequences
No. 5	M01	Tr. 05	Koino Ver.2.4	Eves	Vocal group (4 female)	3:48	135	Gt	Drum sequences
No. 6	M01	Tr. 06	Funky Life	Oriken	Male	3:26	120	Gt	Drum sequences
No. 7	M01	Tr. 07	PROLOGUE	Tomomi Ogata	Female	4:58	122	Gt	Drum sequences
No. 8	M01	Tr. 08	Jinsei konnamono	fevers	Vocal group (2 female)	3:12	127	Gt & Bs	Drum sequences
No. 9	M01	Tr. 09	Doukoku	Kazuo Nishi	Male	4:37	70	Gt & Bs & Dr	Live drums
No. 10	M01	Tr. 10	Getting Over	Brakes	Vocal group (3 female)	3:35	125	Gt	Drum sequences
No. 11	M01	Tr. 11	Ienai	Hisayoshi Kazato	Male	4:27	90	Gt	Drum sequences
No. 12	M01	Tr. 12	KAGE-ROU	Kazuo Nishi	Male	3:24	120	Gt & Bs	Drum sequences
No. 13	M01	Tr. 13	Catch ball	Konbu	Female	3:39	103	Gt	Drum sequences
No. 14	M01	Tr. 14	Karehairo no Twilight	Rin	Female	3:54	88	Gt & Bs	Drum sequences
No. 15	M01	Tr. 15	old fashioned	Katsuyuki Ozawa	Male	2:42	132	Gt	Drum sequences
No. 16	M01	Tr. 16	Game of Love	Hiromi Yoshii	Female	4:22	122	Gt & Bs	Drum loops
No. 17	M02	Tr. 01	Anata to aete	Hiromi Yoshii	Female	4:01	97	Gt	Drum sequences
No. 18	M02	Tr. 02	True Heart	Tomomi Ogata	Female	4:14	112	Gt	Drum sequences
No. 19	M02	Tr. 03	COOL Motion	Hisayoshi Kazato	Male	4:49	130	Gt	Drum sequences
No. 20	M02	Tr. 04	Tokimeki no syunkan	Eri Ichikawa	Female	4:10	134	 	Drum sequences
No. 21	M02	Tr. 05	Feeling In My Heart	Rin	Female	4:28	98	Gt	Drum sequences
No. 22	M02	Tr. 06	Koi ni ochiru jikan ni kansuru kousatsu	Kazuo Nishi	Male	3:29	135	Gt	Drum sequences
