start;end;shorthand;extended;majmin;majmin_inv
2.36;6.72;"C:min";"C:(b3,5)";"C:min";"C:min"
6.72;7.48;"B:dim7/C";"B:(b3,b5,bb7)/C";"B:min";"B:min/C"
7.48;9.44;"C:min";"C:(b3,5)";"C:min";"C:min"
9.44;10.16;"B:dim7/C";"B:(b3,b5,bb7)/C";"B:min";"B:min/C"
10.16;11.9;"C:min";"C:(b3,5)";"C:min";"C:min"
11.9;12.64;"F:min";"F:(b3,5)";"F:min";"F:min"
12.64;13.84;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
13.84;15.06;"F:min7/G#";"F:(b3,5,b7)/G#";"F:min";"F:min/G#"
15.06;16.38;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
16.38;17.9;"G";"G:(3,5)";"G:maj";"G:maj"
17.9;20.56;"C:min";"C:(b3,5)";"C:min";"C:min"
20.56;23.16;"C:min";"C:(b3,5)";"C:min";"C:min"
23.16;25.88;"D:hdim7/C";"D:(b3,b5,b7)/C";"D:min";"D:min/C"
25.88;26.96;"C:min";"C:(b3,5)";"C:min";"C:min"
26.96;27.6;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
27.6;28.3;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
28.3;30.84;"C:min";"C:(b3,5)";"C:min";"C:min"
30.84;33.5;"C:min";"C:(b3,5)";"C:min";"C:min"
33.5;36.22;"D:hdim7/C";"D:(b3,b5,b7)/C";"D:min";"D:min/C"
36.22;37.36;"C:min";"C:(b3,5)";"C:min";"C:min"
37.36;37.98;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
37.98;38.72;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
38.72;40.32;"C:min";"C:(b3,5)";"C:min";"C:min"
40.32;41.02;"A#/D";"A#:(3,5)/D";"A#:maj";"A#:maj/D"
41.02;41.72;"A#:7";"A#:(3,b7)";"A#:maj";"A#:maj"
41.72;43.12;"D#";"D#:(3,5)";"D#:maj";"D#:maj"
43.12;43.66;"C:min";"C:(b3,5)";"C:min";"C:min"
43.66;44.2;"F:7/C";"F:(3,5,b7)/C";"F:maj";"F:maj/C"
44.2;46.12;"A#";"A#:(3,5)";"A#:maj";"A#:maj"
46.12;46.96;"D#/G";"D#:(3,5)/G";"D#:maj";"D#:maj/G"
46.96;47.5;"A#:7/F";"A#:(3,5,b7)/F";"A#:maj";"A#:maj/F"
47.5;48.3;"D#/G";"D#:(3,5)/G";"D#:maj";"D#:maj/G"
48.3;49.5;"A#:7";"A#:(3,5,b7)";"A#:maj";"A#:maj"
49.5;50.74;"D#";"D#:(3,5)";"D#:maj";"D#:maj"
50.74;51.44;"D:dim7/D#";"D:(b3,b5,bb7)/D#";"D:min";"D:min/D#"
51.44;52.08;"D#:7";"D#:(3,5,b7)";"D#:maj";"D#:maj"
52.08;53.4;"G#";"G#:(3,5)";"G#:maj";"G#:maj"
53.4;54.08;"F:min";"F:(b3,5)";"F:min";"F:min"
54.08;54.64;"A#:7/F";"A#:(3,5,b7)/F";"A#:maj";"A#:maj/F"
54.64;56.56;"D#";"D#:(3,5)";"D#:maj";"D#:maj"
56.56;57.24;"G#/C";"G#:(3,5)/C";"G#:maj";"G#:maj/C"
57.24;57.84;"D#:7/A#";"D#:(3,5,b7)/A#";"D#:maj";"D#:maj/A#"
57.84;58.48;"G#/C";"G#:(3,5)/C";"G#:maj";"G#:maj/C"
58.48;60.12;"D#";"D#:(3,5)";"D#:maj";"D#:maj"
60.12;62.9;"G#";"G#:(3,5)";"G#:maj";"G#:maj"
62.9;65.52;"D:hdim7/F";"D:(b3,b5,b7)/F";"D:min";"D:min/F"
65.52;68.18;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
68.18;70.8;"D:hdim7/F";"D:(b3,b5,b7)/F";"D:min";"D:min/F"
70.8;72.68;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
72.68;73.3;"D#/G";"D#:(3,5)/G";"D#:maj";"D#:maj/G"
73.3;74.6;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
74.6;75.96;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
75.96;78.7;"C:min";"C:(b3,5)";"C:min";"C:min"
78.7;81.34;"D:hdim7/F";"D:(b3,b5,b7)/F";"D:min";"D:min/F"
81.34;83.34;"C:min/D#";"C:(b3,5)/D#";"C:min";"C:min/D#"
