start;end;shorthand;extended;majmin;majmin_inv
0.26;5.16;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
5.16;5.84;"A:dim7/A#";"A:(b3,b5,bb7)/A#";"A:min";"A:min/A#"
5.84;7.66;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
7.66;8.4;"A:dim7/A#";"A:(b3,b5,bb7)/A#";"A:min";"A:min/A#"
8.4;10.24;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
10.24;10.98;"D#:min";"D#:(b3,5)";"D#:min";"D#:min"
10.98;12.14;"A#:min/F";"A#:(b3,5)/F";"A#:min";"A#:min/F"
12.14;13.36;"D#:min7/F#";"D#:(b3,5,b7)/F#";"D#:min";"D#:min/F#"
13.36;14.52;"A#:min/F";"A#:(b3,5)/F";"A#:min";"A#:min/F"
14.52;15.9;"F";"F:(3,5)";"F:maj";"F:maj"
15.9;18.32;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
18.32;20.94;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
20.94;23.5;"C:hdim7/A#";"C:(b3,b5,b7)/A#";"C:min";"C:min/A#"
23.5;24.68;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
24.68;25.42;"A#:min/F";"A#:(b3,5)/F";"A#:min";"A#:min/F"
25.42;26.24;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
26.24;28.56;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
28.56;31.24;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
31.24;33.68;"C:hdim7/A#";"C:(b3,b5,b7)/A#";"C:min";"C:min/A#"
33.68;35.06;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
35.06;35.64;"A#:min/F";"A#:(b3,5)/F";"A#:min";"A#:min/F"
35.64;36.38;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
36.38;37.62;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
37.62;38.36;"G#/C";"G#:(3,5)/C";"G#:maj";"G#:maj/C"
38.36;39.06;"G#:7";"G#:(3,b7)";"G#:maj";"G#:maj"
39.06;40.4;"C#";"C#:(3,5)";"C#:maj";"C#:maj"
40.4;40.94;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
40.94;41.48;"D#:7/A#";"D#:(3,5,b7)/A#";"D#:maj";"D#:maj/A#"
41.48;43.34;"G#";"G#:(3,5)";"G#:maj";"G#:maj"
43.34;44.06;"C#/F";"C#:(3,5)/F";"C#:maj";"C#:maj/F"
44.06;44.66;"G#:7/D#";"G#:(3,5,b7)/D#";"G#:maj";"G#:maj/D#"
44.66;45.2;"C#/F";"C#:(3,5)/F";"C#:maj";"C#:maj/F"
45.2;46.5;"G#:7";"G#:(3,5,b7)";"G#:maj";"G#:maj"
46.5;47.7;"C#";"C#:(3,5)";"C#:maj";"C#:maj"
47.7;48.32;"C:dim7/C#";"C:(b3,b5,bb7)/C#";"C:min";"C:min/C#"
48.32;49.06;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
49.06;50.28;"F#";"F#:(3,5)";"F#:maj";"F#:maj"
50.28;50.84;"D#:min";"D#:(b3,5)";"D#:min";"D#:min"
50.84;51.38;"G#:7/D#";"G#:(3,5,b7)/D#";"G#:maj";"G#:maj/D#"
51.38;53.22;"C#";"C#:(3,5)";"C#:maj";"C#:maj"
53.22;53.9;"F#/A#";"F#:(3,5)/A#";"F#:maj";"F#:maj/A#"
53.9;54.48;"C#:7/G#";"C#:(3,5,b7)/G#";"C#:maj";"C#:maj/G#"
54.48;55.1;"F#/A#";"F#:(3,5)/A#";"F#:maj";"F#:maj/A#"
55.1;56.42;"C#";"C#:(3,5)";"C#:maj";"C#:maj"
56.42;59.1;"F#";"F#:(3,5)";"F#:maj";"F#:maj"
59.1;61.68;"C:hdim7/D#";"C:(b3,b5,b7)/D#";"C:min";"C:min/D#"
61.68;64.42;"A#:min/C#";"A#:(b3,5)/C#";"A#:min";"A#:min/C#"
64.42;67.1;"C:hdim7/D#";"C:(b3,b5,b7)/D#";"C:min";"C:min/D#"
67.1;69;"A#:min/C#";"A#:(b3,5)/C#";"A#:min";"A#:min/C#"
69;69.66;"C#/F";"C#:(3,5)/F";"C#:maj";"C#:maj/F"
69.66;70.76;"A#:min/F";"A#:(b3,5)/F";"A#:min";"A#:min/F"
70.76;72.08;"F:7";"F:(3,5,b7)";"F:maj";"F:maj"
72.08;74.9;"A#:min";"A#:(b3,5)";"A#:min";"A#:min"
74.9;77.66;"C:hdim7/D#";"C:(b3,b5,b7)/D#";"C:min";"C:min/D#"
77.66;79.66;"A#:min/C#";"A#:(b3,5)/C#";"A#:min";"A#:min/C#"
