start;end;shorthand;extended;majmin;majmin_inv
0.72;1.94;"D:min";"D:(b3,5)";"D:min";"D:min"
1.94;3.16;"D:min7/C";"D:(b3,5,b7)/C";"D:min";"D:min/C"
3.16;4.36;"A#:maj";"A#:(3,5)";"A#:maj";"A#:maj"
4.36;5.68;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
5.68;6.88;"E:hdim7/G";"E:(b3,b5,b7)/G";"E:min";"E:min/G"
6.88;8.24;"A:maj";"A:(3,5)";"A:maj";"A:maj"
8.24;9.56;"D:min";"D:(b3,5)";"D:min";"D:min"
9.56;10.92;"A:maj";"A:(3,5)";"A:maj";"A:maj"
10.92;13.46;"D:min";"D:(b3,5)";"D:min";"D:min"
13.46;15.96;"A:maj";"A:(3,5)";"A:maj";"A:maj"
15.96;18.54;"D:min";"D:(b3,5)";"D:min";"D:min"
18.54;21.44;"A:maj";"A:(3,5)";"A:maj";"A:maj"
21.44;26.82;"C#:min/G#";"C#:(b3,5)/G#";"C#:min";"C#:min/G#"
26.82;28.04;"F#:min7";"F#:(b3,5,b7)";"F#:min";"F#:min"
28.04;29.34;"G#:7";"G#:(3,5,b7)";"G#:maj";"G#:maj"
29.34;31.98;"C#:min";"C#:(b3,5)";"C#:min";"C#:min"
31.98;32.66;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
32.66;33.2;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
33.2;34.58;"A:maj";"A:(3,5)";"A:maj";"A:maj"
34.58;37.06;"D:min";"D:(b3,5)";"D:min";"D:min"
37.06;39.62;"A:maj";"A:(3,5)";"A:maj";"A:maj"
39.62;42.16;"D:min";"D:(b3,5)";"D:min";"D:min"
42.16;45.06;"A:maj";"A:(3,5)";"A:maj";"A:maj"
45.06;50.6;"C#:min/G#";"C#:(b3,5)/G#";"C#:min";"C#:min/G#"
50.6;51.9;"F#:min7";"F#:(b3,5,b7)";"F#:min";"F#:min"
51.9;53.34;"G#:7";"G#:(3,5,b7)";"G#:maj";"G#:maj"
53.34;56.1;"C#:min";"C#:(b3,5)";"C#:min";"C#:min"
56.1;57.42;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
57.42;58.08;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
58.08;58.86;"A:maj";"A:(3,5)";"A:maj";"A:maj"
58.86;59.86;"D:maj";"D:(3,5)";"D:maj";"D:maj"
59.86;61.46;"E:9/G#";"E:(3,5,b7,9)/G#";"E:maj";"E:maj/G#"
61.46;62.62;"A:maj";"A:(3,5)";"A:maj";"A:maj"
62.62;64;"B:7/F#";"B:(3,5,b7)/F#";"B:maj";"B:maj/F#"
64;65.26;"E:min";"E:(b3,5)";"E:min";"E:min"
65.26;66.52;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
66.52;68.3;"D:maj";"D:(3,5)";"D:maj";"D:maj"
68.3;68.94;"G:maj";"G:(3,5)";"G:maj";"G:maj"
68.94;70.14;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
70.14;70.66;"A:min/E";"A:(b3,5)/E";"A:min";"A:min/E"
70.66;71.28;"B:maj/D#";"B:(3,5)/D#";"B:maj";"B:maj/D#"
71.28;71.92;"C:maj/E";"C:(3,5)/E";"C:maj";"C:maj/E"
71.92;72.64;"D:7/F#";"D:(3,5,b7)/F#";"D:maj";"D:maj/F#"
72.64;74.02;"G:maj";"G:(3,5)";"G:maj";"G:maj"
74.02;75.42;"E:min7/G";"E:(b3,5,b7)/G";"E:min";"E:min/G"
