start;end;shorthand;extended;majmin;majmin_inv
0.26;5.86;"B:min";"B:(b3,5)";"B:min";"B:min"
5.86;8.7;"C#:hdim7/B";"C#:(b3,b5,b7)/B";"C#:min";"C#:min/B"
8.7;11.52;"B:min";"B:(b3,5)";"B:min";"B:min"
11.52;14.44;"C#:hdim7/B";"C#:(b3,b5,b7)/B";"C#:min";"C#:min/B"
14.44;23.82;"B:min";"B:(b3,5)";"B:min";"B:min"
23.82;25.5;"C#:hdim7/B";"C#:(b3,b5,b7)/B";"C#:min";"C#:min/B"
25.5;35.22;"B:min";"B:(b3,5)";"B:min";"B:min"
35.22;36.66;"C#:hdim7/B";"C#:(b3,b5,b7)/B";"C#:min";"C#:min/B"
36.66;39.68;"B:min";"B:(b3,5)";"B:min";"B:min"
39.68;42.56;"F#:7/A#";"F#:(3,5,b7)/A#";"F#:maj";"F#:maj/A#"
42.56;43.94;"B:min";"B:(b3,5)";"B:min";"B:min"
43.94;44.52;"C#:(3,5,b7,b9)";"C#:(3,5,b7,b9)";"C#:maj";"C#:maj"
44.52;45.46;"B:min/D";"B:(b3,5)/D";"B:min";"B:min/D"
45.46;48.46;"C#:(3,b5,b7)";"C#:(3,b5,b7)";"C#:maj";"C#:maj"
48.46;51.64;"F#:(3,5,b9)";"F#:(3,5,b9)";"F#:maj";"F#:maj"
51.64;54.3;"F#:7/A#";"F#:(3,5,b7)/A#";"F#:maj";"F#:maj/A#"
54.3;55.66;"B:min";"B:(b3,5)";"B:min";"B:min"
55.66;56.42;"C#:(3,5,b7,b9)";"C#:(3,5,b7,b9)";"C#:maj";"C#:maj"
56.42;57.06;"B:min/D";"B:(b3,5)/D";"B:min";"B:min/D"
57.06;60.22;"C#:(b5,b7)";"C#:(b5,b7)";"C#:maj";"C#:maj"
60.22;66.2;"F#:(3,5,b7,b9)";"F#:(3,5,b7,b9)";"F#:maj";"F#:maj"
66.2;69.38;"G#:dim7";"G#:(b3,b5,bb7)";"G#:min";"G#:min"
69.38;72.9;"A:maj";"A:(3,5)";"A:maj";"A:maj"
72.9;75.94;"G#:dim7";"G#:(b3,b5,bb7)";"G#:min";"G#:min"
75.94;79.12;"A:maj";"A:(3,5)";"A:maj";"A:maj"
79.12;79.62;"A:maj";"A:(3,5)";"A:maj";"A:maj"
79.62;80.28;"E:7/G#";"E:(3,5,b7)/G#";"E:maj";"E:maj/G#"
80.28;80.88;"A:7/G";"A:(3,5,b7)/G";"A:maj";"A:maj/G"
80.88;81.58;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
81.58;83.02;"G:maj";"G:(3,5)";"G:maj";"G:maj"
83.02;83.54;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
83.54;84.16;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
84.16;87.06;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
87.06;89.3;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
89.3;90.12;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
90.12;92.42;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
92.42;93.34;"C#:(b5,b7)/G";"C#:(b5,b7)/G";"C#:maj";"C#:maj/G"
93.34;95.54;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
95.54;97.06;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
97.06;99.32;"B:min";"B:(b3,5)";"B:min";"B:min"
99.32;100.06;"C#:7/F";"C#:(3,5,b7)/F";"C#:maj";"C#:maj/F"
100.06;101.58;"F#:maj";"F#:(3,5)";"F#:maj";"F#:maj"
101.58;103.32;"B:min";"B:(b3,5)";"B:min";"B:min"
103.32;106.88;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
106.88;109.82;"G:maj";"G:(3,5)";"G:maj";"G:maj"
109.82;113.32;"G#:dim7";"G#:(b3,b5,bb7)";"G#:min";"G#:min"
113.32;117.6;"A:maj";"A:(3,5)";"A:maj";"A:maj"
117.6;118.24;"E:7/G#";"E:(3,5,b7)/G#";"E:maj";"E:maj/G#"
118.24;118.94;"A:7/G";"A:(3,5,b7)/G";"A:maj";"A:maj/G"
118.94;119.76;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
119.76;120.92;"G:maj";"G:(3,5)";"G:maj";"G:maj"
120.92;121.56;"C:min/G";"C:(b3,5)/G";"C:min";"C:min/G"
121.56;122.28;"F#:dim7";"F#:(b3,b5,bb7)";"F#:min";"F#:min"
122.28;125.6;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
125.6;128.02;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
128.02;128.94;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
128.94;131.36;"C:maj/G";"C:(3,5)/G";"C:maj";"C:maj/G"
131.36;132.32;"C#:(b5,b7)/G";"C#:(b5,b7)/G";"C#:maj";"C#:maj/G"
132.32;135.18;"B:min/F#";"B:(b3,5)/F#";"B:min";"B:min/F#"
135.18;137.32;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
137.32;152.64;"B:min";"B:(b3,5)";"B:min";"B:min"
