start;end;shorthand;extended;majmin;majmin_inv
1.6;4.9;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
4.9;5.3;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
5.3;8.72;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
8.72;9.5;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
9.5;14.8;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
14.8;15.22;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
15.22;16.04;"A:maj";"A:(3,5)";"A:maj";"A:maj"
16.04;16.44;"D:maj";"D:(3,5)";"D:maj";"D:maj"
16.44;16.84;"E:7/B";"E:(3,5,b7)/B";"E:maj";"E:maj/B"
16.84;17.26;"D:maj/A";"D:(3,5)/A";"D:maj";"D:maj/A"
17.26;18.86;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
18.86;20.88;"D:maj";"D:(3,5)";"D:maj";"D:maj"
20.88;23.78;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
23.78;24.08;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
24.08;25.22;"A:maj";"A:(3,5)";"A:maj";"A:maj"
25.22;25.6;"D:maj";"D:(3,5)";"D:maj";"D:maj"
25.6;25.96;"A#:dim7/C#";"A#:(b3,b5,bb7)/C#";"A#:min";"A#:min/C#"
25.96;26.36;"B:min";"B:(b3,5)";"B:min";"B:min"
26.36;26.82;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
26.82;27.38;"G:maj";"G:(3,5)";"G:maj";"G:maj"
27.38;27.92;"E:min";"E:(b3,5)";"E:min";"E:min"
27.92;30.78;"C#:7/F";"C#:(3,5,b7)/F";"C#:maj";"C#:maj/F"
