start;end;shorthand;extended;majmin;majmin_inv
0.76;3.88;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
3.88;4.3;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
4.3;7.56;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
7.56;8.04;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
8.04;13.54;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
13.54;13.84;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
13.84;14.78;"A:maj";"A:(3,5)";"A:maj";"A:maj"
14.78;15.24;"D:maj";"D:(3,5)";"D:maj";"D:maj"
15.24;15.64;"E:7/B";"E:(3,5,b7)/B";"E:maj";"E:maj/B"
15.64;15.94;"D:maj/A";"D:(3,5)/A";"D:maj";"D:maj/A"
15.94;17.62;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
17.62;19.66;"D:maj";"D:(3,5)";"D:maj";"D:maj"
19.66;22.38;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
22.38;22.74;"E:(3,5,b7,b9)/G#";"E:(3,5,b7,b9)/G#";"E:maj";"E:maj/G#"
22.74;23.5;"A:maj";"A:(3,5)";"A:maj";"A:maj"
23.5;23.86;"D:maj";"D:(3,5)";"D:maj";"D:maj"
23.86;24.24;"A#:dim7/C#";"A#:(b3,b5,bb7)/C#";"A#:min";"A#:min/C#"
24.24;24.54;"B:min";"B:(b3,5)";"B:min";"B:min"
24.54;25.04;"F#:7";"F#:(3,5,b7)";"F#:maj";"F#:maj"
25.04;25.42;"G:maj";"G:(3,5)";"G:maj";"G:maj"
25.42;26.12;"E:min";"E:(b3,5)";"E:min";"E:min"
26.12;28.62;"C#:7/F";"C#:(3,5,b7)/F";"C#:maj";"C#:maj/F"
28.62;32.68;"F#:(3,5,b7,b9)";"F#:(3,5,b7,b9)";"F#:maj";"F#:maj"
32.68;36.12;"F#:(3,5,b7,b9)";"F#:(3,5,b7,b9)";"F#:maj";"F#:maj"
36.12;37.84;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
37.84;39.56;"F#:(3,5,b7,b9)";"F#:(3,5,b7,b9)";"F#:maj";"F#:maj"
39.56;42.5;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
42.5;43.1;"D:min7";"D:(b3,5,b7)";"D:min";"D:min"
43.1;44.94;"E:(3,b5,b7)/G#";"E:(3,b5,b7)/G#";"E:maj";"E:maj/G#"
44.94;45.24;"A:maj";"A:(3,5)";"A:maj";"A:maj"
45.24;45.5;"E:(3,b5,b7)/A#";"E:(3,b5,b7)/A#";"E:maj";"E:maj/A#"
45.5;45.76;"A:maj";"A:(3,5)";"A:maj";"A:maj"
45.76;46.04;"E:(3,b5,b7)/A#";"E:(3,b5,b7)/A#";"E:maj";"E:maj/A#"
46.04;46.3;"A:maj";"A:(3,5)";"A:maj";"A:maj"
46.3;46.58;"E:(3,b5,b7)/A#";"E:(3,b5,b7)/A#";"E:maj";"E:maj/A#"
46.58;46.86;"A:maj";"A:(3,5)";"A:maj";"A:maj"
46.86;47.14;"E:(3,b5,b7)/A#";"E:(3,b5,b7)/A#";"E:maj";"E:maj/A#"
47.14;47.44;"A:maj";"A:(3,5)";"A:maj";"A:maj"
47.44;47.74;"E:(3,b5,b7)/A#";"E:(3,b5,b7)/A#";"E:maj";"E:maj/A#"
47.74;48.04;"A:maj";"A:(3,5)";"A:maj";"A:maj"
48.04;48.48;"E:(3,b5,b7)/A#";"E:(3,b5,b7)/A#";"E:maj";"E:maj/A#"
48.48;52.22;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
52.22;53.46;"D:min";"D:(b3,5)";"D:min";"D:min"
53.46;54.58;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
54.58;55.72;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
55.72;57.86;"A:min";"A:(b3,5)";"A:min";"A:min"
57.86;60.36;"D:min/A";"D:(b3,5)/A";"D:min";"D:min/A"
60.36;61.88;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
61.88;64.62;"D:min";"D:(b3,5)";"D:min";"D:min"
64.62;65.96;"A:maj";"A:(3,5)";"A:maj";"A:maj"
65.96;67;"D:min/F";"D:(b3,5)/F";"D:min";"D:min/F"
67;67.94;"A:(3,5,b7,b9)";"A:(3,5,b7,b9)";"A:maj";"A:maj"
67.94;69.14;"D:min";"D:(b3,5)";"D:min";"D:min"
69.14;70.32;"G:7";"G:(3,5,b7)";"G:maj";"G:maj"
70.32;71.38;"C:7";"C:(3,5,b7)";"C:maj";"C:maj"
71.38;74.48;"A:min";"A:(b3,5)";"A:min";"A:min"
74.48;77.26;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
77.26;78.76;"D:aug/F#";"D:(3,#5)/F#";"D:maj";"D:maj/F#"
78.76;82.9;"G:maj";"G:(3,5)";"G:maj";"G:maj"
82.9;85.4;"D:maj/A";"D:(3,5)/A";"D:maj";"D:maj/A"
85.4;86.5;"A:7";"A:(3,5,b7)";"A:maj";"A:maj"
86.5;87.1;"E:min/B";"E:(b3,5)/B";"E:min";"E:min/B"
87.1;90.58;"B:min";"B:(b3,5)";"B:min";"B:min"
90.58;93.22;"D:maj/F#";"D:(3,5)/F#";"D:maj";"D:maj/F#"
93.22;95.44;"D:aug/F#";"D:(3,#5)/F#";"D:maj";"D:maj/F#"
95.44;100.56;"G:maj";"G:(3,5)";"G:maj";"G:maj"
100.56;102.56;"D:maj";"D:(3,5)";"D:maj";"D:maj"
102.56;104.02;"D:min";"D:(b3,5)";"D:min";"D:min"
104.02;107.12;"E:hdim7";"E:(b3,b5,b7)";"E:min";"E:min"
107.12;108.92;"A:(3,5,b7,b9)/A";"A:(3,5,b7,b9)/A";"A:maj";"A:maj/A"
108.92;116.18;"D:(3,5,b7,b9)";"D:(3,5,b7,b9)";"D:maj";"D:maj"
116.18;118.02;"D:7/F#";"D:(3,5,b7)/F#";"D:maj";"D:maj/F#"
118.02;120.44;"G:maj";"G:(3,5)";"G:maj";"G:maj"
120.44;125.38;"G:min";"G:(b3,5)";"G:min";"G:min"
125.38;129.46;"D:maj";"D:(3,5)";"D:maj";"D:maj"
