start;measure
1.733877551;0.750
2.494285714;1
3.930204082;2
5.382040816;3
7.039410431;4
9.533333333;5
12.255102041;6
13.909886621;7
15.525124717;8
17.231632653;9
20.737732426;10
22.580589569;11
24.504081633;12
26.241723356;13
28.024467120;14
29.925079365;15
31.930544218;16
33.831269841;17
35.541519276;18
37.595306122;19
39.386916100;20
41.339954649;21
43.193106576;22
45.112063492;23
46.992632653;24
49.181065760;25
50.866598639;26
52.628299320;27
55.784013605;28
59.634897959;29
61.441405896;30
63.298390023;31
65.198185941;32
66.929342404;33
68.622335601;34
70.305578231;35
72.090385488;36
73.896009070;37
77.056099773;38
80.878866213;39
82.722675737;40
84.605714286;41
86.570975057;42
88.569115646;43
90.348798186;44
92.134557823;45
93.699637188;46
95.142448980;47
96.549795918;48
98.066394558;49
99.790657596;50
102.331927438;51
104.604444444;51.666
