start;measure
1.642811791;1
4.301859410;2
7.941791383;3
10.363582766;4
12.783673469;5
15.200952381;6
18.169387755;7
23.205396825;8
28.318390023;9
31.386213152;10
34.451927438;11
37.645827664;12
41.066734694;13
44.343990930;14
47.438798186;15
50.828752834;16
54.250408163;17
57.474489796;18
61.012698413;19
64.572766440;20
68.703990930;21
72.229478458;22
76.131904762;23
80.271383220;24
85.582947846;25
88.230476190;26
91.798616780;27
94.243990930;28
98.696417234;29
101.826916100;30
105.064489796;31
108.234013605;32
111.926734694;33
115.228571429;34
118.794625850;35
122.525079365;36
126.327369615;37
129.717845805;38
132.938072562;39
136.534943311;40
140.764716553;41
144.233718821;42
147.988321995;43
152.351315193;44
158.280612245;45
160.902675737;46
163.129818594;47
165.279637188;48
167.450702948;49
169.430204082;50
171.549024943;51
173.593424036;52
175.715668934;53
177.791655329;54
179.969206349;55
182.177959184;56
185.034013605;57
190.984739229;58
200.833854875;59
204.202176871;60
207.508208617;61
210.716031746;62
214.041383220;63
217.351496599;64
220.821768707;65
224.253424036;66
227.621292517;67
230.771700680;68
233.964263039;69
237.470476190;70
241.216825397;71
244.367120181;72
247.681451247;73
251.288503401;74
255.460884354;75
260.359637188;76
266.077460317;77
268.729455782;78
272.294603175;79
274.697868481;80
277.136054422;81
281.123990930;82
288.536961451;82.999
