start;measure
0.195918367;0.833
0.539138322;1
2.068344671;2
3.530521542;3
4.971791383;4
6.456235828;5
7.965260771;6
9.432312925;7
10.898117914;8
12.368820862;9
13.915079365;10
15.300249433;11
16.763174603;12
18.257823129;13
19.720408163;14
21.195487528;15
22.658049887;16
24.123356009;17
25.574489796;18
26.994240363;19
28.468276644;20
29.958934240;21
31.435555556;22
32.890952381;23
34.351836735;24
35.815374150;25
37.351859410;26
38.848027211;27
40.344625850;28
41.799977324;29
43.299365079;30
45.381315193;31
46.938253968;32
48.424761905;33
49.862063492;34
51.330839002;35
52.793764172;36
54.355079365;37
56.002267574;38
57.492607710;39
59.071564626;40
60.606439909;41
62.078004535;42
63.877777778;43
67.186938776;43.999
