start;measure
0.786235828;1
9.446984127;2
19.508707483;3
28.174308390;4
38.185102041;5
47.795260771;6
55.700249433;7
64.170793651;8
72.413764172;9
81.679705215;10
90.325510204;11
98.974603175;12
106.789455782;13
115.163469388;14
123.713469388;15
134.314943311;16
143.310204082;17
152.272607710;18
159.868117914;19
167.477505669;20
175.522834467;21
183.600476190;22
191.149659864;23
198.686643991;24
206.256439909;25
213.701337868;26
221.400884354;27
229.338208617;28
239.537845805;29
249.740408163;30
260.629886621;31
268.626757370;31.999
