start;measure
1.646235828;1
9.983741497;2
19.068707483;3
27.633015873;4
38.085102041;5
46.335260771;6
54.040249433;7
61.910793651;8
70.564512472;9
79.999705215;10
88.497142857;11
97.474603175;12
105.349727891;13
113.875351474;14
122.993469388;15
132.487755102;16
140.115782313;17
148.032607710;18
155.232380952;19
162.917551020;20
171.902834467;21
180.001224490;22
188.314308390;23
195.786643991;24
202.879977324;25
210.841337868;26
218.380884354;27
226.558208617;28
237.017845805;29
245.729841270;30
256.629886621;31
265.106757370;31.999
