start;measure
0.786235828;1
10.286984127;2
19.488707483;3
28.794308390;4
38.261088435;5
48.315260771;6
57.240249433;7
66.867324263;8
77.293764172;9
87.699705215;10
97.027755102;11
106.754603175;12
116.613605442;13
127.343469388;14
137.673469388;15
148.754943311;16
157.975782313;17
167.758662132;18
176.452380952;19
185.177505669;20
194.542834467;21
202.600476190;22
211.249659864;23
219.706643991;24
227.916439909;25
236.871020408;26
245.660884354;27
254.318208617;28
263.437845805;29
272.909841270;30
282.629886621;31
294.406757370;31.999
