start;measure
0.765351474;1
4.525079365;2
8.449229025;3
11.941746032;4
16.063061224;5
19.982743764;6
23.416439909;7
27.185374150;8
31.503219955;9
35.053990930;10
39.043401361;11
42.775034014;12
46.405170068;13
50.804761905;14
54.723628118;15
58.210453515;16
62.256235828;17
65.890476190;18
70.117256236;19
73.657709751;20
77.656462585;21
81.397664400;22
85.486598639;23
89.498798186;24
93.680385488;25
98.276394558;26
103.018208617;27
106.780158730;28
110.742154195;29
115.004829932;30
119.534512472;31
123.558185941;32
127.407913832;33
131.189977324;34
135.626870748;35
139.232222222;36
143.407120181;37
147.015396825;38
151.310385488;39
155.517936508;40
159.645646259;41
163.331315193;42
166.371179138;43
171.732630385;44
175.845555556;45
179.507165533;46
183.585532880;47
187.590907029;48
192.185351474;49
196.154580499;50
200.378004535;51
205.199546485;52
209.786371882;53
213.609433107;54
219.196961451;55
223.321088435;56
227.607437642;57
231.659909297;58
235.417732426;59
239.436145125;60
245.929977324;61
251.129818592;61.999
