measure;rowindex;x;y;height;width;image
1;0;96;107;76;203;"Schubert_D911-08_000.png"
2;0;300;107;76;146;"Schubert_D911-08_000.png"
3;0;447;107;76;155;"Schubert_D911-08_000.png"
4;1;60;216;72;201;"Schubert_D911-08_000.png"
5;1;262;216;72;175;"Schubert_D911-08_000.png"
6;1;438;216;72;164;"Schubert_D911-08_000.png"
7;2;59;320;76;199;"Schubert_D911-08_000.png"
8;2;260;320;76;165;"Schubert_D911-08_000.png"
9;2;426;320;76;175;"Schubert_D911-08_000.png"
10;3;55;430;122;199;"Schubert_D911-08_000.png"
11;3;255;430;122;167;"Schubert_D911-08_000.png"
12;3;423;430;122;176;"Schubert_D911-08_000.png"
13;4;56;588;126;204;"Schubert_D911-08_000.png"
14;4;261;588;126;166;"Schubert_D911-08_000.png"
15;4;428;588;126;170;"Schubert_D911-08_000.png"
16;5;55;750;119;200;"Schubert_D911-08_000.png"
17;5;257;750;119;174;"Schubert_D911-08_000.png"
18;5;432;750;119;166;"Schubert_D911-08_000.png"
19;0;52;60;129;207;"Schubert_D911-08_001.png"
20;0;260;60;129;161;"Schubert_D911-08_001.png"
21;0;422;60;129;173;"Schubert_D911-08_001.png"
22;1;54;232;130;213;"Schubert_D911-08_001.png"
23;1;268;232;130;160;"Schubert_D911-08_001.png"
24;1;429;232;130;166;"Schubert_D911-08_001.png"
25;2;55;401;134;214;"Schubert_D911-08_001.png"
26;2;270;401;134;166;"Schubert_D911-08_001.png"
27;2;438;401;134;134;"Schubert_D911-08_001.png"
28;3;125;576;129;155;"Schubert_D911-08_001.png"
29;3;281;576;129;154;"Schubert_D911-08_001.png"
30;3;436;576;129;162;"Schubert_D911-08_001.png"
31;4;58;740;131;165;"Schubert_D911-08_001.png"
32;4;224;740;131;128;"Schubert_D911-08_001.png"
33;4;353;740;131;117;"Schubert_D911-08_001.png"
34;4;470;740;131;128;"Schubert_D911-08_001.png"
35;0;54;49;133;156;"Schubert_D911-08_002.png"
36;0;211;49;133;124;"Schubert_D911-08_002.png"
37;0;336;49;133;122;"Schubert_D911-08_002.png"
38;0;459;49;133;137;"Schubert_D911-08_002.png"
39;1;52;218;129;190;"Schubert_D911-08_002.png"
40;1;244;218;129;169;"Schubert_D911-08_002.png"
41;1;414;218;129;180;"Schubert_D911-08_002.png"
42;2;52;385;129;171;"Schubert_D911-08_002.png"
43;2;224;385;129;117;"Schubert_D911-08_002.png"
44;2;342;385;129;128;"Schubert_D911-08_002.png"
45;2;471;385;129;122;"Schubert_D911-08_002.png"
46;3;50;554;143;208;"Schubert_D911-08_002.png"
47;3;260;554;143;151;"Schubert_D911-08_002.png"
48;3;412;554;143;154;"Schubert_D911-08_002.png"
49;4;49;736;131;194;"Schubert_D911-08_002.png"
50;4;245;736;131;180;"Schubert_D911-08_002.png"
51;4;426;736;131;165;"Schubert_D911-08_002.png"
52;0;54;54;135;162;"Schubert_D911-08_003.png"
53;0;218;54;135;135;"Schubert_D911-08_003.png"
54;0;354;54;135;122;"Schubert_D911-08_003.png"
55;0;477;54;135;119;"Schubert_D911-08_003.png"
56;1;57;230;128;195;"Schubert_D911-08_003.png"
57;1;253;230;128;157;"Schubert_D911-08_003.png"
58;1;411;230;128;160;"Schubert_D911-08_003.png"
59;2;58;396;129;194;"Schubert_D911-08_003.png"
60;2;252;396;129;179;"Schubert_D911-08_003.png"
61;2;432;396;129;168;"Schubert_D911-08_003.png"
62;3;58;566;128;201;"Schubert_D911-08_003.png"
63;3;259;566;128;181;"Schubert_D911-08_003.png"
64;3;440;566;128;159;"Schubert_D911-08_003.png"
65;4;58;733;132;176;"Schubert_D911-08_003.png"
66;4;236;733;132;140;"Schubert_D911-08_003.png"
67;4;377;733;132;42;"Schubert_D911-08_003.png"
68;4;420;733;132;130;"Schubert_D911-08_003.png"
69;4;551;733;132;46;"Schubert_D911-08_003.png"
