start;end;shorthand;extended;majmin;majmin_inv
1.000;1.333;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
1.333;1.999;"C#:7/G#";"C#:(3,5,b7)/G#";"C#:maj";"C#:maj/G#"
2.000;2.333;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
2.333;2.999;"C#:7/G#";"C#:(3,5,b7)/G#";"C#:maj";"C#:maj/G#"
3.000;3.666;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
3.666;3.999;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
4.000;4.999;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
5.000;6.999;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
7.000;7.999;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
8.000;8.999;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
9.000;10.999;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
11.000;11.666;"F#:min/C#";"F#:(b3,5)/C#";"F#:min";"F#:min/C#"
11.666;11.999;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
12.000;12.999;"F#:(3,5,b7,b9)/A#";"F#:(3,5,b7,b9)/A#";"F#:maj";"F#:maj/A#"
13.000;13.333;"B:min";"B:(b3,5)";"B:min";"B:min"
13.333;13.666;"F#:maj/C#";"F#:(3,5)/C#";"F#:maj";"F#:maj/C#"
13.666;13.999;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
14.000;15.333;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
15.333;15.999;"C#:7/G#";"C#:(3,5,b7)/G#";"C#:maj";"C#:maj/G#"
16.000;16.333;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
16.333;16.999;"C#:7/G#";"C#:(3,5,b7)/G#";"C#:maj";"C#:maj/G#"
17.000;17.333;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
17.333;17.666;"A:maj/E";"A:(3,5)/E";"A:maj";"A:maj/E"
17.666;17.999;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
18.000;18.999;"A:maj";"A:(3,5)";"A:maj";"A:maj"
19.000;19.999;"C#:(3,5,b7,b9)/F";"C#:(3,5,b7,b9)/F";"C#:maj";"C#:maj/F"
20.000;20.999;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
21.000;21.999;"A:maj/E";"A:(3,5)/E";"A:maj";"A:maj/E"
22.000;22.999;"E:maj";"E:(3,5)";"E:maj";"E:maj"
23.000;23.999;"C#:(3,5,b7,b9)/F";"C#:(3,5,b7,b9)/F";"C#:maj";"C#:maj/F"
24.000;24.999;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
25.000;25.666;"A:maj/E";"A:(3,5)/E";"A:maj";"A:maj/E"
25.666;25.999;"E:7";"E:(3,5,b7)";"E:maj";"E:maj"
26.000;26.999;"A:maj";"A:(3,5)";"A:maj";"A:maj"
27.000;27.666;"F#:min/C#";"F#:(b3,5)/C#";"F#:min";"F#:min/C#"
27.666;27.999;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
28.000;29.333;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
29.333;29.999;"C#:7/G#";"C#:(3,5,b7)/G#";"C#:maj";"C#:maj/G#"
30.000;30.333;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
30.333;30.999;"C#:7/G#";"C#:(3,5,b7)/G#";"C#:maj";"C#:maj/G#"
31.000;31.666;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
31.666;31.999;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
32.000;32.999;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
33.000;34.999;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
35.000;35.999;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
36.000;36.999;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
37.000;38.999;"F#:min";"F#:(b3,5)";"F#:min";"F#:min"
39.000;39.666;"F#:min/C#";"F#:(b3,5)/C#";"F#:min";"F#:min/C#"
39.666;39.999;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
40.000;40.999;"F#:(3,5,b7,b9)/A#";"F#:(3,5,b7,b9)/A#";"F#:maj";"F#:maj/A#"
41.000;41.333;"B:min";"B:(b3,5)";"B:min";"B:min"
41.333;41.666;"F#:maj/C#";"F#:(3,5)/C#";"F#:maj";"F#:maj/C#"
41.666;41.999;"C#:7";"C#:(3,5,b7)";"C#:maj";"C#:maj"
