SongID;WorkID;Title;GlobalKey;TimeSign;NoMeasures
1;"Schubert_D911-01";"Gute Nacht";"D:min";"2/4";137
2;"Schubert_D911-02";"Die Wetterfahne";"A:min";"6/8";51
3;"Schubert_D911-03";"Gefrorne Tränen";"F:min";"2/2";55
4;"Schubert_D911-04";"Erstarrung";"C:min";"4/4";109
5;"Schubert_D911-05";"Der Lindenbaum";"E:maj";"3/4";82
6;"Schubert_D911-06";"Wasserflut";"E:min";"3/4";60
7;"Schubert_D911-07";"Auf dem Flusse";"E:min";"2/4";74
8;"Schubert_D911-08";"Rückblick";"G:min";"3/4";69
9;"Schubert_D911-09";"Irrlicht";"B:min";"3/8";43
10;"Schubert_D911-10";"Rast";"C:min";"2/4";67
11;"Schubert_D911-11";"Frühlingstraum";"A:maj";"6/8";88
12;"Schubert_D911-12";"Einsamkeit";"B:min";"2/4";48
13;"Schubert_D911-13";"Die Post";"Eb:maj";"6/8";94
14;"Schubert_D911-14";"Der greise Kopf";"C:min";"3/4";44
15;"Schubert_D911-15";"Die Krähe";"C:min";"2/4";43
16;"Schubert_D911-16";"Letzte Hoffnung";"Eb:maj";"3/4";47
17;"Schubert_D911-17";"Im Dorfe";"D:maj";"12/8";49
18;"Schubert_D911-18";"Der stürmische Morgen";"D:min";"4/4";19
19;"Schubert_D911-19";"Täuschung";"A:maj";"6/8";43
20;"Schubert_D911-20";"Der Wegweiser";"G:min";"2/4";83
21;"Schubert_D911-21";"Das Wirtshaus";"F:maj";"4/4";31
22;"Schubert_D911-22";"Muth";"G:min";"2/4";64
23;"Schubert_D911-23";"Die Nebensonnen";"A:maj";"3/4";32
24;"Schubert_D911-24";"Der Leiermann";"A:min";"3/4";61
