id,file_performer,file_title,file_track,file_release,file_path,jams_path
uspop2002_0,Metallica,Nothing Else Matters,01,Live Shit Binge And Purge Disc 3,../../partitions/uspop2002/raw/metallica/Live_Shit_Binge_And_Purge_Disc_3_/01-Nothing_Else_Matters.lab,../../partitions/uspop2002/choco/jams/uspop2002_0.jams
uspop2002_1,Peter Gabriel,Steam,02,Secret World Live Disk 1,../../partitions/uspop2002/raw/peter_gabriel/Secret_World_Live_Disk_1_/02-Steam.lab,../../partitions/uspop2002/choco/jams/uspop2002_1.jams
uspop2002_2,Carly Simon,You Re So Vain,03,No Secerts,../../partitions/uspop2002/raw/carly_simon/No_Secerts/03-You_re_So_Vain.lab,../../partitions/uspop2002/choco/jams/uspop2002_2.jams
uspop2002_3,Temple Of The Dog,Hunger Strike,03,Temple Of The Dog,../../partitions/uspop2002/raw/temple_of_the_dog/Temple_of_The_Dog/03-Hunger_Strike.lab,../../partitions/uspop2002/choco/jams/uspop2002_3.jams
uspop2002_4,Foreigner,I Want To Know What Love Is,03,Agent Provocateur,../../partitions/uspop2002/raw/foreigner/Agent_Provocateur/03-I_Want_To_Know_What_Love_Is.lab,../../partitions/uspop2002/choco/jams/uspop2002_4.jams
uspop2002_5,Fugees,Killing Me Softly,08,The Score,../../partitions/uspop2002/raw/fugees/The_Score/08-Killing_Me_Softly.lab,../../partitions/uspop2002/choco/jams/uspop2002_5.jams
uspop2002_6,Oasis,Wonderwall,03,What S The Story Morning Glory,../../partitions/uspop2002/raw/oasis/_What_s_The_Story_Morning_Glory_/03-Wonderwall.lab,../../partitions/uspop2002/choco/jams/uspop2002_6.jams
uspop2002_7,Weezer,El Scorcho,07,Pinkerton,../../partitions/uspop2002/raw/weezer/Pinkerton/07-El_Scorcho.lab,../../partitions/uspop2002/choco/jams/uspop2002_7.jams
uspop2002_8,Weezer,Island In The Sun,04,Weezer Green Album,../../partitions/uspop2002/raw/weezer/Weezer_Green_Album_/04-Island_In_The_Sun.lab,../../partitions/uspop2002/choco/jams/uspop2002_8.jams
uspop2002_9,Weezer,Hash Pipe,03,Weezer Green Album,../../partitions/uspop2002/raw/weezer/Weezer_Green_Album_/03-Hash_Pipe.lab,../../partitions/uspop2002/choco/jams/uspop2002_9.jams
uspop2002_10,Frank Sinatra,Moonlight In Vermont,04,Come Fly With Me,../../partitions/uspop2002/raw/frank_sinatra/Come_Fly_With_Me/04-Moonlight_In_Vermont.lab,../../partitions/uspop2002/choco/jams/uspop2002_10.jams
uspop2002_11,Ac Dc,Hells Bells,01,Back In Black,../../partitions/uspop2002/raw/ac_dc/back_in_black/01-Hells_Bells.lab,../../partitions/uspop2002/choco/jams/uspop2002_11.jams
uspop2002_12,Ac Dc,Have A Drink On Me,08,Back In Black,../../partitions/uspop2002/raw/ac_dc/back_in_black/08-Have_A_Drink_On_Me.lab,../../partitions/uspop2002/choco/jams/uspop2002_12.jams
uspop2002_13,Coldplay,Yellow,05,Parachutes,../../partitions/uspop2002/raw/coldplay/Parachutes/05-Yellow.lab,../../partitions/uspop2002/choco/jams/uspop2002_13.jams
uspop2002_14,Survivor,Eye Of The Tiger,01,Eye Of The Tiger,../../partitions/uspop2002/raw/survivor/Eye_Of_The_Tiger/01-Eye_Of_The_Tiger.lab,../../partitions/uspop2002/choco/jams/uspop2002_14.jams
uspop2002_15,Soft Cell,Tainted Love,02,Non Stop Erotic Cabaret,../../partitions/uspop2002/raw/soft_cell/Non_Stop_Erotic_Cabaret/02-Tainted_Love.lab,../../partitions/uspop2002/choco/jams/uspop2002_15.jams
uspop2002_16,Led Zeppelin,Stairway To Heaven,02,The Song Remains The Same Disc Two,../../partitions/uspop2002/raw/led_zeppelin/The_Song_Remains_The_Same_Disc_Two_/02-Stairway_To_Heaven.lab,../../partitions/uspop2002/choco/jams/uspop2002_16.jams
uspop2002_17,Spice Girls,2 Become 1,03,Spice,../../partitions/uspop2002/raw/spice_girls/Spice/03-2_Become_1.lab,../../partitions/uspop2002/choco/jams/uspop2002_17.jams
uspop2002_18,Muse,Unintended,07,Showbiz,../../partitions/uspop2002/raw/muse/Showbiz/07-Unintended.lab,../../partitions/uspop2002/choco/jams/uspop2002_18.jams
uspop2002_19,Incubus,Drive,08,Make Yourself,../../partitions/uspop2002/raw/Incubus/Make_Yourself/08-Drive.lab,../../partitions/uspop2002/choco/jams/uspop2002_19.jams
uspop2002_20,Beck,Loser,01,Mellow Gold,../../partitions/uspop2002/raw/beck/Mellow_Gold/01-Loser.lab,../../partitions/uspop2002/choco/jams/uspop2002_20.jams
uspop2002_21,Leann Rimes,I Need You,01,I Need You,../../partitions/uspop2002/raw/leann_rimes/I_Need_You/01-I_Need_You.lab,../../partitions/uspop2002/choco/jams/uspop2002_21.jams
uspop2002_22,Leann Rimes,Can T Fight The Moonlight,05,I Need You,../../partitions/uspop2002/raw/leann_rimes/I_Need_You/05-Can_t_Fight_The_Moonlight.lab,../../partitions/uspop2002/choco/jams/uspop2002_22.jams
uspop2002_23,Richard Marx,Right Here Waiting,05,Repeat Offender,../../partitions/uspop2002/raw/richard_marx/Repeat_Offender/05-Right_Here_Waiting.lab,../../partitions/uspop2002/choco/jams/uspop2002_23.jams
uspop2002_24,3 Doors Down,Kryptonite,01,The Better Life,../../partitions/uspop2002/raw/3_doors_down/The_Better_Life/01-Kryptonite.lab,../../partitions/uspop2002/choco/jams/uspop2002_24.jams
uspop2002_25,Janet Jackson,19 Again,19,Janet,../../partitions/uspop2002/raw/janet_jackson/Janet/19-19_Again.lab,../../partitions/uspop2002/choco/jams/uspop2002_25.jams
uspop2002_26,Blondie,One Way Or Another,02,Parallel Lines,../../partitions/uspop2002/raw/blondie/Parallel_Lines/02-One_Way_or_Another.lab,../../partitions/uspop2002/choco/jams/uspop2002_26.jams
uspop2002_27,Deep Purple,Smoke On The Water,06,Nobody S Perfect Disc 2 2,../../partitions/uspop2002/raw/deep_purple/Nobody_s_Perfect_Disc_2_2_/06-Smoke_On_The_Water.lab,../../partitions/uspop2002/choco/jams/uspop2002_27.jams
uspop2002_28,Rod Stewart,Sailing,15,Absolutely Live,../../partitions/uspop2002/raw/rod_stewart/Absolutely_Live/15-Sailing.lab,../../partitions/uspop2002/choco/jams/uspop2002_28.jams
uspop2002_29,Rod Stewart,Have I Told You Lately,10,Vagabond Heart,../../partitions/uspop2002/raw/rod_stewart/Vagabond_Heart/10-Have_I_Told_You_Lately.lab,../../partitions/uspop2002/choco/jams/uspop2002_29.jams
uspop2002_30,Cranberries,Zombie,04,No Need To Argue,../../partitions/uspop2002/raw/cranberries/No_Need_To_Argue/04-Zombie.lab,../../partitions/uspop2002/choco/jams/uspop2002_30.jams
uspop2002_31,Beach Boys,God Only Knows,08,Pet Sounds,../../partitions/uspop2002/raw/beach_boys/Pet_Sounds/08-God_Only_Knows.lab,../../partitions/uspop2002/choco/jams/uspop2002_31.jams
uspop2002_32,Beach Boys,Surfin Safari,01,Surfin USA Surfin Safari,../../partitions/uspop2002/raw/beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari.lab,../../partitions/uspop2002/choco/jams/uspop2002_32.jams
uspop2002_33,Beach Boys,Surfin USA,13,Surfin USA Surfin Safari,../../partitions/uspop2002/raw/beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA.lab,../../partitions/uspop2002/choco/jams/uspop2002_33.jams
uspop2002_34,Billy Joel,Just The Way You Are,03,The Stranger,../../partitions/uspop2002/raw/billy_joel/The_Stranger/03-Just_the_Way_You_Are.lab,../../partitions/uspop2002/choco/jams/uspop2002_34.jams
uspop2002_35,Billy Joel,Only The Good Die Young,06,The Stranger,../../partitions/uspop2002/raw/billy_joel/The_Stranger/06-Only_the_Good_Die_Young.lab,../../partitions/uspop2002/choco/jams/uspop2002_35.jams
uspop2002_36,Billy Joel,She S Always A Woman,07,The Stranger,../../partitions/uspop2002/raw/billy_joel/The_Stranger/07-She_s_Always_a_Woman.lab,../../partitions/uspop2002/choco/jams/uspop2002_36.jams
uspop2002_37,Billy Joel,Piano Man,02,Piano Man,../../partitions/uspop2002/raw/billy_joel/Piano_Man/02-Piano_Man.lab,../../partitions/uspop2002/choco/jams/uspop2002_37.jams
uspop2002_38,Michael Jackson,Heal The World,07,Dangerous,../../partitions/uspop2002/raw/michael_jackson/Dangerous/07-Heal_The_World.lab,../../partitions/uspop2002/choco/jams/uspop2002_38.jams
uspop2002_39,Michael Jackson,Beat It,05,Thriller,../../partitions/uspop2002/raw/michael_jackson/Thriller/05-Beat_It.lab,../../partitions/uspop2002/choco/jams/uspop2002_39.jams
uspop2002_40,Elvis Presley,Santa Bring My Baby Back To Me,06,Elvis Christmas Album,../../partitions/uspop2002/raw/elvis_presley/Elvis_Christmas_Album/06-Santa_Bring_My_Baby_Back_To_Me_.lab,../../partitions/uspop2002/choco/jams/uspop2002_40.jams
uspop2002_41,Corrs,One Night,08,In Blue,../../partitions/uspop2002/raw/corrs/In_Blue/08-One_night.lab,../../partitions/uspop2002/choco/jams/uspop2002_41.jams
uspop2002_42,Dire Straits,Romeo And Juliet,03,Alchemy Disc 1,../../partitions/uspop2002/raw/dire_straits/Alchemy_Disc_1_/03-Romeo_And_Juliet.lab,../../partitions/uspop2002/choco/jams/uspop2002_42.jams
uspop2002_43,Chicago,If You Leave Me Now,04,Chicago X,../../partitions/uspop2002/raw/chicago/Chicago_X/04-If_You_Leave_Me_Now.lab,../../partitions/uspop2002/choco/jams/uspop2002_43.jams
uspop2002_44,A Ha,Take On Me,01,Hunting High And Low,../../partitions/uspop2002/raw/a_ha/Hunting_High_and_Low/01-Take_On_Me.lab,../../partitions/uspop2002/choco/jams/uspop2002_44.jams
uspop2002_45,R Kelly,I Believe I Can Fly,13,R Disk 2,../../partitions/uspop2002/raw/r_kelly/R_Disk_2_/13-I_Believe_I_Can_Fly.lab,../../partitions/uspop2002/choco/jams/uspop2002_45.jams
uspop2002_46,Third Eye Blind,Semi-Charmed Life,03,Third Eye Blind,../../partitions/uspop2002/raw/third_eye_blind/Third_Eye_Blind/03-Semi-Charmed_Life.lab,../../partitions/uspop2002/choco/jams/uspop2002_46.jams
uspop2002_47,Cher,If I Could Turn Back Time,01,Heart Of Stone,../../partitions/uspop2002/raw/cher/Heart_Of_Stone/01-If_I_Could_Turn_Back_Time.lab,../../partitions/uspop2002/choco/jams/uspop2002_47.jams
uspop2002_48,Mike Oldfield,Moonlight Shadow,02,Crisis,../../partitions/uspop2002/raw/mike_oldfield/Crisis/02-Moonlight_Shadow.lab,../../partitions/uspop2002/choco/jams/uspop2002_48.jams
uspop2002_49,Jimi Hendrix Experience,Purple Haze,01,Are You Experienced,../../partitions/uspop2002/raw/jimi_hendrix_experience/Are_You_Experienced/01-Purple_Haze.lab,../../partitions/uspop2002/choco/jams/uspop2002_49.jams
uspop2002_50,Aerosmith,Falling In Love,02,Nine Lives,../../partitions/uspop2002/raw/aerosmith/Nine_Lives/02-Falling_In_Love.lab,../../partitions/uspop2002/choco/jams/uspop2002_50.jams
uspop2002_51,Simon And Garfunkel,Bridge Over Troubled Water,01,Collected Works - Disc 3,../../partitions/uspop2002/raw/simon_and_garfunkel/Collected_Works_-_Disc_3/01-Bridge_Over_Troubled_Water.lab,../../partitions/uspop2002/choco/jams/uspop2002_51.jams
uspop2002_52,Simon And Garfunkel,El Condor Pasa If I Could,02,Collected Works - Disc 3,../../partitions/uspop2002/raw/simon_and_garfunkel/Collected_Works_-_Disc_3/02-El_Condor_Pasa_If_I_Could_.lab,../../partitions/uspop2002/choco/jams/uspop2002_52.jams
uspop2002_53,Simon And Garfunkel,The Boxer,06,Collected Works - Disc 3,../../partitions/uspop2002/raw/simon_and_garfunkel/Collected_Works_-_Disc_3/06-The_Boxer.lab,../../partitions/uspop2002/choco/jams/uspop2002_53.jams
uspop2002_54,Simon And Garfunkel,Cecilia,03,Collected Works - Disc 3,../../partitions/uspop2002/raw/simon_and_garfunkel/Collected_Works_-_Disc_3/03-Cecilia.lab,../../partitions/uspop2002/choco/jams/uspop2002_54.jams
uspop2002_55,Offspring,Self Esteem,08,Smash,../../partitions/uspop2002/raw/offspring/Smash/08-Self_Esteem.lab,../../partitions/uspop2002/choco/jams/uspop2002_55.jams
uspop2002_56,Paul Simon,The Sound Of Silence,12,Concert In The Park Disc 2,../../partitions/uspop2002/raw/paul_simon/Concert_in_the_Park_Disc_2/12-The_Sound_of_Silence.lab,../../partitions/uspop2002/choco/jams/uspop2002_56.jams
uspop2002_57,Paul Simon,Bridge Over Troubled Water,10,Concert In The Park Disc 1,../../partitions/uspop2002/raw/paul_simon/Concert_in_the_Park_Disc_1/10-Bridge_Over_Troubled_Water.lab,../../partitions/uspop2002/choco/jams/uspop2002_57.jams
uspop2002_58,Bon Jovi,You Give Love A Bad Name,02,Slippery When Wet,../../partitions/uspop2002/raw/bon_jovi/Slippery_When_Wet/02-You_Give_Love_a_Bad_Name.lab,../../partitions/uspop2002/choco/jams/uspop2002_58.jams
uspop2002_59,Bon Jovi,I Ll Be There For You,10,New Jersey,../../partitions/uspop2002/raw/bon_jovi/New_Jersey/10-I_ll_Be_There_For_You.lab,../../partitions/uspop2002/choco/jams/uspop2002_59.jams
uspop2002_60,Bon Jovi,Runaway,01,Bon Jovi Remastered,../../partitions/uspop2002/raw/bon_jovi/Bon_Jovi_Remastered_/01-Runaway.lab,../../partitions/uspop2002/choco/jams/uspop2002_60.jams
uspop2002_61,Enya,Tea-House Moon,08,The Memory Of Trees,../../partitions/uspop2002/raw/enya/The_Memory_of_Trees/08-Tea-House_Moon.lab,../../partitions/uspop2002/choco/jams/uspop2002_61.jams
uspop2002_62,Enya,Watermark,01,Watermark,../../partitions/uspop2002/raw/enya/Watermark/01-Watermark.lab,../../partitions/uspop2002/choco/jams/uspop2002_62.jams
uspop2002_63,Enya,Storms In Africa,04,Watermark,../../partitions/uspop2002/raw/enya/Watermark/04-Storms_in_Africa.lab,../../partitions/uspop2002/choco/jams/uspop2002_63.jams
uspop2002_64,Enya,Evening Falls,08,Watermark,../../partitions/uspop2002/raw/enya/Watermark/08-Evening_Falls_.lab,../../partitions/uspop2002/choco/jams/uspop2002_64.jams
uspop2002_65,Enya,Wild Child,02,A Day Without Rain,../../partitions/uspop2002/raw/enya/A_Day_Without_Rain/02-Wild_Child.lab,../../partitions/uspop2002/choco/jams/uspop2002_65.jams
uspop2002_66,Enya,Only Time,03,A Day Without Rain,../../partitions/uspop2002/raw/enya/A_Day_Without_Rain/03-Only_Time.lab,../../partitions/uspop2002/choco/jams/uspop2002_66.jams
uspop2002_67,Enya,A Day WIthout Rain,01,A Day Without Rain,../../partitions/uspop2002/raw/enya/A_Day_Without_Rain/01-A_Day_WIthout_Rain.lab,../../partitions/uspop2002/choco/jams/uspop2002_67.jams
uspop2002_68,Enya,Silver Inches‬,08,A Day Without Rain,../../partitions/uspop2002/raw/enya/A_Day_Without_Rain/08-Silver_Inches‬.lab,../../partitions/uspop2002/choco/jams/uspop2002_68.jams
uspop2002_69,Enya,Flora S Secret,06,A Day Without Rain,../../partitions/uspop2002/raw/enya/A_Day_Without_Rain/06-Flora_s_Secret.lab,../../partitions/uspop2002/choco/jams/uspop2002_69.jams
uspop2002_70,Presidents Of The United States Of America,Lump,03,Presidents Of The United States Of America,../../partitions/uspop2002/raw/presidents_of_the_united_states_of_america/Presidents_of_the_United_States_of_America/03-Lump.lab,../../partitions/uspop2002/choco/jams/uspop2002_70.jams
uspop2002_71,Christina Aguilera,What A Girl Wants,02,Christina Aguilera,../../partitions/uspop2002/raw/christina_aguilera/Christina_Aguilera/02-What_A_Girl_Wants.lab,../../partitions/uspop2002/choco/jams/uspop2002_71.jams
uspop2002_72,Christina Aguilera,Genie In A Bottle,01,Christina Aguilera,../../partitions/uspop2002/raw/christina_aguilera/Christina_Aguilera/01-Genie_In_A_Bottle.lab,../../partitions/uspop2002/choco/jams/uspop2002_72.jams
uspop2002_73,Roy Orbison,Oh Pretty Woman,17,Black And White Night,../../partitions/uspop2002/raw/roy_orbison/Black_and_White_Night/17-Oh_Pretty_Woman.lab,../../partitions/uspop2002/choco/jams/uspop2002_73.jams
uspop2002_74,Roy Orbison,Blue Bayou,03,Black And White Night,../../partitions/uspop2002/raw/roy_orbison/Black_and_White_Night/03-Blue_Bayou.lab,../../partitions/uspop2002/choco/jams/uspop2002_74.jams
uspop2002_75,Roy Orbison,Crying,10,Black And White Night,../../partitions/uspop2002/raw/roy_orbison/Black_and_White_Night/10-Crying.lab,../../partitions/uspop2002/choco/jams/uspop2002_75.jams
uspop2002_76,John Denver,Poems Prayers And Promises,01,Poems Prayers Promises,../../partitions/uspop2002/raw/john_denver/Poems_Prayers_Promises/01-Poems_Prayers_and_Promises.lab,../../partitions/uspop2002/choco/jams/uspop2002_76.jams
uspop2002_77,John Denver,Take Me Home Country Roads,07,Poems Prayers Promises,../../partitions/uspop2002/raw/john_denver/Poems_Prayers_Promises/07-Take_Me_Home_Country_Roads.lab,../../partitions/uspop2002/choco/jams/uspop2002_77.jams
uspop2002_78,John Denver,My Sweet Lady,03,Poems Prayers Promises,../../partitions/uspop2002/raw/john_denver/Poems_Prayers_Promises/03-My_Sweet_Lady.lab,../../partitions/uspop2002/choco/jams/uspop2002_78.jams
uspop2002_79,John Denver,Annie S Song,11,An Evening With John Denver Remastered Disc 1,../../partitions/uspop2002/raw/john_denver/An_Evening_With_John_Denver_Remastered_Disc_1/11-Annie_s_Song.lab,../../partitions/uspop2002/choco/jams/uspop2002_79.jams
uspop2002_80,Vengaboys,We Re Going To Ibiza,06,The Party Album,../../partitions/uspop2002/raw/vengaboys/The_Party_Album/06-We_re_Going_To_Ibiza.lab,../../partitions/uspop2002/choco/jams/uspop2002_80.jams
