jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz
weimar_228.jams,My Favorite Things,John Coltrane,The Heavyweight Champion - The Complete Atlantic Recordings CD 4,37,139.8653514739229,15/10/2014,,USAT20002141,671559.0,https://www.deezer.com/track/671559,https://music.youtube.com/watch?v=JQvc-Gkwhow,
weimar_382.jams,I'll Remember April,Sonny Rollins,Brownie - The Complete EmArcy Recordings of Clifford Brown (Disc 10),11,77.42208616780046,,,,,,https://music.youtube.com/watch?v=cdV5Ac9ZFOo,
weimar_28.jams,Riverboat Shuffle,Bix Beiderbecke,The Cradle Of Jazz - Jazz Lips CD 2,,36.67591836734694,,,,,,https://music.youtube.com/watch?v=OpegZ9nmOUE,
weimar_414.jams,Ask Me Now,Steve Lacy,Steve Lacy plays Thelonious Monk - Reflections,6,88.99469387755101,09/01/2007,,USFI85800420,1161317.0,https://www.deezer.com/track/1161317,https://music.youtube.com/watch?v=5H-TBpuQWHE,
weimar_101.jams,Stompin' at the Savoy,Coleman Hawkins,Dear Old Southland,11,61.98566893424036,,fc50aecf-1271-4a67-b178-8574f2146984,,,,https://music.youtube.com/watch?v=M-AKZo7Bm9o,
weimar_90.jams,I'll Remember April,Clifford Brown,Brownie - The Complete EmArcy Recordings of Clifford Brown (Disc 10),11,80.4008163265306,12/06/2018,,FR2X41870235,504031032.0,https://www.deezer.com/track/504031032,https://music.youtube.com/watch?v=JSDlylroFTI,
weimar_290.jams,Whispering,Lionel Hampton,From Swing to Bebop,,38.24199546485261,,,,,,https://music.youtube.com/watch?v=k2M8hzuGnpU,
weimar_443.jams,Steve's Blues,Woody Shaw,Imagination,6,69.55628117913832,26/10/2018,,USSJ10300785,571907712.0,https://www.deezer.com/track/571907712,https://music.youtube.com/watch?v=wQz5AQt0XqM,
weimar_156.jams,Les,Eric Dolphy,Eric Dolphy,2,58.197097505668935,23/05/2006,31398d3f-6eab-46cd-80e5-5e9f4da9bb0d,USFI86000077,4155542.0,https://www.deezer.com/track/4155542,https://music.youtube.com/watch?v=gzBpK1GcwdQ,
weimar_269.jams,I'll Remember April,Lee Konitz,"Jazz Edition, Quadromania, Lee Konitz, Sax of a Kind CD 4",,155.37596371882086,,,,,,https://music.youtube.com/watch?v=np13_lG3oNA,
weimar_86.jams,Body and Soul,Chu Berry,The Chronological Classics: Chu Berry 1937-1941,K4,35.71229024943311,,6395428e-84ca-4c4d-99a9-f462e5ab10f3,,,,https://music.youtube.com/watch?v=xAubloTEPTc,
weimar_69.jams,Limehouse Blues,Charlie Shavers,The Cradle Of Jazz -Sidney Bechet - Chant In The Night CD 2,,28.975510204081633,,,,,,,
weimar_286.jams,Dinah,Lionel Hampton,From Swing to Bebop. Jazz in History II,,77.16734693877551,,,,,,https://music.youtube.com/watch?v=zJO3YnoRlqc,
weimar_455.jams,Night and Day,Zoot Sims,"Quadromania Jazz Edition, Zoot Sims, That Old Feeling, CD 2",,89.6,,,,,,https://music.youtube.com/watch?v=tuQBf806A6M,
weimar_140.jams,Body and Soul,Don Byas,The Chronological Classis: Don Byas 1947,,155.60272108843537,,,,,,https://music.youtube.com/watch?v=-tqbnViBLAw,
weimar_394.jams,Elora,Sonny Stitt,"Quadromania Jazz Edition, Sonny Stitt, One O'Clock Jump, CD 1",,38.71011337868481,,,,,,https://music.youtube.com/watch?v=bpd8g306axs,
weimar_402.jams,My Funny Valentine,Stan Getz,Stan Getz and J.J. Johnson At The Opera House,2,199.11546485260772,20/03/2011,,USWWW0200662,540215112.0,https://www.deezer.com/track/540215112,https://music.youtube.com/watch?v=0Q418G1UZVU,
weimar_117.jams,Blues for Two,David Murray,Tea For Two - George Arvantitas Presents the ballad artistry of David Murray,7,43.88807256235828,14/01/2022,,NLHR52117242,1611042862.0,https://www.deezer.com/track/1611042862,https://music.youtube.com/watch?v=XVpUG0xErAI,
weimar_300.jams,Confirmation,Michael Brecker,Three Quartets,7,262.89922902494334,,285e3ffc-6899-46ab-a258-55d11ecd04c1,,,,https://music.youtube.com/watch?v=7j-HI3TV85o,
weimar_45.jams,Destination K.C.,Buck Clayton,"Quadromania Jazz Edition, Lester Young, Lester's Be-Bop Boogie CD 2",,61.305079365079365,,,,,,https://music.youtube.com/watch?v=tuPBN9RmGWY,
weimar_245.jams,I Got You,Joshua Redman,Joshua Redman,5,60.881632653061224,23/12/2008,a903f1ab-e7c1-4dcb-b5af-740c910f477a,USWB10003022,4091169.0,https://www.deezer.com/track/4091169,https://music.youtube.com/watch?v=YAejpM_BRqw,
weimar_183.jams,Baby Won't You Please Come Home,Henry Allen,The Cradle Of Jazz -Sidney Bechet - Chant In The Night CD 2,7,41.923809523809524,,4a6e18bf-1deb-4676-b6e9-5d09525fd9b4,,,,,
weimar_12.jams,Long Ago and Far Away,Benny Carter,Battle of Saxes Volume 2,10,48.9708843537415,,b3ade186-6438-49aa-abc7-adaadeaf6998,,,,https://music.youtube.com/watch?v=1g0Zv0cXS7w,
weimar_357.jams,Just One of Those Things,Pepper Adams,The Cooker,3,100.50201814058957,27/10/2013,d70dd317-6c8b-4a36-8cf6-f33938e2ea9c,FR67W1201759,42362811.0,https://www.deezer.com/track/42362811,https://music.youtube.com/watch?v=hPicHIaFV0w,
weimar_212.jams,Lonnie's Lament,Joe Lovano,Live at the Village Vanguard CD2,1,193.53673469387755,20/02/1996,,USBN29500560,3509443.0,https://www.deezer.com/track/3509443,https://music.youtube.com/watch?v=-lrfXbYQ9KI,
