id,title,mbid,performers,composers,duration,release,release_year,jams_path
weimar_1,Anthropology,6391fad8-724d-416b-99aa-4dac69b7b693,Art Pepper,"['Parker, Gillespie']",141.77913832199548,"Art Pepper, The Compelete Galaxy Recordings, CD 4",1989,../../partitions/weimar/choco/jams/weimar_1.jams
weimar_2,Blues for Blanche,6f93b7a9-8d5c-46e9-aada-2533f3db871c,Art Pepper,['Art Pepper'],159.23210884353742,"Art Pepper, The Compelete Galaxy Recordings, CD 3",1989,../../partitions/weimar/choco/jams/weimar_2.jams
weimar_3,Desafinado,5d42eb36-e1cb-4808-b36f-ac94dddc3fcb,Art Pepper,['Antonio Carlos Jobim'],111.25115646258504,"Art Pepper, The Compelete Galaxy Recordings, CD 4",1989,../../partitions/weimar/choco/jams/weimar_3.jams
weimar_4,In a Mellow Tone,32114f13-935c-48a7-a42d-db97663e4658,Art Pepper,['Duke Ellington'],183.1009523809524,"Art Pepper, The Compelete Galaxy Recordings, CD 4",1989,../../partitions/weimar/choco/jams/weimar_4.jams
weimar_5,Stardust,9b12b012-983c-450b-85e9-9315bebb6dfa,Art Pepper,"['Parish, Carmichael']",255.26122448979592,"Art Pepper, The Compelete Galaxy Recordings, CD 3",1989,../../partitions/weimar/choco/jams/weimar_5.jams
weimar_6,Stardust,9b12b012-983c-450b-85e9-9315bebb6dfa,Art Pepper,"['Parish, Carmichael']",289.53877551020406,"Art Pepper, The Compelete Galaxy Recordings, CD 3",1989,../../partitions/weimar/choco/jams/weimar_6.jams
weimar_7,I Got It Bad,6f69fba1-6832-4e82-8257-9d5172e6f0e4,Benny Carter,['Ellington/Webster'],173.21578231292517,Battle of Saxes Volume 2,2004,../../partitions/weimar/choco/jams/weimar_7.jams
weimar_8,It's a Wonderful World,c1a88604-d063-476d-bdd5-d2e59fce0b82,Benny Carter,['Oscar Peterson'],94.141768707483,Benny Carter meets Oscar Peterson,1987,../../partitions/weimar/choco/jams/weimar_8.jams
weimar_9,It's a Wonderful World,c1a88604-d063-476d-bdd5-d2e59fce0b82,Benny Carter,['Oscar Peterson'],60.01938775510204,Benny Carter meets Oscar Peterson,1987,../../partitions/weimar/choco/jams/weimar_9.jams
weimar_10,Just Friends,0d7ab9bd-a3d0-4d78-8f8a-5f78dcaecfa9,Benny Carter,['Klenner/Lewis'],112.43469387755101,Benny Carter meets Oscar Peterson,1987,../../partitions/weimar/choco/jams/weimar_10.jams
weimar_11,Long Ago and Far Away,fe2804a8-b1fa-4a1a-bd51-96dad7b09b12,Benny Carter,['Kern/Gershwin'],43.84798185941044,Battle of Saxes Volume 2,2004,../../partitions/weimar/choco/jams/weimar_11.jams
weimar_12,Long Ago and Far Away,fe2804a8-b1fa-4a1a-bd51-96dad7b09b12,Benny Carter,['Kern/Gershwin'],48.9708843537415,Battle of Saxes Volume 2,2004,../../partitions/weimar/choco/jams/weimar_12.jams
weimar_13,Sweet Lorraine,05670fa0-4311-405c-b6cb-a78c80c65318,Benny Carter,['Mitchel Parish / Cliff Burwell'],88.50947845804988,Benny Carter meets Oscar Peterson,1987,../../partitions/weimar/choco/jams/weimar_13.jams
weimar_14,Avalon,7e8d5670-50a7-42f9-a895-63324f4fc8be,Benny Goodman,['Jolson/Rose'],33.11319727891157,From Swing to Bebop,1998,../../partitions/weimar/choco/jams/weimar_14.jams
weimar_15,Handful of Keys,c6db9985-bc89-42ca-8f23-3504b9425b7c,Benny Goodman,[''],13.665306122448978,,1937,../../partitions/weimar/choco/jams/weimar_15.jams
weimar_16,Nobody's Sweetheart,8f75a1a2-7f2b-4ef7-bade-9ed861fa3bef,Benny Goodman,['Kahn/Erdman/Meyers/Schoebell'],30.418321995464854,From Swing to Bebop,1998,../../partitions/weimar/choco/jams/weimar_16.jams
weimar_17,Runnin' Wild,1be0f453-dc33-48a2-8dfc-af1954c14930,Benny Goodman,['Grey/Wood/Gibs'],27.80154195011338,From Swing to Bebop,1998,../../partitions/weimar/choco/jams/weimar_17.jams
weimar_18,Tiger Rag,550eb0cf-ced6-4e63-b2b8-cff9650be6f3,Benny Goodman,"['La Rocca, Shields']",29.592834467120184,Combos (1935-41),,../../partitions/weimar/choco/jams/weimar_18.jams
weimar_19,Tiger Rag,550eb0cf-ced6-4e63-b2b8-cff9650be6f3,Benny Goodman,"['La Rocca, Shields']",36.115102040816325,Combos (1935-41),,../../partitions/weimar/choco/jams/weimar_19.jams
weimar_20,Whispering,e2eaf13c-0839-450e-9829-43aad387eceb,Benny Goodman,['Schonberger/Coburn/Rose'],39.412517006802716,From Swing to Bebop,1998,../../partitions/weimar/choco/jams/weimar_20.jams
weimar_21,Bye Bye Blackbird,d256784b-5843-4219-b010-a1ea9c62f8f7,Ben Webster,['Dixon-Henderson'],160.71795918367349,"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962",1993,../../partitions/weimar/choco/jams/weimar_21.jams
weimar_22,Did You Call Her Today,57da0424-3108-404e-bff8-5ded4c6343af,Ben Webster,['Ben Webster'],129.5554648526077,"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962",1993,../../partitions/weimar/choco/jams/weimar_22.jams
weimar_23,My Ideal,f2231215-1f99-47d6-8c49-5554ae0fd6c0,Ben Webster,['Chase-Withing-Robin'],103.11111111111114,"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962",1993,../../partitions/weimar/choco/jams/weimar_23.jams
weimar_24,Night and Day,8349d74a-ce4e-4ccb-ad73-33af2f21912f,Ben Webster,['C. Porter'],126.14183673469388,"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962",1993,../../partitions/weimar/choco/jams/weimar_24.jams
weimar_25,Where or When,7eb298e8-12a6-4d2f-a506-4f697b1c1760,Ben Webster,"['Rodgers, Hart']",117.22013605442177,"Ben Webster ""The Frog"" with: Art Tatum, Oscar Peterson, Hank Jones, guest: Harry Edison,1956-1962",1993,../../partitions/weimar/choco/jams/weimar_25.jams
weimar_26,I'm Coming Virginia,1f4d1333-8e87-45ac-b75f-517f03dea974,Bix Beiderbecke,['Heywood'],88.24453514739228,The Gold Collection - 40 Classic Performances,1997,../../partitions/weimar/choco/jams/weimar_26.jams
weimar_27,Margie,43e09ccf-b2d1-47ad-b13e-e9c7fdc3d0fe,Bix Beiderbecke,['Davis/Conrad/Robinson'],19.451473922902494,The Cradle Of Jazz - Jazz Lips CD 2,,../../partitions/weimar/choco/jams/weimar_27.jams
weimar_28,Riverboat Shuffle,c3ec0b7b-d0d0-478c-a5fb-2a352bc3515a,Bix Beiderbecke,['Voynow/Carmichael/Mills/Parish'],36.67591836734694,The Cradle Of Jazz - Jazz Lips CD 2,,../../partitions/weimar/choco/jams/weimar_28.jams
weimar_29,Royal Garden Blues,2b5dbdbd-fd87-43c2-801c-728fe0f15d3d,Bix Beiderbecke,['C. & S. Williams'],15.36122448979592,The Cradle Of Jazz - Jazz Lips CD 2,,../../partitions/weimar/choco/jams/weimar_29.jams
weimar_30,Singin the Blues,7c31f102-1178-46d2-baf6-25f08e4a6e48,Bix Beiderbecke,['Robinson/Conrad'],56.621859410430844,The Gold Collection - 40 Classic Performances,1997,../../partitions/weimar/choco/jams/weimar_30.jams
weimar_31,Angles,525226a9-f939-4491-a70a-c1017e63c731,Bob Berg,['Bob Berg'],126.67863945578229,Enter The Spirit,1993,../../partitions/weimar/choco/jams/weimar_31.jams
weimar_32,Blues for Bela,d3e7c6b1-0171-4cb0-a93c-a74720f19dc4,Bob Berg,['Bob Berg'],91.00721088435375,Enter The Spirit,1993,../../partitions/weimar/choco/jams/weimar_32.jams
weimar_33,I Didn't Know What Time It Was,87d53f9d-c410-4ea9-ae05-ecb6908b6863,Bob Berg,['Lorenz Hart/Richard Rogers'],203.79269841269843,Second Set,2005,../../partitions/weimar/choco/jams/weimar_33.jams
weimar_34,Nature of the Beast,9eaeabcd-b200-4b56-9555-99a4eeaf40da,Bob Berg,['Bob Berg'],196.89868480725625,Enter The Spirit,1993,../../partitions/weimar/choco/jams/weimar_34.jams
weimar_35,No Moe,34372cc2-e328-4436-8923-f7ef79f33bd8,Bob Berg,['Sonny Rollins'],137.88879818594103,Enter The Spirit,1993,../../partitions/weimar/choco/jams/weimar_35.jams
weimar_36,Second Sight,8c02e0a5-3984-4dcc-8d5a-a94144803fb6,Bob Berg,['Bob Berg'],76.99736961451248,Enter The Spirit,1993,../../partitions/weimar/choco/jams/weimar_36.jams
weimar_37,You and the Night and the Music,0bc3acd3-cbd1-439b-a19f-8c542d421edd,Bob Berg,['Bob Berg'],95.03673469387755,Another Standard,1997,../../partitions/weimar/choco/jams/weimar_37.jams
weimar_38,Gutbucket Steepy,28a182ec-dcb1-40b2-ae24-e53b0d743e3b,Branford Marsalis,"['Hinton, B.Marsalis, Watts']",209.97723356009072,Trio Jeepy,1989,../../partitions/weimar/choco/jams/weimar_38.jams
weimar_39,Housed from Edward,5fd24543-2b6d-471d-9b0f-393781d78f92,Branford Marsalis,['B. Marsalis'],228.41097505668935,Trio Jeepy,1989,../../partitions/weimar/choco/jams/weimar_39.jams
weimar_40,Housed from Edward,5fd24543-2b6d-471d-9b0f-393781d78f92,Branford Marsalis,['B. Marsalis'],49.40045351473923,Trio Jeepy,1989,../../partitions/weimar/choco/jams/weimar_40.jams
weimar_41,The Nearness of You,3177a47e-6b52-4b5a-bf6c-0f49504f304b,Branford Marsalis,['B. Marsalis'],333.32371882086164,Trio Jeepy,1989,../../partitions/weimar/choco/jams/weimar_41.jams
weimar_42,Three Little Words,00d6d225-f761-4d91-a0a3-052e25309a98,Branford Marsalis,"['Harry Ruby, Bert Kalmar']",192.6312925170068,Trio Jeepy,1989,../../partitions/weimar/choco/jams/weimar_42.jams
weimar_43,U.M.M.G.,53b9ed5d-a31a-4c2c-8c4e-fc7b8aaca8f0,Branford Marsalis,['Billy Strayhorn'],226.75233560090703,Trio Jeepy,1989,../../partitions/weimar/choco/jams/weimar_43.jams
weimar_44,After Theatre Jump,4dc02b92-34af-4185-ad08-b07daefe6db8,Buck Clayton,['Wells'],44.788208616780054,"Quadromania Jazz Edition, Lester Young, Lester's Be-Bop Boogie CD 2",2005,../../partitions/weimar/choco/jams/weimar_44.jams
weimar_45,Destination K.C.,3725f70c-2ac2-43a3-8448-b9672943deaf,Buck Clayton,['Clayton'],61.305079365079365,"Quadromania Jazz Edition, Lester Young, Lester's Be-Bop Boogie CD 2",2005,../../partitions/weimar/choco/jams/weimar_45.jams
weimar_46,Dickie's Dream,67e7059d-7127-432b-be9b-a51f171a3828,Buck Clayton,['Basie-Young'],33.59242630385487,"Quadromania Jazz Edition, Lester Young, Lester's Be-Bop Boogie CD 1",2005,../../partitions/weimar/choco/jams/weimar_46.jams
weimar_47,High Fly,0c736495-4b65-4b52-9f47-6498c22d8245,Cannonball Adderley,['Randy Weston'],120.37074829931973,The Cannonball Adderley Quintet in San Francisco,1989,../../partitions/weimar/choco/jams/weimar_47.jams
weimar_48,So What,60f750f4-d222-46b7-ad5c-905334c9a48a,Cannonball Adderley,['Davis/Evans'],105.25315192743764,Kind Of Blue,1962,../../partitions/weimar/choco/jams/weimar_48.jams
weimar_49,Star Eyes,eca1e315-5bb3-447f-ad30-ea3505fbf6ce,Cannonball Adderley,['Raye/DePaul'],88.73673469387755,The Cannonball Adderley Quintet  Plus,1987,../../partitions/weimar/choco/jams/weimar_49.jams
weimar_50,This Here,42e46bbb-d74a-4e47-880a-0328d7ba86de,Cannonball Adderley,['Bobby Timmons'],166.10394557823128,The Cannonball Adderley Quintet in San Francisco,1989,../../partitions/weimar/choco/jams/weimar_50.jams
weimar_51,Work Song,c9971301-317e-477a-9140-5dc2a8e75e6c,Cannonball Adderley,['Nat Adderley'],98.91630385487528,Work Song 1960-1969,1993,../../partitions/weimar/choco/jams/weimar_51.jams
weimar_52,Billie's Bounce,,Charlie Parker,['Charlie Parker'],73.13850340136054,Boss Bird Disc 1,,../../partitions/weimar/choco/jams/weimar_52.jams
weimar_53,Blues for Alice,,Charlie Parker,['Charlie Parker'],51.988027210884354,Boss Bird Disc 4,2002,../../partitions/weimar/choco/jams/weimar_53.jams
weimar_54,Don't Blame Me,,Charlie Parker,['Fields/McHugh'],122.00462585034013,Boss Bird Disc 2,2002,../../partitions/weimar/choco/jams/weimar_54.jams
weimar_55,Donna Lee,,Charlie Parker,['Miles Daivs'],69.68090702947846,Boss Bird Disc 2,2002,../../partitions/weimar/choco/jams/weimar_55.jams
weimar_56,Embraceable You,,Charlie Parker,['G. Gershwin'],107.86530612244897,Boss Bird Disc 2,2002,../../partitions/weimar/choco/jams/weimar_56.jams
weimar_57,How Deep Is the Ocean,,Charlie Parker,['Berlin'],108.45387755102041,Boss Bird Disc 3,,../../partitions/weimar/choco/jams/weimar_57.jams
weimar_58,K.C. Blues,,Charlie Parker,['Parker'],51.02294784580499,Boss Bird Disc 4,2002,../../partitions/weimar/choco/jams/weimar_58.jams
weimar_59,Ko-Ko,,Charlie Parker,['Parker'],77.00607709750567,Boss Bird Disc 1,,../../partitions/weimar/choco/jams/weimar_59.jams
weimar_60,My Little Suede Shoes,,Charlie Parker,['Parker'],53.30816326530612,Boss Bird Disc 4,2002,../../partitions/weimar/choco/jams/weimar_60.jams
weimar_61,Ornithology,,Charlie Parker,['Parker'],35.09591836734693,Boss Bird Disc 1,,../../partitions/weimar/choco/jams/weimar_61.jams
weimar_62,Out of Nowhere,,Charlie Parker,"['Heyman, Green']",114.77532879818594,Boss Bird Disc 2,2002,../../partitions/weimar/choco/jams/weimar_62.jams
weimar_63,Scrapple from the Apple,,Charlie Parker,['Parker'],57.56043083900227,Boss Bird Disc 2,2002,../../partitions/weimar/choco/jams/weimar_63.jams
weimar_64,Segment,,Charlie Parker,['Parker'],61.878412698412696,Boss Bird Disc 3,,../../partitions/weimar/choco/jams/weimar_64.jams
weimar_65,Star Eyes,,Charlie Parker,['Raye/DePaul'],65.22775510204082,Boss Bird Disc 3,,../../partitions/weimar/choco/jams/weimar_65.jams
weimar_66,Steeplechase,,Charlie Parker,['Parker'],44.48798185941043,Boss Bird Disc 3,,../../partitions/weimar/choco/jams/weimar_66.jams
weimar_67,Thriving on a Riff,7ffe301a-8a0f-451a-a774-78d9b880e45d,Charlie Parker,['Parker/Gillespie'],68.30875283446713,Ornithology,2002,../../partitions/weimar/choco/jams/weimar_67.jams
weimar_68,Yardbird Suite,,Charlie Parker,['Parker'],37.12580498866214,Boss Bird Disc 1,,../../partitions/weimar/choco/jams/weimar_68.jams
weimar_69,Limehouse Blues,2b718e7e-f877-4a44-a7d3-ad24375d58dd,Charlie Shavers,"['Braham, Furber']",28.975510204081633,The Cradle Of Jazz -Sidney Bechet - Chant In The Night CD 2,,../../partitions/weimar/choco/jams/weimar_69.jams
weimar_70,I Fall in Love Too Easily,eb75ae3c-09d5-43ee-be99-2f41c51ca924,Chet Baker,['Cahn/Styne'],58.363174603174606,Let's Get Lost,1996,../../partitions/weimar/choco/jams/weimar_70.jams
weimar_71,Just Friends,5dece1a5-eb42-4c31-b4dc-51cd01b5e155,Chet Baker,['Klenner/Lewis'],50.17827664399093,Let's Get Lost,1996,../../partitions/weimar/choco/jams/weimar_71.jams
weimar_72,Let's Get Lost,1ddba2b2-5019-4b9e-8953-638caa3a2259,Chet Baker,['Loesser / McHugh'],48.748934240362814,Let's Get Lost,1996,../../partitions/weimar/choco/jams/weimar_72.jams
