Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	2.0	
2.0	1	2.0	0.5	2.0	['D5', 'G5']
4.0	2	1.0	1.0	2.0	['E5', 'A5']
6.0	2	2.0	0.5	2.0	['D5', 'G5']
8.0	3	1.0	1.0	1.0	['E5', 'A5']
9.0	3	1.5	0.25	1.0	['D4', 'G4', 'E5', 'A5']
10.0	3	2.0	0.5	1.0	['E4', 'A4', 'D5', 'G5']
11.0	3	2.5	0.25	1.0	['D4', 'G4', 'D5', 'G5']
12.0	4	1.0	1.0	1.0	['E5', 'A5']
13.0	4	1.5	0.25	1.0	['E4', 'A4', 'E5', 'A5']
14.0	4	2.0	0.5	1.0	['D4', 'G4', 'G5', 'C6']
15.0	4	2.5	0.25	1.0	['E4', 'A4', 'G5', 'C6']
16.0	5	1.0	1.0	1.0	['A5', 'D6']
17.0	5	1.5	0.25	1.0	['G4', 'C5', 'A5', 'D6']
18.0	5	2.0	0.5	1.0	['A4', 'D5', 'G5', 'C6']
19.0	5	2.5	0.25	1.0	['G4', 'C5', 'G5', 'C6']
20.0	6	1.0	1.0	1.0	['E4', 'A4']
21.0	6	1.5	0.25	1.0	['E4', 'A4', 'D5', 'G5']
22.0	6	2.0	0.5	1.0	['D4', 'G4', 'E5', 'A5']
23.0	6	2.5	0.25	1.0	['D4', 'G4', 'D5', 'G5']
24.0	7	1.0	1.0	0.67	['E5', 'A5']
24.67	7	1.33	0.0625	0.67	['D5', 'G5']
25.33	7	1.67	0.0625	0.67	['E5', 'A5']
26.0	7	2.0	0.5	0.67	['E4', 'A4', 'D5', 'G5']
26.67	7	2.33	0.0625	0.67	['E4', 'A4', 'E5', 'A5']
27.33	7	2.67	0.0625	0.67	['E4', 'A4', 'D5', 'G5']
28.0	8	1.0	1.0	0.5	['E4', 'A4', 'E5', 'A5']
28.5	8	1.25	0.125	0.5	['E4', 'A4', 'D5', 'G5']
29.0	8	1.5	0.25	0.5	['E4', 'A4', 'E5', 'A5']
29.5	8	1.75	0.125	0.5	['E4', 'A4', 'D5', 'G5']
30.0	8	2.0	0.5	0.5	['G4', 'C5', 'E5', 'A5']
30.5	8	2.25	0.125	0.5	['G4', 'C5', 'D5', 'G5']
31.0	8	2.5	0.25	0.5	['G4', 'C5', 'E5', 'A5']
31.5	8	2.75	0.125	0.5	['G4', 'C5', 'D5', 'G5']
32.0	9	1.0	1.0	0.5	['G4', 'C5', 'E5', 'A5']
32.5	9	1.25	0.125	0.5	['G4', 'C5', 'D5', 'G5']
33.0	9	1.5	0.25	0.5	['A4', 'E5', 'A5']
33.5	9	1.75	0.125	0.5	['A4', 'D5', 'G5']
34.0	9	2.0	0.5	0.5	['G4', 'E5', 'A5']
34.5	9	2.25	0.125	0.5	['G4', 'D5', 'G5']
35.0	9	2.5	0.25	0.5	['E4', 'E5', 'A5']
35.5	9	2.75	0.125	0.5	['E4', 'D5', 'G5']
36.0	10	1.0	1.0	0.5	['D4', 'G4']
36.5	10	1.25	0.125	0.5	['E4', 'A4']
37.0	10	1.5	0.25	0.5	['D4', 'G4', 'A5']
37.5	10	1.75	0.125	0.5	['E4', 'A4', 'A5']
38.0	10	2.0	0.5	0.5	['D4', 'G4', 'A5']
38.5	10	2.25	0.125	0.5	['E4', 'A4', 'A5']
39.0	10	2.5	0.25	0.5	['D4', 'G4', 'C6']
39.5	10	2.75	0.125	0.5	['E4', 'A4', 'C6']
40.0	11	1.0	1.0	0.5	['D4', 'G4', 'G5']
40.5	11	1.25	0.125	0.5	['E4', 'A4', 'G5']
41.0	11	1.5	0.25	0.5	['D4', 'G4', 'A5']
41.5	11	1.75	0.125	0.5	['E4', 'A4', 'A5']
42.0	11	2.0	0.5	0.5	['D4', 'G4', 'E5']
42.5	11	2.25	0.125	0.5	['E4', 'A4', 'E5']
43.0	11	2.5	0.25	0.5	['D4', 'G4', 'D5']
43.5	11	2.75	0.125	0.5	['E4', 'A4', 'D5']
44.0	12	1.0	1.0	0.67	['D4', 'G4', 'C5']
44.67	12	1.33	0.0625	0.67	['E4', 'A4', 'C5']
45.33	12	1.67	0.0625	0.67	['D4', 'G4', 'C5']
46.0	12	2.0	0.5	0.67	['E4', 'A4', 'D5']
46.67	12	2.33	0.0625	0.33	['D4', 'G4', 'D5']
47.0	12	2.5	0.25	0.33	['D4', 'G4', 'G5']
47.33	12	2.67	0.0625	0.67	['E4', 'A4', 'G5']
48.0	13	1.0	1.0	1.0	['D4', 'G4', 'E5']
49.0	13	1.5	0.25	1.0	['E4', 'A4', 'E5']
50.0	13	2.0	0.5	1.0	['G4', 'C5', 'E5']
51.0	13	2.5	0.25	1.0	['A4', 'D5', 'E5']
52.0	14	1.0	1.0	1.33	['G4', 'C5', 'E5']
53.33	14	1.67	0.0625	1.33	['E4', 'A4', 'E5']
54.67	14	2.33	0.0625	1.33	['D4', 'G4', 'E5']
56.0	15	1.0	1.0	0.5	['A2', 'D5', 'E5']
56.5	15	1.25	0.125	0.5	['D3', 'D5', 'E5']
57.0	15	1.5	0.25	0.5	['E3', 'D5', 'E5']
57.5	15	1.75	0.125	0.5	['G3', 'D5', 'E5']
58.0	15	2.0	0.5	0.5	['A3', 'D5', 'E5']
58.5	15	2.25	0.125	0.5	['D4', 'D5', 'E5']
59.0	15	2.5	0.25	0.5	['E4', 'D5', 'E5']
59.5	15	2.75	0.125	0.5	['G4', 'D5', 'E5']
60.0	16	1.0	1.0	0.5	['G4', 'D5', 'E5']
60.5	16	1.25	0.125	0.5	['E4', 'D5', 'E5']
61.0	16	1.5	0.25	0.5	['D4', 'D5', 'E5']
61.5	16	1.75	0.125	0.5	['A3', 'D5', 'E5']
62.0	16	2.0	0.5	0.5	['G3', 'D5', 'G5']
62.5	16	2.25	0.125	0.5	['E3', 'D5', 'G5']
63.0	16	2.5	0.25	0.5	['D3', 'D5', 'G5']
63.5	16	2.75	0.125	0.5	['A2', 'D5', 'G5']
64.0	17	1.0	1.0	0.5	['C2', 'D5', 'E5']
64.5	17	1.25	0.125	0.5	['G2', 'D5', 'E5']
65.0	17	1.5	0.25	0.5	['C3', 'A4', 'D5', 'E5']
65.5	17	1.75	0.125	0.5	['E3', 'A4', 'D5', 'E5']
