Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['A-3', 'D-4', 'F4', 'B-4', 'F5', 'B-5']
1.0	1	2.0	0.5	1.0	['D-2', 'A-2', 'B-5', 'F6', 'B-6']
2.0	1	3.0	0.5	1.0	['A-3', 'D-4', 'F4', 'B-4', 'F5', 'B-5']
3.0	2	1.0	1.0	1.0	['G-3', 'C-4', 'E-4', 'A-4', 'E-5', 'A-5']
4.0	2	2.0	0.5	2.0	['C-2', 'G-2', 'A-5', 'E-6', 'A-6']
6.0	3	1.0	1.0	0.5	['A-3', 'D-4', 'F4', 'B-4', 'F5', 'B-5']
6.5	3	1.5	0.25	0.5	['A-3', 'D-4', 'F4', 'B-4', 'F5', 'B-5']
7.0	3	2.0	0.5	0.5	['D-2', 'A-2', 'F4', 'B-5', 'F6', 'B-6']
7.5	3	2.5	0.25	0.5	['D-2', 'A-2', 'G-4', 'B-5', 'F6', 'B-6']
8.0	3	3.0	0.5	0.5	['A-3', 'D-4', 'F4', 'A-4', 'B-4', 'F5', 'B-5']
8.5	3	3.5	0.25	0.5	['A-3', 'D-4', 'F4', 'B-4', 'F5', 'B-5']
9.0	4	1.0	1.0	1.0	['G-3', 'C-4', 'E-4', 'A-4', 'C-5', 'E-5', 'A-5']
10.0	4	2.0	0.5	0.5	['C-2', 'G-2', 'C-5', 'A-5', 'E-6', 'A-6']
10.5	4	2.5	0.25	0.5	['C-2', 'G-2', 'B-4', 'A-5', 'E-6', 'A-6']
11.0	4	3.0	0.5	0.5	['C-2', 'G-2', 'A-4', 'A-5', 'E-6', 'A-6']
11.5	4	3.5	0.25	0.5	['C-2', 'G-2', 'G-4', 'A-5', 'E-6', 'A-6']
12.0	5	1.0	1.0	0.5	['A-3', 'D-4', 'F4', 'B-4', 'F5', 'B-5']
12.5	5	1.5	0.25	0.5	['A-3', 'D-4', 'F4', 'G-4', 'B-4', 'F5', 'B-5']
13.0	5	2.0	0.5	1.0	['D-2', 'A-2', 'A-4', 'B-5', 'F6', 'B-6']
14.0	5	3.0	0.5	0.5	['A-3', 'D-4', 'F4', 'A-4', 'B-4', 'F5', 'B-5']
