Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	2.0	['B-2', 'B-3']
2.0	1	3.0	0.5	1.0	['B-2', 'B-3']
3.0	1	4.0	0.25	1.0	['E-2', 'B-2', 'G-3', 'B-3']
4.0	2	1.0	1.0	1.5	['E-2', 'B-2', 'G-3', 'B-3']
5.5	2	2.5	0.125	0.5	['D2', 'B-2', 'F3', 'B-3']
6.0	2	3.0	0.5	1.0	['D2', 'B-2', 'F3', 'B-3']
7.0	2	4.0	0.25	1.0	['F2', 'B-2', 'A-3', 'B-3']
8.0	3	1.0	1.0	2.0	['E-2', 'B-2', 'G-3', 'B-3', 'E-4']
10.0	3	3.0	0.5	2.0	['B-1', 'B-2', 'D-3', 'G-3', 'D-4']
12.0	4	1.0	1.0	1.5	['D-2', 'A-2', 'F3', 'A-3']
13.5	4	2.5	0.125	0.5	['C-2', 'A-2', 'E-3', 'A-3']
14.0	4	3.0	0.5	1.0	['C-2', 'A-2', 'E-3', 'A-3']
15.0	4	4.0	0.25	1.0	['D-2', 'A-2', 'F3', 'A-3']
16.0	5	1.0	1.0	2.0	['B-1', 'B-2', 'D3', 'B-3']
18.0	5	3.0	0.5	1.0	['E-2', 'B-2', 'E-3', 'G-3']
19.0	5	4.0	0.25	1.0	['E-2', 'B-2', 'E-3', 'G-3', 'B-4']
20.0	6	1.0	1.0	1.5	['E-2', 'B-2', 'G-3', 'B-3', 'B-4']
21.5	6	2.5	0.125	0.5	['D2', 'B-2', 'F3', 'B-3', 'B-4']
22.0	6	3.0	0.5	1.0	['D2', 'B-2', 'F3', 'B-3', 'B-4']
23.0	6	4.0	0.25	1.0	['F2', 'B-2', 'A-3', 'B-3', 'B-4']
24.0	7	1.0	1.0	2.0	['E-2', 'B-2', 'G-3', 'B-3', 'E-4', 'E-5']
26.0	7	3.0	0.5	2.0	['B-1', 'B-2', 'D-3', 'G-3', 'D-4', 'D-5']
28.0	8	1.0	1.0	1.5	['D-2', 'A-2', 'F3', 'A-3', 'A-4']
29.5	8	2.5	0.125	0.5	['C-2', 'A-2', 'E-3', 'A-3', 'A-4']
30.0	8	3.0	0.5	1.0	['C-2', 'A-2', 'E-3', 'A-3']
31.0	8	4.0	0.25	1.0	['D-2', 'A-2', 'F3', 'A-3', 'A-4']
32.0	9	1.0	1.0	2.0	['B-1', 'B-2', 'D3', 'B-3', 'B-4']
34.0	9	3.0	0.5	1.0	['E-2', 'G-3', 'B-3', 'C-4', 'B-4']
35.0	9	4.0	0.25	1.0	['E-2', 'G-3', 'B-3', 'C-4', 'C-5']
36.0	10	1.0	1.0	1.5	['F-2', 'A-3', 'C-4', 'C-5']
37.5	10	2.5	0.125	0.5	['E-2', 'G-3', 'C-4', 'C-5']
38.0	10	3.0	0.5	1.0	['E-2', 'G-3', 'C-4', 'C-5']
39.0	10	4.0	0.25	1.0	['F-2', 'A-3', 'C-4', 'C-5']
40.0	11	1.0	1.0	2.0	['D-2', 'F3', 'D-4', 'D-5']
42.0	11	3.0	0.5	1.0	['G2', 'B-3', 'D-4', 'E-4', 'D-5']
43.0	11	4.0	0.25	1.0	['G2', 'B-3', 'D-4', 'E-4', 'E-5']
44.0	12	1.0	1.0	1.5	['B-2', 'E-3', 'D-4', 'E-4', 'E-5']
45.5	12	2.5	0.125	0.5	['A-2', 'E-3', 'C-4', 'E-4', 'E-5']
46.0	12	3.0	0.5	1.0	['A-2', 'E-3', 'C-4', 'E-4', 'E-5']
47.0	12	4.0	0.25	0.5	['A-2', 'E-3', 'C-4', 'E-4']
47.5	12	4.5	0.125	0.5	['G-2', 'E-3', 'B-3', 'E-4']
48.0	13	1.0	1.0	1.5	['G-2', 'E-3', 'B-3', 'E-4']
49.5	13	2.5	0.125	0.5	['F2', 'E-3', 'A3', 'E-4']
50.0	13	3.0	0.5	2.0	['F1', 'F2', 'C3', 'F3', 'A3', 'C4', 'E-4', 'F4', 'F5']
52.0	14	1.0	1.0	1.5	['B-1', 'B-2', 'E-3', 'G-3', 'B-3', 'B-4']
