Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.25	['A1']
0.25	1	1.17	0.125	0.25	['A1', 'C4']
0.5	1	1.33	0.25	0.25	['E4']
0.75	1	1.5	0.125	0.25	['A4']
1.0	1	1.67	0.25	0.25	['A3', 'C4', 'C5']
1.25	1	1.83	0.125	0.25	['A3', 'C4', 'E4', 'A4']
1.5	1	2.0	0.5	0.5	['A4', 'C5']
2.0	1	2.33	0.25	0.5	['E3', 'A3']
2.5	1	2.67	0.25	0.5	['A3', 'C4']
3.0	2	1.0	1.0	0.25	['A1']
3.25	2	1.17	0.125	0.25	['A1', 'C4']
3.5	2	1.33	0.25	0.25	['E4']
3.75	2	1.5	0.125	0.25	['A4']
4.0	2	1.67	0.25	0.25	['A3', 'C4', 'C5']
4.25	2	1.83	0.125	0.25	['A3', 'C4', 'E4', 'A4']
4.5	2	2.0	0.5	0.5	['A4', 'C5']
5.0	2	2.33	0.25	0.5	['E3', 'A3']
5.5	2	2.67	0.25	0.5	['A3', 'C4']
6.0	3	1.0	1.0	0.25	['A1', 'A4']
6.25	3	1.17	0.125	0.25	['A1', 'C4', 'A4']
6.5	3	1.33	0.25	0.25	['E4', 'A4']
6.75	3	1.5	0.125	0.25	['A4']
7.0	3	1.67	0.25	0.25	['A3', 'C4', 'E4', 'C5']
7.25	3	1.83	0.125	0.25	['A3', 'C4', 'E4', 'A4']
7.5	3	2.0	0.5	0.5	['A4', 'C5']
8.0	3	2.33	0.25	0.5	['E3', 'A3', 'B4']
8.5	3	2.67	0.25	0.5	['A3', 'C4', 'A4']
9.0	4	1.0	1.0	0.25	['B1', 'G4']
9.25	4	1.17	0.125	0.25	['B1', 'B3', 'G4']
9.5	4	1.33	0.25	0.25	['D4', 'G4']
9.75	4	1.5	0.125	0.25	['G4']
10.0	4	1.67	0.25	0.25	['G3', 'B3', 'B4']
10.25	4	1.83	0.125	0.25	['G3', 'B3', 'D4', 'G4', 'B4']
10.5	4	2.0	0.5	0.5	['G4', 'A4', 'B4']
11.0	4	2.33	0.25	0.5	['D3', 'G3', 'A4']
11.5	4	2.67	0.25	0.5	['G3', 'B3', 'G4']
12.0	5	1.0	1.0	0.25	['D2', 'F4']
12.25	5	1.17	0.125	0.25	['D2', 'A3', 'F4']
12.5	5	1.33	0.25	0.25	['D4', 'G4']
12.75	5	1.5	0.125	0.25	['F4', 'G4']
13.0	5	1.67	0.25	0.25	['F3', 'A3', 'A4']
13.25	5	1.83	0.125	0.25	['F3', 'A3', 'D4', 'F4', 'A4']
13.5	5	2.0	0.5	0.5	['C2', 'E4', 'F4', 'A4']
14.0	5	2.33	0.25	0.5	['C3', 'E3', 'E4']
14.5	5	2.67	0.25	0.5	['E3', 'A3', 'A4']
15.0	6	1.0	1.0	0.25	['F2', 'C5']
15.25	6	1.17	0.125	0.25	['F2', 'A3', 'C5']
