Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	2.67	0.25	0.5	['D3', 'F#4', 'D5']
0.5	0	2.83	0.125	0.5	['D3', 'A4', 'D5']
1.0	1	1.0	1.0	0.5	['A3', 'E4', 'C#5']
1.5	1	1.17	0.125	0.5	['A3', 'G4', 'C#5']
2.0	1	1.33	0.25	0.5	['A3', 'E4', 'C#5']
2.5	1	1.5	0.125	0.5	['A3', 'G4', 'C#5']
3.0	1	1.67	0.25	0.5	['D4', 'B4', 'G#5']
3.5	1	1.83	0.125	0.5	['F#4', 'B4', 'G#5']
4.0	1	2.0	0.5	0.5	['C#4', 'A4', 'A5']
4.5	1	2.17	0.125	0.5	['E4', 'A4', 'A5']
5.0	1	2.33	0.25	0.5	['C#4', 'A4', 'A5']
5.5	1	2.5	0.125	0.5	['E4', 'A4', 'A5']
6.0	1	2.67	0.25	0.5	['A#2', 'C#4', 'G4']
6.5	1	2.83	0.125	0.5	['A#2', 'E4', 'G4']
7.0	2	1.0	1.0	0.5	['B2', 'C#4', 'G4']
7.5	2	1.17	0.125	0.5	['B2', 'E4', 'G4']
8.0	2	1.33	0.25	0.5	['C3', 'D3', 'F#3', 'F#4']
8.5	2	1.5	0.125	0.5	['C3', 'D3', 'D4', 'F#4']
9.0	2	1.67	0.25	0.5	['B2', 'D3', 'G3', 'G4']
9.5	2	1.83	0.125	0.5	['B2', 'D3', 'D4', 'G4']
10.0	2	2.0	0.5	0.5	['A2', 'D3', 'A3', 'A4']
10.5	2	2.17	0.125	0.5	['A2', 'D3', 'D4', 'A4']
11.0	2	2.33	0.25	0.5	['G2', 'D3', 'B3', 'B4']
11.5	2	2.5	0.125	0.5	['G2', 'D3', 'D4', 'B4']
12.0	2	2.67	0.25	0.5	['G#2', 'D3', 'B3', 'E4']
12.5	2	2.83	0.125	0.5	['G#2', 'D3', 'D4', 'E4']
13.0	3	1.0	1.0	0.5	['A1', 'D4', 'E4']
