key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
d	[2.0, 9.5, 34.0, 0.0, 15.0, 25.0, 5.0, 10.5, 5.0, 44.5, 5.0, 7.0]	0.0	66.0	66.0	1	22	21
C	[12.0, 0.0, 4.0, 1.0, 8.25, 8.0, 1.75, 20.25, 3.0, 8.25, 0.0, 5.0]	66.0	90.0	24.0	23	30	7
F	[11.25, 3.5, 2.0, 4.5, 10.0, 3.0, 1.5, 5.0, 0.0, 4.5, 2.5, 0.25]	90.0	108.0	18.0	31	36	5
a	[12.5, 0.0, 3.5, 3.5, 18.0, 5.0, 2.5, 2.0, 0.0, 13.0, 0.0, 2.5]	108.0	120.0	12.0	37	40	3
e	[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.5, 1.0, 0.0]	120.0	121.0	1.0	41	41	0
a	[0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.25, 1.25, 0.0, 0.5]	121.0	122.0	1.0	41	41	0
ab	[0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]	122.0	123.0	1.0	42	42	0
g	[2.0, 1.0, 4.0, 2.0, 2.0, 0.0, 2.25, 1.25, 0.0, 2.5, 0.0, 0.0]	123.0	126.0	3.0	42	43	1
C	[25.0, 0.0, 13.5, 6.0, 17.5, 19.0, 9.5, 35.0, 2.0, 10.5, 0.0, 16.0]	126.0	146.0	20.0	44	50	6
d	[8.5, 32.5, 35.5, 0.0, 28.0, 31.0, 2.0, 42.0, 4.0, 55.5, 32.0, 12.0]	146.0	197.0	51.0	51	67	16
F	[31.0, 10.5, 12.0, 4.0, 10.0, 17.5, 3.0, 7.5, 7.5, 19.0, 9.0, 10.0]	197.0	221.0	24.0	68	75	7
d	[4.5, 7.0, 60.5, 2.0, 10.5, 12.5, 29.0, 7.5, 3.0, 23.25, 13.75, 2.0]	221.0	251.0	30.0	76	86	10
