Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	2.67	0.25	0.5	['C#4']
0.5	2	1.0	1.0	0.5	['B3', 'C#4', 'E#4', 'G#4', 'C#5']
1.0	2	1.33	0.25	0.5	['B3', 'C#4', 'D#4', 'E#4', 'G#4', 'C#5']
1.5	2	1.67	0.25	0.5	['B3', 'C#4', 'E#4', 'G#4', 'C#5']
2.0	2	2.0	0.5	0.5	['A#3', 'C#4', 'F#4', 'C#5']
2.5	2	2.33	0.25	0.5	['A#3', 'C#4', 'F#4', 'G#4', 'C#5']
3.0	2	2.67	0.25	0.5	['A#3', 'C#4', 'F#4', 'A#4', 'C#5']
3.5	3	1.0	1.0	0.5	['G#3', 'D#4', 'F#4', 'B4']
4.0	3	1.33	0.25	0.5	['G#3', 'D#4', 'F#4', 'A#4', 'B4']
4.5	3	1.67	0.25	0.5	['G#3', 'D#4', 'F#4', 'B4']
5.0	3	2.0	0.5	0.5	['G#3', 'D#4', 'F#4', 'G#4', 'B4']
5.5	3	2.33	0.25	0.5	['G#3', 'D#4', 'F#4', 'B4']
6.0	3	2.67	0.25	0.5	['G#3', 'D#4', 'F#4', 'G#4', 'B4']
6.5	3	3.0	0.5	1.0	['C#4', 'E#4', 'G#4']
7.5	3	3.67	0.25	0.5	['D#4']
8.0	4	1.0	1.0	0.5	['B3', 'C#4', 'E#4', 'G#4', 'C#5']
8.5	4	1.33	0.25	0.5	['B3', 'C#4', 'D#4', 'E#4', 'G#4', 'C#5']
9.0	4	1.67	0.25	0.5	['B3', 'C#4', 'E#4', 'G#4', 'C#5']
9.5	4	2.0	0.5	0.5	['A#3', 'C#4', 'F#4', 'C#5']
10.0	4	2.33	0.25	0.5	['A#3', 'C#4', 'F#4', 'G#4', 'C#5']
10.5	4	2.67	0.25	0.5	['A#3', 'C#4', 'F#4', 'A#4', 'C#5']
11.0	5	1.0	1.0	0.5	['G#3', 'B3', 'F#4', 'B4', 'D#5']
11.5	5	1.33	0.25	0.5	['G#3', 'B3', 'F#4', 'A#4', 'D#5']
12.0	5	1.67	0.25	0.5	['G#3', 'B3', 'F#4', 'B4', 'D#5']
12.5	5	2.0	0.5	0.5	['D#4', 'F#4', 'G#4', 'B4']
13.0	5	2.33	0.25	0.5	['D#4', 'F#4', 'G#4', 'A#4', 'B4']
13.5	5	2.67	0.25	0.5	['D#4', 'F#4', 'G#4', 'B4']
14.0	6	1.0	1.0	1.5	['C#4', 'F#4', 'G#4', 'C#5']
15.5	6	2.0	0.5	0.5	['C#4', 'E#4', 'G#4', 'C#5']
16.0	6	2.33	0.25	0.5	['C#4', 'E#4', 'G#4', 'C#5']
16.5	6	2.67	0.25	0.5	['C#4', 'E#4', 'G#4', 'C#5']
17.0	7	1.0	1.0	0.5	['B3', 'F#4', 'D#5']
17.5	7	1.33	0.25	0.5	['B3', 'F#4', 'C#5', 'D#5']
18.0	7	1.67	0.25	0.5	['B3', 'F#4', 'D#5']
18.5	7	2.0	0.5	0.5	['E#4', 'G#4', 'B4', 'D#5']
19.0	7	2.33	0.25	0.5	['E#4', 'G#4', 'A#4', 'D#5']
19.5	7	2.67	0.25	0.5	['E#4', 'G#4', 'D#5']
20.0	8	1.0	1.0	0.5	['A#3', 'E#4', 'C#5']
20.5	8	1.33	0.25	0.5	['A#3', 'E#4', 'B4', 'C#5']
21.0	8	1.67	0.25	0.5	['A#3', 'E#4', 'C#5']
21.5	8	2.0	0.5	0.5	['A#3', 'F#4', 'A#4', 'C#5']
22.0	8	2.33	0.25	0.5	['A#3', 'F#4', 'G#4', 'C#5']
22.5	8	2.67	0.25	0.5	['A#3', 'F#4', 'C#5']
23.0	8	3.0	0.5	0.5	['D#4', 'F#4', 'G#4', 'B4']
23.5	8	3.33	0.25	0.5	['D#4', 'F#4', 'A#4', 'B4']
24.0	8	3.67	0.25	0.5	['D#4', 'F#4', 'B4']
24.5	9	1.0	1.0	0.5	['C#4', 'E4', 'G#4', 'A#4', 'C#5']
25.0	9	1.33	0.25	0.5	['C#4', 'E4', 'G#4', 'A#4', 'D#5']
25.5	9	1.67	0.25	0.5	['C#4', 'E4', 'G#4', 'A#4', 'E5']
26.0	9	2.0	0.5	1.5	['G#3', 'D#4', 'G#4', 'B4', 'D#5']
27.5	9	3.0	0.5	0.5	['G#3', 'E#4', 'G#4', 'B4', 'D#5']
28.0	9	3.33	0.25	0.5	['G#3', 'E#4', 'G#4', 'B4', 'C#5']
28.5	9	3.67	0.25	0.5	['G#3', 'E#4', 'G#4', 'B4']
29.0	10	1.0	1.0	1.5	['A#3', 'F#4', 'A#4']
30.5	10	2.0	0.5	0.5	['B3', 'F#4', 'A#4']
31.0	10	2.33	0.25	0.5	['B3', 'F#4', 'G#4', 'A#4']
31.5	10	2.67	0.25	0.5	['B3', 'F#4', 'A#4']
