Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	3.0	0.5	2.0	['C4', 'F4', 'A4', 'E-5']
2.0	2	1.0	1.0	0.5	['C4', 'F4', 'A4', 'E-5']
2.5	2	1.5	0.125	0.5	['C4', 'F4', 'A4', 'D5', 'E-5']
3.0	2	2.0	0.25	1.0	['C4', 'F4', 'A4', 'C5', 'E-5']
4.0	2	3.0	0.5	0.5	['B-3', 'E-4', 'G4', 'D5']
4.5	2	3.5	0.125	1.0	['B-3', 'E-4', 'G4', 'B-4', 'D5']
5.5	2	4.5	0.125	0.5	['B-3', 'E-4', 'G4', 'B-4', 'D5']
6.0	3	1.0	1.0	0.5	['A3', 'E-4', 'G4', 'C5']
6.5	3	1.5	0.125	0.5	['A3', 'E-4', 'G4', 'C5']
7.0	3	2.0	0.25	0.75	['A3', 'E-4', 'G4', 'C5']
7.75	3	2.75	0.0625	0.25	['A3', 'E-4', 'G4', 'C5', 'D5']
8.0	3	3.0	0.5	1.0	['G3', 'C4', 'E-4', 'B-4', 'C5']
9.0	3	4.0	0.25	0.5	['G3', 'C4', 'E-4', 'B-4']
9.5	3	4.5	0.125	0.5	['G3', 'C4', 'E-4', 'B-4', 'C5']
10.0	4	1.0	1.0	0.75	['F3', 'C4', 'E-4', 'F4', 'A4']
10.75	4	1.75	0.0625	0.25	['F3', 'C4', 'E-4', 'F4', 'A4']
11.0	4	2.0	0.25	0.5	['F3', 'C4', 'E-4', 'G4', 'A4']
11.5	4	2.5	0.125	0.5	['F3', 'C4', 'E-4', 'F4', 'A4']
12.0	4	3.0	0.5	0.5	['E-3', 'A3', 'C4', 'G4', 'C5']
12.5	4	3.5	0.125	1.0	['E-3', 'A3', 'C4', 'G4']
13.5	4	4.5	0.125	0.5	['E-3', 'A3', 'C4', 'G4']
14.0	5	1.0	1.0	0.5	['D3', 'A3', 'C4', 'F4', 'G4']
14.5	5	1.5	0.125	0.5	['D3', 'A3', 'C4', 'F4', 'G4']
15.0	5	2.0	0.25	0.75	['D3', 'A3', 'C4', 'F4', 'A4']
15.75	5	2.75	0.0625	0.25	['D3', 'A3', 'C4', 'F4', 'B-4']
16.0	5	3.0	0.5	2.0	['C3', 'F3', 'A3', 'E-4', 'C5']
18.0	6	1.0	1.0	0.75	['B-2', 'E-3', 'G3', 'B-3', 'E-4', 'G4']
18.75	6	1.75	0.0625	0.25	['B-2', 'E-3', 'G3', 'B-3', 'E-4', 'F4', 'G4']
19.0	6	2.0	0.25	0.5	['B-2', 'E-3', 'G3', 'B-3', 'E-4', 'G4']
19.5	6	2.5	0.125	0.5	['B-2', 'E-3', 'G3', 'B-3', 'E-4', 'G4']
20.0	6	3.0	0.5	0.5	['G2', 'D3', 'G3', 'B-3', 'D4', 'G4', 'B-4']
20.5	6	3.5	0.125	1.0	['G2', 'D3', 'G3', 'B-3', 'D4', 'G4', 'B-4']
21.5	6	4.5	0.125	0.5	['G2', 'D3', 'G3', 'B-3', 'D4', 'G4', 'B-4']
22.0	7	1.0	1.0	0.5	['B-2', 'E-3', 'G3', 'B-3', 'E-4', 'G4']
22.5	7	1.5	0.125	0.5	['B-2', 'E-3', 'G3', 'B-3', 'E-4', 'F4', 'G4']
23.0	7	2.0	0.25	0.5	['B-2', 'E-3', 'G3', 'B-3', 'E-4', 'G4']
23.5	7	2.5	0.125	0.5	['B-2', 'E-3', 'G3', 'B-3', 'E-4', 'G4']
24.0	7	3.0	0.5	1.0	['F2', 'C3', 'F3', 'A3', 'C4', 'F4', 'A4']
25.0	7	4.0	0.25	0.5	['F2', 'C3', 'F3', 'A3', 'C4', 'F4', 'A4']
25.5	7	4.5	0.125	0.5	['F2', 'C3', 'F3', 'A3', 'C4', 'F4', 'A4']
26.0	8	1.0	1.0	0.75	['E-3', 'G3', 'B-3', 'E-4', 'G4', 'B-4']
26.75	8	1.75	0.0625	0.25	['E-3', 'G3', 'B-3', 'E-4', 'G4', 'A4', 'B-4']
27.0	8	2.0	0.25	0.5	['E-3', 'G3', 'B-3', 'E-4', 'G4', 'B-4']
27.5	8	2.5	0.125	0.5	['E-3', 'G3', 'B-3', 'E-4', 'G4', 'B-4']
28.0	8	3.0	0.5	1.0	['D3', 'A3', 'D4', 'F4', 'A4', 'D5']
29.0	8	4.0	0.25	0.5	['D3', 'A3', 'D4', 'F4', 'A4', 'D5']
29.5	8	4.5	0.125	0.5	['A4']
30.0	9	1.0	1.0	0.75	['C3', 'E-3', 'G3', 'C4', 'E-4', 'G4']
