0.0	1	1	1.0	4.5	[]
4.5	1	4	0.25	0.5	['D4']
5.0	1	4.33	0.125	0.5	['F4']
5.5	1	4.67	0.125	0.5	['G4']
6.0	2	1	1.0	1.0	['D4', 'F4', 'A4']
7.0	2	1.67	0.125	0.5	['D4', 'F4', 'A4']
7.5	2	2	0.25	1.0	['G3', 'D4', 'E4', 'G4']
8.5	2	2.67	0.125	0.5	['G3', 'D4', 'E4', 'F4', 'G4']
9.0	2	3	0.5	1.0	['D3', 'A3', 'D4', 'F4', 'A4']
10.0	2	3.67	0.125	0.5	['D3', 'A3', 'D4', 'F4', 'A4']
10.5	2	4	0.25	0.5	['D4']
11.0	2	4.33	0.125	0.5	['F4']
11.5	2	4.67	0.125	0.5	['G4']
12.0	3	1	1.0	1.0	['C4', 'D4', 'F4', 'A4']
13.0	3	1.67	0.125	0.5	['C4', 'D4', 'F4', 'A4']
13.5	3	2	0.25	1.0	['C3', 'B-3', 'E4', 'G4']
14.5	3	2.67	0.125	0.5	['C3', 'B-3', 'E4', 'F4', 'G4']
15.0	3	3	0.5	1.5	['F3', 'A3', 'C4', 'F4', 'A4']
16.5	3	4	0.25	0.5	['F4']
17.0	3	4.33	0.125	0.5	['A4']
17.5	3	4.67	0.125	0.5	['B-4']
18.0	4	1	1.0	1.0	['E-4', 'F4', 'C5']
19.0	4	1.67	0.125	0.5	['E-4', 'F4', 'C5']
19.5	4	2	0.25	1.0	['D4', 'F4', 'B-4']
20.5	4	2.67	0.125	0.5	['D4', 'F4', 'B-4']
21.0	4	3	0.5	1.0	['C#4', 'E4', 'G4']
22.0	4	3.67	0.125	0.5	['C#4', 'E4', 'G4']
22.5	4	4	0.25	0.5	['C4', 'E4', 'A4']
23.0	4	4.33	0.125	0.5	['C4', 'E4', 'A4']
23.5	4	4.67	0.125	0.5	['C4', 'E4', 'A4']
24.0	5	1	1.0	1.0	['B3', 'D4', 'F4']
25.0	5	1.67	0.125	0.5	['B3', 'D4', 'F4']
25.5	5	2	0.25	1.0	['B-3', 'D4', 'G4']
26.5	5	2.67	0.125	0.5	['B-3', 'D4', 'G4']
27.0	5	3	0.5	1.5	['A3', 'C#4', 'E4']
28.5	5	4	0.25	0.5	['D3', 'F#3', 'A3', 'D4']
29.0	5	4.33	0.125	0.5	['D3', 'F#3', 'A3', 'D4', 'F#4']
29.5	5	4.67	0.125	0.5	['D3', 'F#3', 'A3', 'D4', 'A4']
30.0	6	1	1.0	1.0	['G2', 'D3', 'G3', 'B-3', 'D4', 'G4']
31.0	6	1.67	0.125	0.5	['G2', 'D3', 'G3', 'B-3', 'D4', 'G4']
31.5	6	2	0.25	1.0	['A2', 'C#3', 'E3', 'A3', 'E4']
32.5	6	2.67	0.125	0.5	['A2', 'C#3', 'E3', 'A3', 'E4']
33.0	6	3	0.5	1.0	['D1', 'D2', 'A2', 'D3', 'F3', 'A3', 'D4']
34.0	6	3.67	0.125	0.5	['D1', 'D2', 'A2', 'D3', 'F3', 'A3']
34.5	6	4	0.25	0.5	['D4']
35.0	6	4.33	0.125	0.5	['F4']
35.5	6	4.67	0.125	0.5	['G4']
36.0	7	1	1.0	1.0	['D4', 'F4', 'A4']
37.0	7	1.67	0.125	0.5	['D4', 'F4', 'A4']
37.5	7	2	0.25	1.0	['G3', 'D4', 'E4', 'G4']
38.5	7	2.67	0.125	0.5	['G3', 'D4', 'E4', 'F4', 'G4']
39.0	7	3	0.5	1.0	['D3', 'A3', 'D4', 'F4', 'A4']
40.0	7	3.67	0.125	0.5	['D3', 'A3', 'D4', 'F4', 'A4']
40.5	7	4	0.25	0.5	['D4']
41.0	7	4.33	0.125	0.5	['F4']
41.5	7	4.67	0.125	0.5	['G4']
42.0	8	1	1.0	1.0	['C4', 'D4', 'F4', 'A4']
43.0	8	1.67	0.125	0.5	['C4', 'D4', 'F4', 'A4']
43.5	8	2	0.25	1.0	['C3', 'B-3', 'E4', 'G4']
44.5	8	2.67	0.125	0.5	['C3', 'B-3', 'E4', 'F4', 'G4']
45.0	8	3	0.5	1.5	['F3', 'A3', 'C4', 'F4', 'A4']
46.5	8	4	0.25	0.5	['F4']
47.0	8	4.33	0.125	0.5	['A4']
47.5	8	4.67	0.125	0.5	['B-4']
48.0	9	1	1.0	1.0	['E-4', 'F4', 'C5']
49.0	9	1.67	0.125	0.5	['E-4', 'F4', 'C5']
49.5	9	2	0.25	1.0	['D4', 'F4', 'B-4']
50.5	9	2.67	0.125	0.5	['D4', 'F4', 'B-4']
51.0	9	3	0.5	1.0	['C#4', 'E4', 'G4']
52.0	9	3.67	0.125	0.5	['C#4', 'E4', 'G4']
52.5	9	4	0.25	0.5	['C4', 'E4', 'A4']
53.0	9	4.33	0.125	0.5	['C4', 'E4', 'A4']
53.5	9	4.67	0.125	0.5	['C4', 'E4', 'A4']
54.0	10	1	1.0	1.0	['B3', 'D4', 'F4']
55.0	10	1.67	0.125	0.5	['B3', 'D4', 'F4']
55.5	10	2	0.25	1.0	['B-3', 'D4', 'G4']
56.5	10	2.67	0.125	0.5	['B-3', 'D4', 'G4']
57.0	10	3	0.5	1.5	['A3', 'C#4', 'E4']
58.5	10	4	0.25	0.5	['D3', 'F#3', 'A3', 'D4']
59.0	10	4.33	0.125	0.5	['D3', 'F#3', 'A3', 'D4', 'F#4']
59.5	10	4.67	0.125	0.5	['D3', 'F#3', 'A3', 'D4', 'A4']
60.0	11	1	1.0	1.0	['G2', 'D3', 'G3', 'B-3', 'D4', 'G4']
61.0	11	1.67	0.125	0.5	['G2', 'D3', 'G3', 'B-3', 'D4', 'G4']
61.5	11	2	0.25	1.0	['A2', 'C#3', 'E3', 'A3', 'E4']
62.5	11	2.67	0.125	0.5	['A2', 'C#3', 'E3', 'A3', 'E4']
63.0	11	3	0.5	1.5	['D1', 'D2', 'A2', 'D3', 'F3', 'A3', 'D4']
64.5	11	4	0.25	0.5	['D1', 'D2', 'A2', 'D3', 'F3', 'A3', 'D4']
65.0	11	4.33	0.125	0.5	['A4']
65.5	11	4.67	0.125	0.5	['A4']
66.0	12	1	1.0	1.5	['D2', 'A2', 'F#3', 'A3', 'D4', 'A4', 'D5']
67.5	12	2	0.25	1.0	['D2', 'A2', 'F#3', 'A3', 'D4', 'A4', 'D5']
68.5	12	2.67	0.125	0.5	['D2', 'A2', 'F#3', 'A3', 'D4', 'A4']
69.0	12	3	0.5	0.5	['B3', 'D4', 'F#4', 'B4']
69.5	12	3.33	0.125	0.5	['B3', 'D4', 'F#4', 'B4']
70.0	12	3.67	0.125	0.5	['B3', 'D4', 'F#4', 'B4', 'D5']
70.5	12	4	0.25	1.0	['F#3', 'C#4', 'F#4', 'A4', 'C#5']
71.5	12	4.67	0.125	0.5	['F#3', 'C#4', 'F#4', 'A4']
72.0	13	1	1.0	1.5	['E2', 'E3', 'B3', 'E4', 'G#4', 'B4']
73.5	13	2	0.25	1.5	['A1', 'A2', 'C#4', 'E4', 'A4']
75.0	13	3	0.5	0.5	['A4']
75.5	13	3.33	0.125	0.5	['A4']
76.0	13	3.67	0.125	0.5	['F#4']
76.5	13	4	0.25	0.5	['B3', 'D4', 'F#4']
77.0	13	4.33	0.125	0.5	['B3', 'D4', 'F#4', 'B4']
77.5	13	4.67	0.125	0.5	['B3', 'D4', 'F#4']
78.0	14	1	1.0	1.5	['A1', 'A2', 'A3', 'C#4', 'F#4', 'A4']
