Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.25	['B1', 'F#4']
0.25	1	1.25	0.125	0.25	['B1', 'B3', 'D4', 'F#4']
0.5	1	1.5	0.25	0.25	['F#2', 'F#4']
0.75	1	1.75	0.125	0.25	['F#2', 'F#3', 'F#4']
1.0	1	2.0	0.5	0.25	['D3', 'F#4']
1.25	1	2.25	0.125	0.25	['D3', 'B3', 'D4', 'F#4']
1.5	1	2.5	0.25	0.25	['G2', 'F#4']
1.75	1	2.75	0.125	0.25	['G2', 'F#3', 'F#4']
2.0	1	3.0	0.5	0.25	['F#2', 'F#4']
2.25	1	3.25	0.125	0.25	['F#2', 'B3', 'D4', 'F#4']
2.5	1	3.5	0.25	0.25	['D2', 'F#4']
2.75	1	3.75	0.125	0.25	['D2', 'F#3', 'F#4']
3.0	2	1.0	1.0	0.25	['B1', 'F#4']
3.25	2	1.25	0.125	0.25	['B1', 'B3', 'D4', 'F#4']
3.5	2	1.5	0.25	0.25	['F#2', 'F#4']
3.75	2	1.75	0.125	0.25	['F#2', 'F#3', 'F#4']
4.0	2	2.0	0.5	0.25	['D3', 'F#4']
4.25	2	2.25	0.125	0.25	['D3', 'B3', 'D4', 'F#4']
4.5	2	2.5	0.25	0.25	['G2', 'F#4']
4.75	2	2.75	0.125	0.25	['G2', 'F#3', 'F#4']
5.0	2	3.0	0.5	0.25	['F#2', 'F#4']
5.25	2	3.25	0.125	0.25	['F#2', 'B3', 'D4', 'F#4']
5.5	2	3.5	0.25	0.25	['D2', 'F#4']
5.75	2	3.75	0.125	0.25	['D2', 'F#3', 'F#4']
6.0	3	1.0	1.0	0.25	['B1', 'G4']
6.25	3	1.25	0.125	0.25	['B1', 'C4', 'E4', 'G4']
6.5	3	1.5	0.25	0.25	['G2', 'G4']
6.75	3	1.75	0.125	0.25	['G2', 'G3', 'G4']
7.0	3	2.0	0.5	0.25	['E3', 'G4']
7.25	3	2.25	0.125	0.25	['E3', 'C4', 'E4', 'G4']
7.5	3	2.5	0.25	0.25	['B-2', 'G4']
7.75	3	2.75	0.125	0.25	['B-2', 'G3', 'G4']
8.0	3	3.0	0.5	0.25	['G2', 'G4']
8.25	3	3.25	0.125	0.25	['G2', 'C4', 'E4', 'G4']
8.5	3	3.5	0.25	0.25	['E2', 'G4']
8.75	3	3.75	0.125	0.25	['E2', 'G3', 'G4']
9.0	4	1.0	1.0	0.25	['B1', 'E4']
9.25	4	1.25	0.125	0.25	['B1', 'A#3', 'C4', 'E4']
9.5	4	1.5	0.25	0.25	['G2', 'E4']
9.75	4	1.75	0.125	0.25	['G2', 'E3', 'E4']
10.0	4	2.0	0.5	0.25	['D3', 'E4']
10.25	4	2.25	0.125	0.25	['D3', 'A#3', 'C4', 'E4']
10.5	4	2.5	0.25	0.25	['C3', 'E4']
