0.0	1	1	1.0	1.0	['G2', 'D3', 'G3', 'B3', 'D4', 'G4', 'B4']	G	I
1.0	1	2	0.5	1.0	['G2', 'D3', 'G3', 'B3', 'D4', 'G4', 'A4']		
2.0	1	3	0.5	1.0	['G2', 'D3', 'G3', 'B3', 'D4', 'G4']		
3.0	2	1	1.0	1.0	['E-2', 'C3', 'E-3', 'C4', 'E-4', 'G4']	G	iv6
4.0	2	2	0.5	1.0	['E-2', 'C3', 'E-3', 'C4', 'E-4', 'A4']		
5.0	2	3	0.5	1.0	['E-2', 'C3', 'E-3', 'C4', 'E-4', 'B4']		
6.0	3	1	1.0	1.0	['D2', 'D3', 'B3', 'D4', 'G4', 'B4']	G	I64
7.0	3	2	0.5	1.0	['D2', 'D3', 'B3', 'D4', 'G4', 'A4']		
8.0	3	3	0.5	1.0	['D2', 'D3', 'B3', 'D4', 'G4']		
9.0	4	1	1.0	1.0	['C2', 'G2', 'C3', 'C4', 'E-4', 'G4']	G	iv
10.0	4	2	0.5	1.0	['C2', 'G2', 'C3', 'C4', 'E-4', 'A4']		
11.0	4	3	0.5	1.0	['C2', 'G2', 'C3', 'C4', 'E-4', 'B4']		
12.0	5	1	1.0	1.0	['G1', 'G2', 'D4', 'G4', 'B4']	G	I
13.0	5	2	0.5	1.0	['F#4', 'A4', 'C5']	G	viio
14.0	5	3	0.5	1.0	['F4', 'G#4', 'B4', 'D5']	G	viio7/ii
15.0	6	1	1.0	1.0	['C3', 'G#3', 'E4', 'G#4', 'E5']	G	ii
16.0	6	2	0.5	1.0	['C3', 'A3', 'E4', 'A4', 'E5']		
17.0	6	3	0.5	1.0	['C3', 'B3', 'E4', 'B4']		
18.0	7	1	1.0	1.0	['C3', 'B3', 'C4', 'E4', 'B4']	G	ii
19.0	7	2	0.5	1.0	['C3', 'A3', 'C4', 'E4', 'A4']		
20.0	7	3	0.5	1.0	['B2', 'A3', 'C4', 'E4', 'A4']		
21.0	8	1	1.0	1.0	['A2', 'E3', 'F4', 'G#4', 'B4', 'D5']	G	viio7/ii
22.0	8	2	0.5	1.0	['A2', 'E3', 'E4', 'A4', 'C5']	G	ii
23.0	8	3	0.5	1.0	['G2', 'E3', 'E4', 'B4']	G	vi6
24.0	9	1	1.0	1.5	['F#2', 'C3', 'E3', 'C4', 'E4', 'A4', 'C5']	e	iiø7
25.5	9	2.5	0.25	0.5	['F#2', 'C3', 'E3', 'B4', 'C5']		
26.0	9	3	0.5	1.0	['F#2', 'C3', 'E3', 'E4', 'A4', 'C5']		
27.0	10	1	1.0	1.0	['B1', 'B2', 'D#4', 'G4', 'B4', 'D#5', 'G5']	e	V6-5
28.0	10	2	0.5	0.5	['D#4', 'F#4', 'B4', 'D#5', 'F#5']		
28.5	10	2.5	0.25	0.5	['D#4', 'D#5']		
29.0	10	3	0.5	0.5	['F#3', 'A3', 'D#4', 'B4']	e	V43
29.5	10	3.5	0.25	0.5	['F#3', 'A3', 'D#4', 'A4']		
30.0	11	1	1.0	1.0	['B2', 'G3', 'B3', 'E4', 'G4', 'E5']	e	Cad64
31.0	11	2	0.5	1.0	['B2', 'G3', 'B3', 'F#4', 'A4', 'E5']		
32.0	11	3	0.5	1.0	['B2', 'G3', 'B3', 'G4', 'B4', 'E5']		
33.0	12	1	1.0	1.5	['A2', 'E3', 'A3', 'E4', 'G4', 'C5']	e	iv7
34.5	12	2.5	0.25	0.5	['A2', 'E3', 'A3', 'D4', 'F#4', 'C5']		
35.0	12	3	0.5	1.0	['A2', 'E3', 'A3', 'C4', 'E4', 'C5']		
36.0	13	1	1.0	1.0	['G2', 'E3', 'B3', 'E4', 'G4', 'E5']	b	iv6
37.0	13	2	0.5	1.0	['G2', 'E3', 'B3', 'F#4', 'A4', 'E5']		
38.0	13	3	0.5	1.0	['G2', 'E3', 'B3', 'G4', 'B4', 'E5']		
