key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
Ab	[9.5, 3.0, 1.0, 15.5, 0.0, 3.0, 0.0, 4.0, 28.5, 0.0, 3.5, 1.0]	0.0	15.0	15.0	1	10	9
f	[8.5, 1.5, 0.0, 0.0, 3.0, 13.5, 0.0, 2.0, 5.0, 0.0, 2.5, 0.0]	15.0	22.5	7.5	11	15	4
Eb	[1.5, 0.0, 0.5, 10.0, 0.0, 2.0, 0.0, 2.75, 2.0, 0.0, 3.5, 0.0]	22.5	27.0	4.5	16	18	2
Db	[1.25, 3.25, 0.0, 4.5, 0.0, 1.75, 2.75, 0.0, 4.25, 0.0, 2.75, 0.0]	27.0	31.5	4.5	19	21	2
bb	[4.25, 4.25, 0.0, 3.25, 0.0, 6.25, 1.25, 0.0, 0.25, 3.25, 5.25, 0.25]	31.5	37.5	6.0	22	25	3
f	[5.0, 0.0, 0.0, 0.0, 1.5, 2.0, 0.0, 1.0, 4.5, 0.0, 0.0, 0.0]	37.5	40.5	3.0	26	27	1
bb	[1.5, 3.0, 0.0, 1.0, 0.0, 5.5, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0]	40.5	44.0	3.5	28	30	2
Ab	[14.0, 9.0, 3.5, 34.5, 4.5, 6.75, 0.0, 10.25, 52.0, 0.0, 6.25, 6.75]	44.0	75.0	31.0	30	50	20
f	[7.5, 1.5, 0.0, 0.0, 3.0, 13.5, 0.0, 2.0, 5.0, 0.0, 2.5, 0.0]	75.0	82.5	7.5	51	55	4
Eb	[1.5, 0.0, 0.5, 10.0, 0.0, 2.0, 0.0, 2.0, 1.25, 0.0, 4.25, 0.0]	82.5	87.0	4.5	56	58	2
Db	[1.25, 3.75, 0.0, 4.5, 0.0, 1.75, 2.75, 0.0, 4.25, 0.0, 2.75, 0.0]	87.0	91.5	4.5	59	61	2
bb	[4.25, 4.25, 0.0, 2.75, 0.0, 6.25, 1.25, 0.0, 0.25, 3.0, 5.25, 0.25]	91.5	97.5	6.0	62	65	3
f	[5.0, 0.0, 0.0, 0.0, 1.5, 2.0, 0.0, 1.0, 4.5, 0.0, 0.0, 0.0]	97.5	100.5	3.0	66	67	1
bb	[1.5, 3.0, 0.0, 1.0, 0.0, 5.5, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0]	100.5	104.0	3.5	68	70	2
Ab	[14.5, 9.5, 3.0, 35.0, 4.0, 6.5, 0.0, 10.75, 51.0, 0.0, 7.25, 6.75]	104.0	135.0	31.0	70	90	20
f	[8.5, 1.5, 0.0, 0.0, 3.0, 13.5, 0.0, 2.0, 5.0, 0.0, 2.5, 0.0]	135.0	142.5	7.5	91	95	4
Eb	[1.5, 0.0, 0.5, 10.0, 0.0, 2.0, 0.0, 2.75, 1.5, 0.0, 4.0, 0.0]	142.5	147.0	4.5	96	98	2
Db	[1.25, 3.25, 0.0, 4.5, 0.0, 1.75, 2.75, 0.0, 4.25, 0.0, 2.75, 0.0]	147.0	151.5	4.5	99	101	2
bb	[4.25, 4.25, 0.0, 2.75, 0.0, 6.25, 1.25, 0.0, 0.25, 3.0, 5.25, 0.25]	151.5	157.5	6.0	102	105	3
f	[5.0, 0.0, 0.0, 0.0, 1.5, 2.0, 0.0, 1.0, 4.5, 0.0, 0.0, 0.0]	157.5	160.5	3.0	106	107	1
bb	[1.5, 3.0, 0.0, 1.0, 0.0, 5.5, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0]	160.5	164.0	3.5	108	110	2
Ab	[19.0, 5.0, 2.0, 41.75, 0.0, 9.0, 1.5, 7.0, 40.5, 1.5, 6.5, 2.0]	164.0	186.5	22.5	110	125	15
