Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.17	['A-3']
0.17	1	1.17	0.0625	0.17	['A-3', 'C4']
0.33	1	1.33	0.0625	0.17	['A-3', 'C4', 'C5']
0.5	1	1.5	0.25	0.17	['A-3', 'C4', 'A-4']
0.67	1	1.67	0.0625	0.17	['A-3', 'C4', 'E-4']
0.83	1	1.83	0.0625	0.17	['A-3', 'C4']
1.0	1	2.0	0.5	0.17	['F3']
1.17	1	2.17	0.0625	0.17	['F3', 'C4']
1.33	1	2.33	0.0625	0.17	['F3', 'C4', 'C5']
1.5	1	2.5	0.25	0.17	['F3', 'C4', 'A-4']
1.67	1	2.67	0.0625	0.17	['F3', 'C4', 'E-4']
1.83	1	2.83	0.0625	0.17	['F3', 'C4']
2.0	2	1.0	1.0	0.17	['E-3']
2.17	2	1.17	0.0625	0.17	['E-3', 'C4']
2.33	2	1.33	0.0625	0.17	['E-3', 'C4', 'C5']
2.5	2	1.5	0.25	0.17	['E-3', 'C4', 'A-4']
2.67	2	1.67	0.0625	0.17	['E-3', 'C4', 'E-4']
2.83	2	1.83	0.0625	0.17	['E-3', 'C4']
3.0	2	2.0	0.5	0.17	['C3']
3.17	2	2.17	0.0625	0.17	['C3', 'C4']
3.33	2	2.33	0.0625	0.17	['C3', 'C4', 'C5']
3.5	2	2.5	0.25	0.17	['C3', 'C4', 'E-4', 'A-4']
3.67	2	2.67	0.0625	0.17	['C3', 'C4', 'E-4']
3.83	2	2.83	0.0625	0.17	['C3', 'C4', 'E-4']
4.0	3	1.0	1.0	0.17	['A-2', 'F4']
4.17	3	1.17	0.0625	0.17	['A-2', 'C4', 'F4']
4.33	3	1.33	0.0625	0.17	['A-2', 'C4', 'F4', 'C5']
4.5	3	1.5	0.25	0.17	['A-2', 'C4', 'F4', 'A-4']
4.67	3	1.67	0.0625	0.17	['A-2', 'C4', 'F4']
4.83	3	1.83	0.0625	0.17	['A-2', 'C4', 'F4']
5.0	3	2.0	0.5	0.17	['F2', 'F3', 'F4']
5.17	3	2.17	0.0625	0.17	['F2', 'F3', 'C4', 'F4']
5.33	3	2.33	0.0625	0.17	['F2', 'F3', 'C4', 'F4', 'C5']
5.5	3	2.5	0.25	0.17	['F2', 'F3', 'C4', 'A-4']
5.67	3	2.67	0.0625	0.17	['F2', 'F3', 'C4', 'F4', 'A-4']
5.83	3	2.83	0.0625	0.17	['F2', 'F3', 'C4', 'A-4']
6.0	4	1.0	1.0	0.17	['E-2', 'E-3', 'C5']
6.17	4	1.17	0.0625	0.17	['E-2', 'E-3', 'C4', 'C5']
6.33	4	1.33	0.0625	0.17	['E-2', 'E-3', 'C4', 'C5']
6.5	4	1.5	0.25	0.17	['E-2', 'E-3', 'C4', 'A-4', 'C5']
6.67	4	1.67	0.0625	0.17	['E-2', 'E-3', 'C4', 'E-4', 'C5']
6.83	4	1.83	0.0625	0.17	['E-2', 'E-3', 'C4', 'C5']
7.0	4	2.0	0.5	0.17	['C2', 'C3', 'A-4']
7.17	4	2.17	0.0625	0.17	['C2', 'C3', 'C4', 'A-4']
7.33	4	2.33	0.0625	0.17	['C2', 'C3', 'C4', 'A-4', 'C5']
7.5	4	2.5	0.25	0.17	['C2', 'C3', 'C4', 'A-4']
7.67	4	2.67	0.0625	0.08	['C2', 'C3', 'C4', 'E-4']
7.75	4	2.75	0.125	0.08	['C2', 'C3', 'C4', 'E-4', 'A-4']
7.83	4	2.83	0.0625	0.17	['C2', 'C3', 'C4', 'A-4']
8.0	5	1.0	1.0	0.17	['A-1', 'A-2', 'F5']
8.17	5	1.17	0.0625	0.17	['A-1', 'A-2', 'C4', 'F5']
8.33	5	1.33	0.0625	0.17	['A-1', 'A-2', 'C4', 'C5', 'F5']
8.5	5	1.5	0.25	0.17	['A-1', 'A-2', 'C4', 'A-4', 'F5']
8.67	5	1.67	0.0625	0.17	['A-1', 'A-2', 'C4', 'F4', 'F5']
8.83	5	1.83	0.0625	0.17	['A-1', 'A-2', 'C4', 'F5']
9.0	5	2.0	0.5	0.17	['G1', 'G2', 'E-5']
9.17	5	2.17	0.0625	0.17	['G1', 'G2', 'C4', 'E-5']
9.33	5	2.33	0.0625	0.17	['G1', 'G2', 'C4', 'C5', 'E-5']
9.5	5	2.5	0.25	0.17	['G1', 'G2', 'C4', 'G4', 'E-5']
9.67	5	2.67	0.0625	0.17	['G1', 'G2', 'C4', 'E-4', 'E-5']
9.83	5	2.83	0.0625	0.17	['G1', 'G2', 'C4', 'E-5']
10.0	6	1.0	1.0	0.17	['F1', 'F2', 'D5']
10.17	6	1.17	0.0625	0.17	['F1', 'F2', 'D4', 'D5']
10.33	6	1.33	0.0625	0.17	['F1', 'F2', 'D4', 'C5', 'D5']
10.5	6	1.5	0.25	0.17	['F1', 'F2', 'D4', 'A-4', 'D5']
10.67	6	1.67	0.0625	0.17	['F1', 'F2', 'D4', 'F4', 'D5']
10.83	6	1.83	0.0625	0.17	['F1', 'F2', 'D4', 'D5']
11.0	6	2.0	0.5	0.17	['A-1', 'A-2']
11.17	6	2.17	0.0625	0.17	['A-1', 'A-2', 'D4']
11.33	6	2.33	0.0625	0.17	['A-1', 'A-2', 'D4', 'C5']
