Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	3.0	0.5	0.5	['G3', 'D4', 'G4', 'B-4']
0.5	0	3.5	0.25	0.25	['G3', 'D4', 'G4', 'B-4']
0.75	0	3.75	0.125	0.25	['G3', 'D4', 'G4', 'A4', 'C5']
1.0	1	1.0	1.0	0.5	['G3', 'D4', 'G4', 'B-4', 'D5']
1.5	1	1.5	0.25	0.5	['G3', 'D4', 'G4', 'B-4', 'D5']
2.0	1	2.0	0.5	0.5	['G3', 'D4', 'G4', 'B-4', 'D5']
2.5	1	2.5	0.25	0.5	['G3', 'D4', 'G4', 'B-4', 'D5']
3.0	1	3.0	0.5	0.25	['G3', 'D4', 'G4', 'B-4']
3.25	1	3.25	0.125	0.25	['G3', 'D4', 'G4', 'A4', 'C5']
3.5	1	3.5	0.25	0.25	['G3', 'D4', 'G4', 'A4', 'C5']
3.75	1	3.75	0.125	0.25	['G3', 'D4', 'G4', 'B-4', 'D5']
4.0	2	1.0	1.0	0.5	['G3', 'D4', 'G4', 'B-4', 'D5']
4.5	2	1.5	0.25	0.5	['G3', 'D4', 'G4', 'B-4', 'D5']
5.0	2	2.0	0.5	0.5	['G3', 'D4', 'G4', 'B-4', 'D5']
5.5	2	2.5	0.25	0.5	['G3', 'D4', 'G4', 'B-4', 'D5']
6.0	2	3.0	0.5	0.75	['D3', 'C4', 'F#4', 'D5']
6.75	2	3.75	0.125	0.25	['D3', 'C4', 'F#4', 'D5']
7.0	3	1.0	1.0	0.5	['G2', 'B-3', 'G4', 'D5', 'G5']
7.5	3	1.5	0.25	0.5	['G2', 'E-4', 'C5', 'D5', 'G5']
8.0	3	2.0	0.5	0.5	['G2', 'D4', 'B-4', 'D5']
8.5	3	2.5	0.25	0.5	['G2', 'C4', 'A4', 'D5']
9.0	3	3.0	0.5	0.5	['G2', 'B-3', 'G4', 'B-4', 'D5']
9.5	3	3.5	0.25	0.5	['G2', 'C4', 'A4', 'C5', 'D5']
10.0	4	1.0	1.0	0.5	['G3', 'D4', 'B-4', 'D5']
10.5	4	1.5	0.25	0.5	['G3', 'E-4', 'C5', 'D5']
11.0	4	2.0	0.5	0.5	['G3', 'D4', 'B-4', 'D5']
11.5	4	2.5	0.25	0.5	['G3', 'C4', 'A4', 'D5']
12.0	4	3.0	0.5	0.5	['G3', 'B-3', 'G4', 'B-4', 'D5']
12.5	4	3.5	0.25	0.5	['G3', 'D4', 'B-4', 'D5']
13.0	5	1.0	1.0	0.5	['E-3', 'B-3', 'E-4', 'G4', 'E-5']
13.5	5	1.5	0.25	0.5	['E-3', 'A3', 'E-4', 'F#4', 'E-5']
14.0	5	2.0	0.5	0.5	['E-3', 'B-3', 'E-4', 'G4', 'E-5']
14.5	5	2.5	0.25	0.5	['E-3', 'D-4', 'E-4', 'B-4', 'E-5']
15.0	5	3.0	0.5	0.5	['E-3', 'C4', 'E-4', 'A-4', 'C5']
15.5	5	3.5	0.25	0.5	['E-3', 'A-3', 'E-4', 'F4', 'E-5']
16.0	6	1.0	1.0	0.5	['E-3', 'B-3', 'E-4', 'G4', 'B-4']
16.5	6	1.5	0.25	0.25	['E-3', 'C4', 'E-4', 'A-4', 'B-4']
16.75	6	1.75	0.125	0.25	['E-3', 'C4', 'E-4', 'A-4', 'C5']
17.0	6	2.0	0.5	0.5	['E-3', 'B-3', 'E-4', 'G4', 'B-4']
17.5	6	2.5	0.25	0.5	['E-3', 'D-4', 'E-4', 'B-4']
18.0	6	3.0	0.5	0.5	['E-3', 'C4', 'E-4', 'A-4']
18.5	6	3.5	0.25	0.5	['E-3', 'B-3', 'E-4', 'G4']
19.0	7	1.0	1.0	0.5	['C4', 'G4', 'A4']
19.5	7	1.5	0.25	0.5	['C4', 'G4', 'B-4']
