Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.5	['F1', 'C2', 'A3']
1.5	1	2.5	0.125	1.5	['F2', 'F3']
3.0	1	4.0	0.25	0.5	['F1', 'C2', 'F2', 'F3', 'A3']
3.5	1	4.5	0.125	0.12	['A3']
3.62	1	4.62	0.0625	0.12	['F3']
3.75	1	4.75	0.0625	0.12	['A3']
3.88	1	4.88	0.0625	0.12	['C4']
4.0	2	1.0	1.0	0.5	['F1', 'F2', 'F3', 'A3', 'F4']
4.5	2	1.5	0.125	0.25	['F1', 'F2', 'F3', 'A3', 'F4', 'A4']
4.75	2	1.75	0.0625	0.25	['F1', 'F2', 'F3', 'A3', 'F4', 'C5']
5.0	2	2.0	0.25	1.0	['C5']
6.0	2	3.0	0.5	0.5	['G1', 'G2', 'E3', 'B-3', 'D4', 'C5']
6.5	2	3.5	0.125	0.5	['G1', 'G2', 'E3', 'B-3', 'D4', 'D5']
7.0	2	4.0	0.25	0.25	['B-4']
7.25	2	4.25	0.0625	0.25	['A4']
7.5	2	4.5	0.125	0.5	['G4']
8.0	3	1.0	1.0	0.5	['G2', 'G3', 'B-3', 'D4', 'E4', 'G4']
8.5	3	1.5	0.125	0.25	['G2', 'G3', 'B-3', 'D4', 'E4', 'G4']
8.75	3	1.75	0.0625	0.25	['G2', 'G3', 'B-3', 'D4', 'E4', 'B-4']
9.0	3	2.0	0.25	1.0	['B-4']
10.0	3	3.0	0.5	0.5	['E1', 'E2', 'G3', 'B-3', 'D4', 'B-4']
10.5	3	3.5	0.125	0.5	['C5']
11.0	3	4.0	0.25	0.25	['F1', 'F2', 'A3', 'D4', 'A4']
11.25	3	4.25	0.0625	0.25	['F1', 'F2', 'A3', 'D4', 'G4']
11.5	3	4.5	0.125	0.5	['F1', 'F2', 'A3', 'D4', 'F4']
12.0	4	1.0	1.0	0.5	['G1', 'G2', 'E-3', 'B-3', 'E-4']
12.5	4	1.5	0.125	0.25	['G1', 'G2', 'E-3', 'B-3', 'E-4', 'G4']
12.75	4	1.75	0.0625	0.25	['G1', 'G2', 'E-3', 'B-3', 'E-4', 'B-4']
13.0	4	2.0	0.25	0.5	['B-4']
13.5	4	2.5	0.125	0.5	['E-3', 'E-4', 'B-4']
14.0	4	3.0	0.5	0.5	['G3', 'E-4', 'B-4']
14.5	4	3.5	0.125	0.5	['G3', 'A3', 'G4', 'C5']
15.0	4	4.0	0.25	0.25	['F#3', 'A3', 'D4', 'D5']
15.25	4	4.25	0.0625	0.25	['F#3', 'A3', 'D4', 'C5']
15.5	4	4.5	0.125	0.5	['G3', 'D4', 'B-4']
16.0	5	1.0	1.0	0.5	['A3', 'F4', 'A4']
16.5	5	1.5	0.125	0.25	['D1', 'D2', 'B3', 'G4']
16.75	5	1.75	0.0625	0.25	['D1', 'D2', 'B3', 'F4']
17.0	5	2.0	0.25	0.25	['E1', 'E2', 'G3', 'C4', 'G4']
17.25	5	2.25	0.0625	0.25	['E1', 'E2', 'G3', 'C4', 'F4']
17.5	5	2.5	0.125	0.5	['A1', 'A2', 'A3', 'C4', 'E4']
18.0	5	3.0	0.5	0.25	['D2', 'A3', 'C4', 'F4']
18.25	5	3.25	0.0625	0.25	['D2', 'A3', 'C4', 'E4']
18.5	5	3.5	0.125	0.25	['G1', 'G2', 'F3', 'B3', 'E4']
18.75	5	3.75	0.0625	0.25	['G1', 'G2', 'F3', 'B3', 'D4']
19.0	5	4.0	0.25	1.0	['C2', 'C3', 'E3', 'C4']
20.0	6	1.0	1.0	0.5	['C3', 'G3', 'E-4', 'G4']
20.5	6	1.5	0.125	0.25	['C3', 'G3', 'E-4', 'G4']
