Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['E2', 'B4']
0.5	1	1.33	0.25	0.5	['B4']
1.0	1	1.67	0.25	0.5	['E3', 'G3', 'B3', 'E4', 'B4']
1.5	1	2.0	0.5	0.5	['E2', 'C5']
2.0	1	2.33	0.25	0.5	['C5']
2.5	1	2.67	0.25	0.5	['E3', 'G3', 'C4', 'E4', 'C5']
3.0	2	1.0	1.0	0.5	['G2', 'B4']
3.5	2	1.33	0.25	0.25	['B4']
3.75	2	1.5	0.125	0.25	['A4']
4.0	2	1.67	0.25	0.5	['G3', 'B3', 'D4', 'G4']
4.5	2	2.0	0.5	0.5	['D2', 'B4']
5.0	2	2.33	0.25	0.5	['B4']
5.5	2	2.67	0.25	0.5	['F#3', 'B3', 'F#4', 'B4']
6.0	3	1.0	1.0	0.5	['E2', 'G4']
6.5	3	1.33	0.25	0.5	['G4']
7.0	3	1.67	0.25	0.5	['E3', 'B3', 'E4', 'G4']
7.5	3	2.0	0.5	0.5	['A1', 'A4']
8.0	3	2.33	0.25	0.5	['A4']
8.5	3	2.67	0.25	0.5	['E3', 'A3', 'C4', 'E4', 'A4']
9.0	4	1.0	1.0	0.5	['C2', 'G4']
9.5	4	1.33	0.25	0.25	['G4']
9.75	4	1.5	0.125	0.25	['F#4']
10.0	4	1.67	0.25	0.5	['C3', 'G3', 'C4', 'E4']
10.5	4	2.0	0.5	0.5	['G1', 'G4']
11.0	4	2.33	0.25	0.5	['G4']
11.5	4	2.67	0.25	0.5	['D3', 'G3', 'B3', 'D4', 'G4']
12.0	5	1.0	1.0	0.5	['A1', 'F#4']
12.5	5	1.33	0.25	0.5	['A1', 'F#4']
13.0	5	1.67	0.25	0.5	['F#3', 'C4', 'F#4']
13.5	5	2.0	0.5	0.5	['A3', 'F#4']
14.0	5	2.33	0.25	0.5	['A3', 'F#4']
14.5	5	2.67	0.25	0.5	['F#3', 'C4', 'F#4']
15.0	6	1.0	1.0	0.5	['B1', 'D#4']
15.5	6	1.33	0.25	0.5	['B1', 'D#4']
16.0	6	1.67	0.25	0.5	['F#3', 'B3', 'D#4']
16.5	6	2.0	0.5	0.5	['A3', 'D#4']
17.0	6	2.33	0.25	0.5	['A3', 'D#4']
17.5	6	2.67	0.25	0.5	['F#3', 'B3', 'D#4']
18.0	7	1.0	1.0	0.5	['E2', 'E4']
18.5	7	1.33	0.25	0.5	['E2', 'E4']
19.0	7	1.67	0.25	0.5	['E3', 'G3', 'B3', 'E4']
19.5	7	2.0	0.5	0.5	['E2', 'E4', 'G4']
20.0	7	2.33	0.25	0.5	['E2', 'G4']
20.5	7	2.67	0.25	0.5	['E3', 'G3', 'C4', 'G4']
21.0	8	1.0	1.0	0.5	['E2', 'F#4']
21.5	8	1.33	0.25	0.25	['E2', 'F#4']
21.75	8	1.5	0.125	0.25	['E2', 'G4']
22.0	8	1.67	0.25	0.5	['E3', 'A3', 'C4', 'F#4']
22.5	8	2.0	0.5	0.5	['E2', 'A4']
23.0	8	2.33	0.25	0.5	['E2', 'A4']
23.5	8	2.67	0.25	0.5	['E3', 'B3', 'D#4', 'F#4', 'A4']
24.0	9	1.0	1.0	0.5	['E2', 'G4']
24.5	9	1.33	0.25	0.5	['E2', 'G4']
25.0	9	1.67	0.25	0.5	['E3', 'B3', 'E4', 'G4']
25.5	9	2.0	0.5	0.5	['A2', 'C5']
26.0	9	2.33	0.25	0.5	['A2', 'C5']
26.5	9	2.67	0.25	0.5	['A2', 'E3', 'C4', 'E4', 'G4', 'B4']
27.0	10	1.0	1.0	0.5	['D2', 'B4']
27.5	10	1.33	0.25	0.5	['D2', 'B4']
28.0	10	1.67	0.25	0.5	['D2', 'C4', 'E4', 'B4']
28.5	10	2.0	0.5	0.5	['D2', 'D3', 'A4']
29.0	10	2.33	0.25	0.5	['D2', 'D3', 'A4']
29.5	10	2.67	0.25	0.5	['D2', 'D3', 'C4', 'F#4', 'A4']
30.0	11	1.0	1.0	0.5	['D3', 'A4']
30.5	11	1.33	0.25	0.5	['D3', 'A4']
31.0	11	1.67	0.25	0.5	['D3', 'F#3', 'A3', 'C4', 'F#4', 'A4']
31.5	11	2.0	0.5	0.5	['A2', 'C5']
32.0	11	2.33	0.25	0.5	['A2', 'C5']
32.5	11	2.67	0.25	0.5	['A2', 'E3', 'A3', 'C4', 'E4', 'C5']
33.0	12	1.0	1.0	0.5	['D2', 'A4']
33.5	12	1.33	0.25	0.25	['D2', 'A4']
33.75	12	1.5	0.125	0.25	['D2', 'G4']
34.0	12	1.67	0.25	0.5	['D2', 'D3', 'A3', 'C4', 'D4', 'F#4']
34.5	12	2.0	0.5	0.5	['G2', 'B4']
35.0	12	2.33	0.25	0.5	['G2', 'B4']
35.5	12	2.67	0.25	0.5	['G2', 'D3', 'G3', 'B3', 'D4', 'B4']
36.0	13	1.0	1.0	0.5	['G2', 'G4', 'B4']
36.5	13	1.33	0.25	0.5	['G2', 'G4']
37.0	13	1.67	0.25	0.5	['D3', 'G3', 'B3', 'D4', 'G4']
37.5	13	2.0	0.5	0.5	['G2', 'B4']
38.0	13	2.33	0.25	0.5	['G2', 'B4']
38.5	13	2.67	0.25	0.5	['D#3', 'G3', 'B3', 'D#4', 'B4']
39.0	14	1.0	1.0	0.5	['G2', 'A4']
39.5	14	1.33	0.25	0.25	['G2', 'A4']
39.75	14	1.5	0.125	0.25	['G2', 'B4']
40.0	14	1.67	0.25	0.5	['E3', 'G3', 'C4', 'E4', 'A4']
40.5	14	2.0	0.5	0.5	['G2', 'C5']
41.0	14	2.33	0.25	0.5	['G2', 'C5']
41.5	14	2.67	0.25	0.5	['F#3', 'A3', 'D4', 'A4', 'C5']
42.0	15	1.0	1.0	0.5	['G2', 'B4']
42.5	15	1.33	0.25	0.5	['G2', 'B4']
43.0	15	1.67	0.25	0.5	['E3', 'G3', 'B3', 'E4', 'B4', 'E5']
43.5	15	2.0	0.5	0.5	['G2', 'B4', 'E5']
44.0	15	2.33	0.25	0.5	['G2', 'B4', 'E5']
44.5	15	2.67	0.25	0.5	['E3', 'G3', 'B3', 'E4', 'B4']
45.0	16	1.0	1.0	0.5	['F#2', 'B4']
45.5	16	1.33	0.25	0.5	['F#2', 'B4']
46.0	16	1.67	0.25	0.5	['F#2', 'F#3', 'A3', 'E4', 'B4']
46.5	16	2.0	0.5	0.5	['B2', 'D#4', 'B4']
47.0	16	2.33	0.25	0.25	['B2', 'D#4', 'B4']
47.25	16	2.5	0.125	0.25	['B2', 'C#4', 'B4']
47.5	16	2.67	0.25	0.5	['B2', 'F#3', 'B3', 'D#4', 'A4']
48.0	17	1.0	1.0	1.0	['E2', 'E3', 'G4', 'G5']
49.0	17	1.67	0.25	0.5	['E2', 'E3', 'G4', 'C5', 'C6']
49.5	17	2.0	0.5	1.0	['E3', 'G3', 'C4', 'G4', 'C5', 'C6']
50.5	17	2.67	0.25	0.5	['E3', 'G3', 'C4', 'G4', 'G5']
51.0	18	1.0	1.0	0.75	['D#3', 'A3', 'C4', 'G4', 'G5']
51.75	18	1.5	0.125	0.25	['D#3', 'A3', 'A#3', 'G4', 'G5']
52.0	18	1.67	0.25	0.5	['D#3', 'A3', 'B3', 'G4', 'G5']
52.5	18	2.0	0.5	1.0	['B2', 'A3', 'B3', 'F#4', 'F#5']
53.5	18	2.67	0.25	0.5	
54.0	19	1.0	1.0	1.0	['E3', 'B3', 'E4', 'G4']
55.0	19	1.67	0.25	0.5	['G4']
55.5	19	2.0	0.5	1.0	['C#3', 'A#3', 'E4', 'G4']
56.5	19	2.67	0.25	0.5	['E4']
57.0	20	1.0	1.0	0.5	['B2', 'B4', 'F#5']
57.5	20	1.33	0.25	0.5	['B2', 'B4', 'F#5']
58.0	20	1.67	0.25	0.5	['B2', 'B3', 'D#4', 'F#4', 'B4', 'F#5']
58.5	20	2.0	0.5	0.5	['B2', 'B4', 'G5']
59.0	20	2.33	0.25	0.5	['B2', 'B4', 'G5']
59.5	20	2.67	0.25	0.5	['B2', 'B3', 'E4', 'G4', 'B4', 'G5']
60.0	21	1.0	1.0	0.5	['B2', 'E5']
60.5	21	1.33	0.25	0.25	['B2', 'E5']
60.75	21	1.5	0.125	0.25	['B2', 'D5']
61.0	21	1.67	0.25	0.5	['B2', 'B3', 'C4', 'G4', 'C5', 'E5']
61.5	21	2.0	0.5	0.5	['B2', 'F#5']
62.0	21	2.33	0.25	0.5	['B2', 'F#5']
62.5	21	2.67	0.25	0.5	['B2', 'A3', 'C4', 'F#4', 'C5', 'F#5']
63.0	22	1.0	1.0	0.5	['B2', 'D#5']
63.5	22	1.33	0.25	0.5	['B2', 'D#5']
64.0	22	1.67	0.25	0.5	['B2', 'A3', 'B3', 'F#4', 'B4', 'D#5']
64.5	22	2.0	0.5	0.5	['B2', 'E5']
65.0	22	2.33	0.25	0.5	['B2', 'E5']
65.5	22	2.67	0.25	0.5	['B2', 'G3', 'B3', 'E4', 'B4', 'E5']
66.0	23	1.0	1.0	0.5	['B2', 'C5']
66.5	23	1.33	0.25	0.25	['B2', 'C5']
66.75	23	1.5	0.125	0.25	['B2', 'B4']
67.0	23	1.67	0.25	0.5	['B2', 'A3', 'E4', 'C5']
67.5	23	2.0	0.5	1.0	['B2', 'F#3', 'D#4', 'B4']
68.5	23	2.67	0.25	0.5	['B2', 'B3', 'D#4', 'A4']
69.0	24	1.0	1.0	1.0	['E2', 'B2', 'E3', 'B3', 'E4', 'G#4']
70.0	24	1.67	0.25	0.5	['E2', 'B2', 'E3', 'B3', 'E4', 'G#4', 'B4']
70.5	24	2.0	0.5	1.0	['F#2', 'B2', 'F#3', 'A3', 'D#4', 'A4', 'D#5']
71.5	24	2.67	0.25	0.5	['A2', 'A3', 'C#4', 'D#4', 'C#5']
72.0	25	1.0	1.0	1.0	['G#2', 'G#3', 'C#4', 'E4', 'C#5']
73.0	25	1.67	0.25	0.5	['G#2', 'G#3', 'D4', 'E#4', 'B4']
73.5	25	2.0	0.5	1.0	['C#3', 'C#4', 'E#4', 'A4']
74.5	25	2.67	0.25	0.5	['C#3', 'B3', 'E#4', 'G#4']
75.0	26	1.0	1.0	1.0	['F#2', 'C#3', 'B3', 'C#4', 'G#4']
76.0	26	1.67	0.25	0.5	['F#2', 'C#3', 'A3', 'C#4', 'F#4']
76.5	26	2.0	0.5	1.0	['F#2', 'C#3', 'G#3', 'A3', 'C#4']
77.5	26	2.67	0.25	0.5	['F#2', 'C#3', 'F#3', 'A3', 'D#4']
78.0	27	1.0	1.0	0.5	['C#2', 'C#3', 'E3', 'G#3', 'E4']
78.5	27	1.33	0.25	0.5	['C#2', 'C#3', 'E4']
79.0	27	1.67	0.25	0.5	['C#2', 'C#3', 'E3', 'G#3', 'E4']
79.5	27	2.0	0.5	0.5	['C3', 'E4']
80.0	27	2.33	0.25	0.5	['C3', 'E4']
80.5	27	2.67	0.25	0.5	['C3', 'E3', 'G#3', 'E4']
81.0	28	1.0	1.0	0.5	['B2', 'E4', 'B4']
81.5	28	1.33	0.25	0.5	['B2', 'E4', 'B4']
82.0	28	1.67	0.25	0.5	['B2', 'E3', 'G#3', 'B3', 'E4', 'B4']
82.5	28	2.0	0.5	0.5	['A2', 'E4', 'C5']
83.0	28	2.33	0.25	0.5	['A2', 'E4', 'C5']
83.5	28	2.67	0.25	0.5	['A2', 'E3', 'A3', 'C4', 'E4', 'C5']
84.0	29	1.0	1.0	0.5	['G2', 'B4']
84.5	29	1.33	0.25	0.25	['G2', 'B4']
84.75	29	1.5	0.125	0.25	['G2', 'A4']
85.0	29	1.67	0.25	0.5	['G2', 'E3', 'G3', 'B3', 'E4', 'G4']
85.5	29	2.0	0.5	0.5	['F#2', 'B4']
86.0	29	2.33	0.25	0.5	['F#2', 'B4']
86.5	29	2.67	0.25	0.5	['F#2', 'F#3', 'A3', 'B3', 'D#4', 'B4']
87.0	30	1.0	1.0	0.5	['E2', 'B4']
87.5	30	1.33	0.25	0.5	['E2', 'B4']
88.0	30	1.67	0.25	0.5	['E2', 'G3', 'B3', 'E4', 'B4']
88.5	30	2.0	0.5	0.5	['D2', 'D5']
89.0	30	2.33	0.25	0.5	['D2', 'D5']
89.5	30	2.67	0.25	0.5	['D2', 'D3', 'A3', 'C4', 'D4', 'F#4', 'D5']
90.0	31	1.0	1.0	0.5	['G2', 'B4']
90.5	31	1.33	0.25	0.25	['G2', 'B4']
90.75	31	1.5	0.125	0.25	['G2', 'A4']
91.0	31	1.67	0.25	0.5	['G2', 'B3', 'D4', 'G4']
91.5	31	2.0	0.5	1.0	['A2', 'C4', 'F#4']
92.5	31	2.67	0.25	0.5	['B2', 'A3', 'D#4']
93.0	32	1.0	1.0	1.0	['C3', 'G3', 'E4']
94.0	32	1.67	0.25	0.5	
94.5	32	2.0	0.5	1.0	['E4']
95.5	32	2.67	0.25	0.5	['E4']
96.0	33	1.0	1.0	1.5	['A3', 'C4', 'E4', 'C5']
97.5	33	2.0	0.5	1.0	['A3', 'C4', 'D4', 'F4', 'D5']
98.5	33	2.67	0.25	0.5	['A3', 'C4', 'F4', 'D5']
99.0	34	1.0	1.0	1.0	['E3', 'B3', 'E4', 'G4', 'E5']
100.0	34	1.67	0.25	0.5	['B3']
100.5	34	2.0	0.5	1.0	['B3', 'E4', 'G4', 'B4']
101.5	34	2.67	0.25	0.5	['E3']
102.0	35	1.0	1.0	1.0	['B3', 'E4', 'G4']
103.0	35	1.67	0.25	0.5	['B2']
103.5	35	2.0	0.5	1.0	['E3', 'F#3', 'A3', 'C4', 'E4']
104.5	35	2.67	0.25	0.5	['A1', 'F#3', 'A3', 'C4', 'E4']
105.0	36	1.0	1.0	1.0	['E2', 'G3', 'B3', 'E4']
106.0	36	1.67	0.25	0.5	
106.5	36	2.0	0.5	1.5	['E4', 'G4', 'B4', 'E5', 'B5']
108.0	37	1.0	1.0	3.0	['E4', 'G4', 'B4', 'E5', 'B5']
111.0	38	1.0	1.0	0.5	['E2', 'E4']
111.5	38	1.33	0.25	0.5	['E2', 'E4']
112.0	38	1.67	0.25	0.5	['E3', 'G3', 'B3', 'E4']
112.5	38	2.0	0.5	0.5	['E2', 'G4']
113.0	38	2.33	0.25	0.5	['E2', 'G4']
113.5	38	2.67	0.25	0.5	['E3', 'G3', 'C4', 'G4']
114.0	39	1.0	1.0	0.5	['E2', 'F#4']
114.5	39	1.33	0.25	0.25	['E2', 'F#4']
114.75	39	1.5	0.125	0.25	['E2', 'G4']
115.0	39	1.67	0.25	0.5	['E3', 'A3', 'C4', 'F#4']
115.5	39	2.0	0.5	0.5	['E2', 'A4']
116.0	39	2.33	0.25	0.5	['E2', 'A4']
116.5	39	2.67	0.25	0.5	['E3', 'B3', 'D#4', 'F#4', 'A4']
117.0	40	1.0	1.0	0.5	['E2', 'G4']
117.5	40	1.33	0.25	0.5	['E2', 'G4']
118.0	40	1.67	0.25	0.5	['E3', 'B3', 'E4', 'G4']
118.5	40	2.0	0.5	0.5	['A2', 'C5']
119.0	40	2.33	0.25	0.5	['A2', 'C5']
119.5	40	2.67	0.25	0.5	['A2', 'E3', 'C4', 'E4', 'G4', 'B4']
120.0	41	1.0	1.0	0.5	['D2', 'B4']
120.5	41	1.33	0.25	0.5	['D2', 'B4']
121.0	41	1.67	0.25	0.5	['D2', 'C4', 'E4', 'B4']
121.5	41	2.0	0.5	0.5	['D2', 'D3', 'A4']
122.0	41	2.33	0.25	0.5	['D2', 'D3', 'A4']
122.5	41	2.67	0.25	0.5	['D2', 'D3', 'C4', 'F#4', 'A4']
123.0	42	1.0	1.0	0.5	['D3', 'A4']
123.5	42	1.33	0.25	0.5	['D3', 'A4']
124.0	42	1.67	0.25	0.5	['D3', 'F#3', 'A3', 'C4', 'F#4', 'A4']
124.5	42	2.0	0.5	0.5	['A2', 'C5']
125.0	42	2.33	0.25	0.5	['A2', 'C5']
125.5	42	2.67	0.25	0.5	['A2', 'E3', 'A3', 'C4', 'E4', 'C5']
126.0	43	1.0	1.0	0.5	['D2', 'A4']
126.5	43	1.33	0.25	0.25	['D2', 'A4']
126.75	43	1.5	0.125	0.25	['D2', 'G4']
127.0	43	1.67	0.25	0.5	['D2', 'D3', 'A3', 'C4', 'D4', 'F#4']
127.5	43	2.0	0.5	0.5	['G2', 'B4']
128.0	43	2.33	0.25	0.5	['G2', 'B4']
128.5	43	2.67	0.25	0.5	['G2', 'D3', 'G3', 'B3', 'D4', 'B4']
129.0	44	1.0	1.0	0.5	['G2', 'G4', 'B4']
129.5	44	1.33	0.25	0.5	['G2', 'G4']
130.0	44	1.67	0.25	0.5	['D3', 'G3', 'B3', 'D4', 'G4']
130.5	44	2.0	0.5	0.5	['G2', 'B4']
131.0	44	2.33	0.25	0.5	['B4']
131.5	44	2.67	0.25	0.5	['D#3', 'G3', 'B3', 'D#4', 'B4']
132.0	45	1.0	1.0	0.5	['G2', 'A4']
132.5	45	1.33	0.25	0.25	['G2', 'A4']
132.75	45	1.5	0.125	0.25	['G2', 'B4']
133.0	45	1.67	0.25	0.5	['E3', 'G3', 'C4', 'E4', 'A4']
133.5	45	2.0	0.5	0.5	['G2', 'C5']
134.0	45	2.33	0.25	0.5	['G2', 'C5']
134.5	45	2.67	0.25	0.5	['F#3', 'A3', 'D4', 'A4', 'C5']
