Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	2.0	['A1', 'E2', 'A2', 'C#3', 'E3', 'A3', 'C#4', 'E4']
2.0	1	3.0	0.5	2.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6', 'F6', 'A6']
4.0	2	1.0	1.0	2.0	['A1', 'E2', 'A2', 'C#3', 'E3', 'A3', 'C#4', 'E4']
6.0	2	3.0	0.5	2.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6', 'F6', 'A6']
8.0	3	1.0	1.0	1.0	['A1', 'E2', 'A2', 'C#3', 'E3', 'A3', 'C#4', 'E4']
9.0	3	2.0	0.25	1.0	['A1', 'E2', 'A2', 'C#3', 'E3', 'A3', 'C#4', 'E4', 'A4']
10.0	3	3.0	0.5	1.5	['F4', 'A4', 'C5', 'F5', 'A5', 'C6', 'F6', 'A6']
11.5	3	4.5	0.125	0.5	['F4', 'A4', 'C5', 'F5', 'A5', 'C6', 'F6', 'A6']
12.0	4	1.0	1.0	2.0	['A1', 'E2', 'A2', 'C#3', 'E3', 'A3', 'C#4', 'E4', 'A4']
14.0	4	3.0	0.5	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6', 'F6', 'A6']
15.0	4	4.0	0.25	1.0	['F4', 'A4', 'C5', 'F5', 'A5', 'C6', 'F6', 'A6']
16.0	5	1.0	1.0	2.0	['A1', 'F2', 'A2', 'D3', 'F3', 'A3', 'D4', 'D5']
18.0	5	3.0	0.5	1.0	['D4', 'F4', 'A4', 'D5', 'F5', 'A5', 'D6', 'F6']
19.0	5	4.0	0.25	1.0	['D4', 'F4', 'A4', 'D5', 'F5', 'A5', 'D6', 'F6']
20.0	6	1.0	1.0	2.0	['G#1', 'B1', 'E2', 'G#2', 'B2', 'E3', 'B3', 'B4']
22.0	6	3.0	0.5	1.0	['E4', 'G#4', 'B4', 'E5', 'G#5', 'B5', 'E6']
23.0	6	4.0	0.25	1.0	['E4', 'G#4', 'B4', 'E5', 'G#5', 'B5', 'E6']
24.0	7	1.0	1.0	2.0	['C2', 'E2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'E5']
26.0	7	3.0	0.5	1.0	['C4', 'E4', 'G4', 'C5', 'E5', 'G5', 'C6', 'E6']
27.0	7	4.0	0.25	1.0	['C4', 'E4', 'G4', 'C5', 'E5', 'G5', 'C6', 'E6']
28.0	8	1.0	1.0	1.0	['C2', 'E2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'G4']
29.0	8	2.0	0.25	1.0	['C2', 'E2', 'G2', 'C3', 'E3', 'G3', 'C4', 'E4', 'G4']
30.0	8	3.0	0.5	1.5	['C4', 'E4', 'A4', 'C5', 'E5', 'A5', 'E6']
31.5	8	4.5	0.125	0.5	['C4', 'E4', 'A4', 'C5', 'E5', 'A5', 'E6']
32.0	9	1.0	1.0	2.0	['B1', 'F#2', 'B2', 'D#3', 'F#3', 'B3', 'D#4', 'B4']
34.0	9	3.0	0.5	1.0	['B3', 'D#4', 'F#4', 'B4', 'F#5', 'B5', 'D#6']
35.0	9	4.0	0.25	1.0	['B3', 'D#4', 'F#4', 'B4', 'F#5', 'B5', 'D#6']
36.0	10	1.0	1.0	2.0	['B1', 'F#2', 'B2', 'D#3', 'F#3', 'B3', 'D#4', 'F#4']
38.0	10	3.0	0.5	2.0	['B3', 'D#4', 'F#4', 'B4', 'F#5', 'B5', 'D#6', 'F#6']
40.0	11	1.0	1.0	1.0	['B3', 'D4', 'G4', 'B4', 'G5', 'B5', 'D6', 'G6']
41.0	11	2.0	0.25	1.0	['B3', 'D4', 'G4', 'B4', 'G5', 'B5', 'D6', 'G6']
42.0	11	3.0	0.5	1.0	['B3', 'D#4', 'F#4', 'B4', 'F#5', 'B5', 'D#6', 'F#6']
43.0	11	4.0	0.25	1.0	['B3', 'D#4', 'F#4', 'B4', 'F#5', 'B5', 'D#6', 'F#6']
44.0	12	1.0	1.0	1.0	['A3', 'E4', 'A4', 'C5', 'A5', 'C6', 'E6', 'A6']
45.0	12	2.0	0.25	1.0	['A3', 'E4', 'A4', 'C5', 'D5', 'A5', 'C6', 'E6', 'A6']
46.0	12	3.0	0.5	1.0	['C4', 'E4', 'G4', 'C5', 'E5', 'G5', 'C6', 'E6', 'G6']
47.0	12	4.0	0.25	1.0	['C4', 'E4', 'G4', 'C5', 'F#5', 'G5', 'C6', 'E6', 'G6']
48.0	13	1.0	1.0	2.0	['B3', 'D4', 'G4', 'B4', 'G5', 'D6', 'G6']
50.0	13	3.0	0.5	1.0	['B-3', 'D4', 'G4', 'B-4', 'D5', 'G5', 'D6']
51.0	13	4.0	0.25	1.0	['B-3', 'D4', 'G4', 'B-4', 'D5', 'G5', 'D6']
52.0	14	1.0	1.0	2.0	['A3', 'C#4', 'F4', 'A4', 'F5', 'A5', 'C#6', 'F6']
54.0	14	3.0	0.5	1.0	['G3', 'C#4', 'E4', 'A4', 'E5', 'A5', 'C#6', 'E6']
55.0	14	4.0	0.25	1.0	['G3', 'C#4', 'E4', 'A4', 'E5', 'A5', 'C#6', 'E6']
56.0	15	1.0	1.0	1.0	['F3', 'A3', 'D4', 'A4', 'D5', 'F5', 'A5', 'D6']
57.0	15	2.0	0.25	1.0	['F3', 'A3', 'D4', 'A4', 'D5', 'F5', 'A5', 'D6']
58.0	15	3.0	0.5	1.0	['D3', 'A3', 'F4', 'D5', 'F5', 'A5', 'D6']
