Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.25	['E2']
0.25	1	1.17	0.125	0.25	['E2', 'E5', 'G#5', 'B5']
0.5	1	1.33	0.25	0.25	['G#3', 'B3', 'E4', 'E5', 'G#5', 'B5']
0.75	1	1.5	0.125	0.25	['G#3', 'B3', 'E4', 'B4', 'E5', 'G#5']
1.0	1	1.67	0.25	0.25	['B3', 'E4', 'G#4', 'B4', 'E5', 'G#5']
1.25	1	1.83	0.125	0.25	['B3', 'E4', 'G#4', 'E5', 'G#5', 'B5']
1.5	1	2.0	0.5	0.25	['E4', 'G#4', 'C#5', 'E5', 'G#5', 'B5']
1.75	1	2.17	0.125	0.25	['E4', 'G#4', 'C#5', 'E5', 'G#5', 'C#6']
2.0	1	2.33	0.25	0.25	['E4', 'G#4', 'B4', 'E5', 'G#5', 'C#6']
2.25	1	2.5	0.125	0.25	['E4', 'G#4', 'B4', 'E5', 'G#5', 'B5']
2.5	1	2.67	0.25	0.25	['C#4', 'E4', 'A4', 'C#5', 'E5', 'G#5', 'B5']
2.75	1	2.83	0.125	0.25	['C#4', 'E4', 'A4', 'C#5', 'E5', 'A5']
3.0	1	3.0	0.5	0.25	['B3', 'E4', 'G#4', 'B4', 'C#5', 'E5', 'A5']
3.25	1	3.17	0.125	0.25	['B3', 'E4', 'G#4', 'B4', 'E5', 'G#5']
3.5	1	3.33	0.25	0.25	['A3', 'B3', 'F#4', 'B4', 'E5', 'G#5']
3.75	1	3.5	0.125	0.25	['A3', 'B3', 'F#4', 'A4', 'B4', 'F#5']
4.0	1	3.67	0.25	0.25	['G#3', 'B3', 'E4', 'A4', 'B4', 'F#5']
4.25	1	3.83	0.125	0.25	['G#3', 'B3', 'E4', 'G#4', 'B4', 'E5']
4.5	2	1.0	1.0	0.25	['E2', 'E3', 'G#4']
4.75	2	1.17	0.125	0.25	['E2', 'E3', 'G#4', 'B4', 'C#5']
5.0	2	1.33	0.25	0.25	['G#3', 'B3', 'C#4', 'G#4', 'B4', 'C#5']
5.25	2	1.5	0.125	0.25	['G#3', 'B3', 'C#4', 'G#4', 'B4', 'C#5', 'G#5']
5.5	2	1.67	0.25	0.25	['B3', 'C#4', 'G#4', 'B4', 'C#5', 'G#5']
5.75	2	1.83	0.125	0.25	['B3', 'C#4', 'G#4', 'C#5', 'G#5', 'B5']
6.0	2	2.0	0.5	0.25	['E2', 'E3', 'A4']
6.25	2	2.17	0.125	0.25	['E2', 'E3', 'F#4', 'A4', 'C#5']
6.5	2	2.33	0.25	0.25	['A3', 'C#4', 'F#4', 'A4', 'C#5']
6.75	2	2.5	0.125	0.25	['A3', 'C#4', 'F#4', 'A4', 'C#5', 'F#5']
7.0	2	2.67	0.25	0.25	['C#4', 'F#4', 'A4', 'C#5', 'F#5']
7.25	2	2.83	0.125	0.25	['C#4', 'F#4', 'A4', 'C#5', 'F#5', 'A5']
7.5	2	3.0	0.5	0.25	['F#4', 'A4', 'C#5', 'F#5', 'A5']
7.75	2	3.17	0.125	0.25	['F#4', 'A4', 'C#5', 'F#5', 'A5', 'C#6']
8.0	2	3.33	0.25	0.25	['C#4', 'F#4', 'A4', 'F#5', 'A5', 'C#6']
8.25	2	3.5	0.125	0.25	['C#4', 'F#4', 'A4', 'C#5', 'F#5', 'A5']
8.5	2	3.67	0.25	0.25	['A3', 'C#4', 'F#4', 'C#5', 'F#5', 'A5']
8.75	2	3.83	0.125	0.25	['A3', 'C#4', 'F#4', 'A4', 'C#5', 'F#5']
9.0	3	1.0	1.0	0.25	['D#2', 'D#3', 'B4']
9.25	3	1.17	0.125	0.25	['D#2', 'D#3', 'B4', 'F#5', 'B5']
9.5	3	1.33	0.25	0.25	['D#3', 'F#3', 'B3', 'B4', 'F#5', 'B5']
9.75	3	1.5	0.125	0.25	['D#3', 'F#3', 'B3', 'B4', 'D#5', 'F#5']
10.0	3	1.67	0.25	0.25	['F#3', 'B3', 'D#4', 'B4', 'D#5', 'F#5']
10.25	3	1.83	0.125	0.25	['F#3', 'B3', 'D#4', 'F#4', 'B4', 'D#5']
10.5	3	2.0	0.5	0.25	['D#2', 'D#3', 'D#5']
10.75	3	2.17	0.125	0.25	['D#2', 'D#3', 'B4', 'D#5', 'F##5', 'B5']
11.0	3	2.33	0.25	0.25	['B3', 'D#4', 'F##4', 'B4', 'F##5', 'B5']
