Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.25	['A2', 'E4']
0.25	1	1.17	0.125	0.25	['C#3', 'E4']
0.5	1	1.33	0.25	0.25	['E3', 'E4']
0.75	1	1.5	0.125	0.25	['A3', 'E4']
1.0	1	1.67	0.25	0.25	['C#4', 'E4']
1.25	1	1.83	0.125	0.25	['E4']
1.5	1	2.0	0.5	0.25	['A2', 'F#4']
1.75	1	2.17	0.125	0.25	['C#3', 'F#4']
2.0	1	2.33	0.25	0.25	['F#3', 'F#4']
2.25	1	2.5	0.125	0.25	['A3', 'F#4']
2.5	1	2.67	0.25	0.25	['C#4', 'F#4']
2.75	1	2.83	0.125	0.25	['F#4']
3.0	2	1.0	1.0	0.25	['A2', 'C#5']
3.25	2	1.17	0.125	0.25	['D3', 'C#5']
3.5	2	1.33	0.25	0.25	['F#3', 'C#5']
3.75	2	1.5	0.125	0.25	['B3', 'C#5']
4.0	2	1.67	0.25	0.25	['D4', 'C#5']
4.25	2	1.83	0.125	0.25	['F#4', 'C#5']
4.5	2	2.0	0.5	0.25	['B4']
4.75	2	2.17	0.125	0.25	['B4', 'D5']
5.0	2	2.33	0.25	0.25	['B4', 'F#5']
5.25	2	2.5	0.125	0.25	['B4', 'D5']
5.5	2	2.67	0.25	0.25	['B4']
5.75	2	2.83	0.125	0.25	['F#4']
6.0	3	1.0	1.0	0.25	['D4', 'B4']
6.25	3	1.17	0.125	0.25	['D4', 'E4', 'B4']
6.5	3	1.33	0.25	0.25	['D4', 'E4', 'G#4', 'B4']
6.75	3	1.5	0.125	0.25	['D4', 'E4', 'B4']
7.0	3	1.67	0.25	0.25	['D4', 'E4', 'B4', 'D5']
7.25	3	1.83	0.125	0.25	['D4', 'E4', 'B4', 'D5', 'E5']
7.5	3	2.0	0.5	1.0	['D4', 'E4', 'G#4', 'B4', 'D5', 'E5', 'G#5']
8.5	3	2.67	0.25	0.5	['D4', 'E4', 'G#4', 'B4', 'D5', 'E5', 'G#5']
9.0	4	1.0	1.0	1.0	
10.0	4	2.0	0.5	1.0	['D4', 'E4', 'G#4', 'B4']
11.0	5	1.0	1.0	1.0	['C#4', 'E4', 'A4', 'C#5']
12.0	5	2.0	0.5	0.5	['B3', 'F#4', 'B4', 'D#5']
12.5	5	2.5	0.25	0.5	['A3', 'F#4', 'B4', 'D#5']
13.0	6	1.0	1.0	1.0	['G#3', 'E4', 'B4', 'E5']
14.0	6	2.0	0.5	0.5	['A3', 'E4', 'A4', 'D#5']
14.5	6	2.5	0.25	0.5	['A3', 'E4', 'A4', 'C#5']
15.0	7	1.0	1.0	2.0	['B3', 'E4', 'G#4', 'B4']
17.0	8	1.0	1.0	1.0	['C#4', 'E4', 'G4', 'A#4', 'B-4']
18.0	8	2.0	0.5	1.0	['C#4', 'E4', 'G4', 'B-4']
19.0	9	1.0	1.0	0.25	['C#3', 'E5']
19.25	9	1.17	0.125	0.25	['C#3', 'E3', 'E5']
19.5	9	1.33	0.25	0.25	['C#3', 'E3', 'G3', 'E5']
19.75	9	1.5	0.125	0.25	['C#3', 'E3', 'A#3', 'E5']
20.0	9	1.67	0.25	0.25	['C#3', 'E3', 'A#3', 'C#4', 'E5']
20.25	9	1.83	0.125	0.25	['C#3', 'E3', 'A#3', 'C#4', 'E4', 'A#4']
20.5	9	2.0	0.5	1.5	['C#3', 'E3', 'G3', 'A#3', 'C#4', 'E4', 'G4', 'A#4']
22.0	10	1.0	1.0	0.25	['D#3', 'A4']
22.25	10	1.17	0.125	0.25	['D#3', 'F#3', 'A4']
22.5	10	1.33	0.25	0.25	['D#3', 'F#3', 'A3', 'A4']
22.75	10	1.5	0.125	0.25	['D#3', 'F#3', 'B3', 'A4']
23.0	10	1.67	0.25	0.25	['D#3', 'F#3', 'B3', 'D#4', 'A4']
23.25	10	1.83	0.125	0.25	['D#3', 'F#3', 'B3', 'D#4', 'F#4', 'B4']
23.5	10	2.0	0.5	1.5	['D#3', 'F#3', 'A3', 'B3', 'D#4', 'F#4', 'A4', 'B4']
25.0	11	1.0	1.0	0.25	['E3', 'G#4']
25.25	11	1.17	0.125	0.25	['G#3', 'G#4']
25.5	11	1.33	0.25	0.25	['B3', 'G#4']
25.75	11	1.5	0.125	0.25	['E4', 'G#4']
26.0	11	1.67	0.25	0.25	['G#4']
26.25	11	1.83	0.125	0.25	['G#4', 'B4']
26.5	11	2.0	0.5	0.25	['E3', 'A4']
