Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['D4', 'F4', 'A4']
1.0	1	2.0	0.5	1.0	['D4', 'F4', 'A4']
2.0	1	3.0	0.5	1.0	['D4', 'F4', 'A4']
3.0	2	1.0	1.0	1.0	['D4', 'F4', 'A4']
4.0	2	2.0	0.5	1.0	['D4', 'F4', 'A4']
5.0	2	3.0	0.5	1.0	['D4', 'F4', 'A4']
6.0	3	1.0	1.0	1.0	['D4', 'F4', 'A4']
7.0	3	2.0	0.5	0.5	['D4', 'F4', 'A4']
7.5	3	2.5	0.25	0.5	['D4', 'F4', 'A4']
8.0	3	3.0	0.5	0.5	['F4', 'G4', 'B-4']
8.5	3	3.5	0.25	0.5	['F4', 'G4', 'B-4']
9.0	4	1.0	1.0	1.0	['E4', 'A4', 'C5']
10.0	4	2.0	0.5	0.5	['E4', 'A4', 'C5']
10.5	4	2.5	0.25	0.5	['E4', 'A4', 'C5']
11.0	4	3.0	0.5	0.5	['A4', 'B-4', 'D5']
11.5	4	3.5	0.25	0.5	['A4', 'B-4', 'D5']
12.0	5	1.0	1.0	0.5	['G4', 'C5', 'E-5']
12.5	5	1.5	0.25	0.5	['G4', 'B-4', 'C5', 'E-5']
13.0	5	2.0	0.5	1.0	['A4', 'C5', 'F5']
14.0	5	3.0	0.5	0.5	['A4', 'B-4', 'D5', 'E5']
14.5	5	3.5	0.25	0.5	['G4', 'B-4', 'D5', 'E5']
15.0	6	1.0	1.0	1.0	['A4', 'C#5', 'E5']
16.0	6	2.0	0.5	0.5	['A4', 'C#5', 'E5']
16.5	6	2.5	0.25	0.5	['A4', 'C#5', 'E5']
17.0	6	3.0	0.5	0.5	['A4']
17.5	6	3.5	0.25	0.5	['A4']
18.0	7	1.0	1.0	1.0	['D4', 'F4', 'A4']
19.0	7	2.0	0.5	1.0	['D4', 'F4', 'A4']
20.0	7	3.0	0.5	0.5	['F4', 'G4', 'B-4']
20.5	7	3.5	0.25	0.5	['F4', 'G4', 'B-4']
21.0	8	1.0	1.0	1.0	['E4', 'A4', 'C5']
22.0	8	2.0	0.5	0.5	['E4', 'A4', 'C5']
22.5	8	2.5	0.25	0.5	['E4', 'A4', 'C5']
23.0	8	3.0	0.5	0.5	['A4', 'B-4', 'D5']
23.5	8	3.5	0.25	0.5	['A4', 'B-4', 'D5']
24.0	9	1.0	1.0	1.0	['G4', 'C5', 'E-5']
25.0	9	2.0	0.5	0.5	['A4', 'C5', 'F5']
