Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.25	['B2', 'F#3', 'D#4', 'F#4', 'D#5']
0.25	1	1.17	0.125	0.25	['B2', 'B3', 'F#4', 'D#5']
0.5	1	1.33	0.25	0.25	['B2', 'F#3', 'D#4', 'F#4', 'D#5']
0.75	1	1.5	0.125	0.25	['B2', 'B3', 'F#4', 'D#5']
1.0	1	1.67	0.25	0.25	['B2', 'F#3', 'D#4', 'F#4', 'D#5']
1.25	1	1.83	0.125	0.25	['B2', 'B3', 'F#4', 'D#5']
1.5	1	2.0	0.5	0.25	['B2', 'G#3', 'E4', 'G#4', 'E5']
1.75	1	2.17	0.125	0.25	['B2', 'B3', 'G#4', 'B4', 'E5']
2.0	1	2.33	0.25	0.25	['B2', 'G#3', 'E4', 'G#4', 'E5']
2.25	1	2.5	0.125	0.25	['B2', 'B3', 'G#4', 'B4', 'E5']
2.5	1	2.67	0.25	0.25	['B2', 'G#3', 'E4', 'G#4', 'E5']
2.75	1	2.83	0.125	0.25	['B2', 'B3', 'G#4', 'B4', 'E5']
3.0	2	1.0	1.0	0.25	['B2', 'F#3', 'D#4', 'B4', 'D#5']
3.25	2	1.17	0.125	0.25	['B2', 'B3', 'F#4', 'B4', 'D#5']
3.5	2	1.33	0.25	0.25	['B2', 'F#3', 'D#4', 'B4', 'D#5']
3.75	2	1.5	0.125	0.25	['B2', 'B3', 'F#4', 'B4', 'D#5']
4.0	2	1.67	0.25	0.25	['B2', 'G#3', 'E4', 'G#4', 'E5']
4.25	2	1.83	0.125	0.25	['B2', 'B3', 'G#4', 'B4', 'E5']
4.5	2	2.0	0.5	0.25	['B2', 'F#3', 'D#4', 'F#4', 'D#5']
4.75	2	2.17	0.125	0.25	['B2', 'B3', 'F#4', 'D#5']
5.0	2	2.33	0.25	0.25	['B2', 'F#3', 'D#4', 'F#4', 'D#5']
5.25	2	2.5	0.125	0.25	['B2', 'B3', 'F#4', 'D#5']
5.5	2	2.67	0.25	0.25	['F#3', 'D#4', 'F#4']
5.75	2	2.83	0.125	0.25	['B3', 'F#4']
6.0	3	1.0	1.0	0.25	['E3', 'C#4', 'G#4', 'C#5']
6.25	3	1.17	0.125	0.25	['G#3', 'G#4', 'C#5']
6.5	3	1.33	0.25	0.25	['E3', 'C#4', 'G#4', 'C#5']
6.75	3	1.5	0.125	0.25	['G#3', 'G#4', 'C#5']
7.0	3	1.67	0.25	0.25	['E3', 'C#4', 'A#4', 'C#5']
7.25	3	1.83	0.125	0.25	['G#3', 'G#4', 'A#4', 'C#5']
7.5	3	2.0	0.5	0.25	['D#3', 'B3', 'B4']
7.75	3	2.17	0.125	0.25	['G#3', 'D#4', 'B4']
8.0	3	2.33	0.25	0.25	['D#3', 'B3', 'B4']
8.25	3	2.5	0.125	0.25	['G#3', 'D#4', 'B4', 'C#5']
8.5	3	2.67	0.25	0.25	['C#3', 'A#3', 'A#4', 'D#5']
8.75	3	2.83	0.125	0.25	['F##3', 'D#4', 'A#4', 'D#5']
9.0	4	1.0	1.0	0.25	['B2', 'G#3', 'G#4', 'D#5']
9.25	4	1.17	0.125	0.25	['B2', 'D#3', 'D#4', 'G#4', 'D#5']
9.5	4	1.33	0.25	0.25	['B2', 'D#3', 'G#3', 'G#4', 'D#5']
9.75	4	1.5	0.125	0.25	['B2', 'D#3', 'D#4', 'G#4', 'D#5']
10.0	4	1.67	0.25	0.25	['D#3', 'G#3']
10.25	4	1.83	0.125	0.25	['D#3', 'D#4']
10.5	4	2.0	0.5	0.25	['A#2', 'C#3', 'F#4', 'F#5']
10.75	4	2.17	0.125	0.25	['A#2', 'C#3', 'F#3', 'F#4', 'A#4', 'C#5', 'F#5']
11.0	4	2.33	0.25	0.25	['G#2', 'B2', 'F#3', 'F#4', 'A#4', 'C#5', 'F#5']
11.25	4	2.5	0.125	0.25	['G#2', 'B2', 'F#3', 'F#4', 'B4', 'D#5', 'F#5']
11.5	4	2.67	0.25	0.25	['F#2', 'A#2', 'F#3', 'F#4', 'B4', 'D#5', 'F#5']
11.75	4	2.83	0.125	0.25	['F#2', 'A#2', 'F#3', 'F#4', 'C#5', 'E5', 'F#5']
12.0	5	1.0	1.0	0.25	['B2', 'F#3', 'D#4', 'F#4', 'D#5']
12.25	5	1.17	0.125	0.25	['B2', 'B3', 'F#4', 'D#5']
12.5	5	1.33	0.25	0.25	['B2', 'F#3', 'D#4', 'F#4', 'D#5']
12.75	5	1.5	0.125	0.25	['B2', 'B3', 'F#4', 'D#5']
13.0	5	1.67	0.25	0.25	['B2', 'F#3', 'D#4', 'F#4', 'D#5']
13.25	5	1.83	0.125	0.25	['B2', 'B3', 'F#4', 'D#5']
13.5	5	2.0	0.5	0.25	['B2', 'G#3', 'E4', 'G#4', 'E5']
13.75	5	2.17	0.125	0.25	['B2', 'B3', 'G#4', 'B4', 'E5']
14.0	5	2.33	0.25	0.25	['B2', 'G#3', 'E4', 'E5']
14.25	5	2.5	0.125	0.25	['B2', 'B3', 'E4', 'B4', 'E5']
14.5	5	2.67	0.25	0.25	['B2', 'G#3', 'E4', 'G#4', 'E5']
14.75	5	2.83	0.125	0.25	['B2', 'B3', 'G#4', 'A#4', 'E5']
