Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	4.0	0.25	0.5	['F3', 'A3']
0.5	0	4.5	0.125	0.5	['E3', 'A3']
1.0	1	1.0	1.0	1.0	['D3', 'F3', 'D4']
2.0	1	2.0	0.25	1.0	['B-2', 'G3', 'E4']
3.0	1	3.0	0.5	1.0	['A2', 'A3', 'F4']
4.0	1	4.0	0.25	1.0	['F2', 'C4', 'A4']
5.0	2	1.0	1.0	1.0	['E2', 'B-3', 'G4']
6.0	2	2.0	0.25	1.0	['G2', 'B-3', 'G4']
7.0	2	3.0	0.5	1.0	['B-2', 'G3', 'E4']
8.0	2	4.0	0.25	1.0	['F2', 'A3', 'F4']
9.0	3	1.0	1.0	1.0	['G2', 'F3', 'B-3', 'D4']
10.0	3	2.0	0.25	1.0	['G2', 'F3', 'B-3', 'D4']
11.0	3	3.0	0.5	1.0	['A2', 'E3', 'A3', 'C4']
12.0	3	4.0	0.25	1.0	['B-2', 'D3', 'F3', 'B-3']
13.0	4	1.0	1.0	2.0	['A2', 'C#3', 'E3', 'A3']
15.0	4	3.0	0.5	1.0	
16.0	4	4.0	0.25	1.0	['E3', 'A3']
17.0	5	1.0	1.0	1.0	['D3', 'F3', 'A3', 'D4']
18.0	5	2.0	0.25	1.0	['C3', 'G3', 'C4', 'E4']
19.0	5	3.0	0.5	1.0	['A2', 'A3', 'C4', 'F4']
20.0	5	4.0	0.25	1.0	['F2', 'C4', 'F4', 'A4']
21.0	6	1.0	1.0	1.0	['D2', 'C4', 'F4', 'C5']
22.0	6	2.0	0.25	1.0	['A2', 'C4', 'F4', 'C5']
23.0	6	3.0	0.5	1.0	['F3', 'C4', 'A4']
24.0	6	4.0	0.25	1.0	['D3', 'A3', 'F4']
25.0	7	1.0	1.0	1.0	['C3', 'A3', 'E4']
26.0	7	2.0	0.25	1.0	['D3', 'A3', 'F4']
27.0	7	3.0	0.5	1.0	['B2', 'A3', 'D4']
28.0	7	4.0	0.25	1.0	['F2', 'A3', 'B3']
29.0	8	1.0	1.0	1.0	['C2', 'G3', 'C4', 'E4']
30.0	8	2.0	0.25	1.0	['G2', 'G3', 'C4', 'E4']
31.0	8	3.0	0.5	1.0	['C3']
32.0	8	4.0	0.25	1.0	['E3', 'G#3', 'B3', 'E4']
33.0	9	1.0	1.0	1.0	['D3', 'A3', 'D4', 'F4']
34.0	9	2.0	0.25	1.0	['C3', 'C4', 'E4', 'G4']
35.0	9	3.0	0.5	1.0	['F2', 'F3', 'C4', 'A4']
36.0	9	4.0	0.25	1.0	['A2', 'E3', 'D4', 'A4', 'C5']
37.0	10	1.0	1.0	1.0	['G#2', 'E4', 'C5', 'E5']
38.0	10	2.0	0.25	1.0	['E3', 'E4', 'B-4', 'D5']
39.0	10	3.0	0.5	1.0	['A2', 'A3', 'E4', 'A4', 'C5']
40.0	10	4.0	0.25	1.0	['A2', 'C4', 'A4', 'C5']
41.0	11	1.0	1.0	1.0	['B-2', 'D4', 'F4', 'B-4', 'F5']
42.0	11	2.0	0.25	1.0	['C3', 'C4', 'E4', 'A4', 'C5']
43.0	11	3.0	0.5	1.0	['D3', 'B-3', 'D4', 'G4']
44.0	11	4.0	0.25	1.0	['E2', 'B-3', 'D4', 'B-4']
45.0	12	1.0	1.0	1.0	['F2', 'A3', 'D4', 'A4']
46.0	12	2.0	0.25	1.0	['G2', 'B-3', 'D4', 'F4']
47.0	12	3.0	0.5	1.0	['A2', 'E3', 'C#4', 'E4']
48.0	12	4.0	0.25	1.0	['C#3', 'A3']
49.0	13	1.0	1.0	1.0	['D3', 'F#3', 'D4']
50.0	13	2.0	0.25	1.0	['B2', 'G3', 'D4']
51.0	13	3.0	0.5	1.0	['A2', 'A3', 'F#4']
52.0	13	4.0	0.25	1.0	['F#2', 'D4', 'A4']
53.0	14	1.0	1.0	1.0	['E2', 'D4', 'B-4', 'D5']
54.0	14	2.0	0.25	1.0	['B-2', 'D4', 'B-4', 'D5']
55.0	14	3.0	0.5	1.0	['E3', 'D4', 'G#4', 'D5']
56.0	14	4.0	0.25	1.0	['G3', 'D4', 'B-4']
57.0	15	1.0	1.0	0.5	['F3', 'D4', 'A4']
57.5	15	1.5	0.125	0.5	['F3', 'D4', 'A4', 'D5']
58.0	15	2.0	0.25	1.0	['B-2', 'G3', 'D4']
59.0	15	3.0	0.5	0.5	['G2', 'B-3', 'E-4']
59.5	15	3.5	0.125	0.5	['G2', 'B-3', 'G4']
60.0	15	4.0	0.25	1.0	['A2', 'A3', 'C#4', 'F4']
61.0	16	1.0	1.0	1.0	['D2', 'F3', 'A3', 'D4']
62.0	16	2.0	0.25	1.0	['A2', 'F3', 'A3', 'D4']
63.0	16	3.0	0.5	1.0	['D3']
64.0	16	4.0	0.25	1.0	['E3', 'G3', 'A3']
65.0	17	1.0	1.0	0.5	['F#3', 'A3', 'D4']
65.5	17	1.5	0.125	0.5	['G3', 'B3', 'D4']
66.0	17	2.0	0.25	0.5	['F#3', 'C#4', 'E4']
66.5	17	2.5	0.125	0.5	['E3', 'A3', 'E4']
67.0	17	3.0	0.5	0.5	['D3', 'D4', 'F#4']
67.5	17	3.5	0.125	0.5	['C#3', 'E4', 'F#4']
68.0	17	4.0	0.25	0.5	['B2', 'D4', 'A4']
68.5	17	4.5	0.125	0.5	['A2', 'C#4', 'A4']
69.0	18	1.0	1.0	0.5	['B1', 'A4', 'C#5']
69.5	18	1.5	0.125	0.5	['B2', 'D#4', 'C#5']
70.0	18	2.0	0.25	0.5	['C#3', 'A4', 'C#5', 'F#5']
70.5	18	2.5	0.125	0.5	['D3', 'F#4', 'A4', 'C#5']
71.0	18	3.0	0.5	0.5	['E2', 'G#4', 'B4']
71.5	18	3.5	0.125	0.5	['E3', 'B3', 'B4']
72.0	18	4.0	0.25	0.5	['F#2', 'A4', 'D5']
72.5	18	4.5	0.125	0.5	['F#3', 'D#4', 'D5']
73.0	19	1.0	1.0	0.5	['C#2', 'E4', 'A4']
73.5	19	1.5	0.125	0.5	['C#3', 'A3', 'A4']
74.0	19	2.0	0.25	0.5	['D2', 'D4', 'F#4']
74.5	19	2.5	0.125	0.5	['D3', 'F#3', 'F#4']
75.0	19	3.0	0.5	0.5	['B1', 'D4', 'F#4', 'D5']
75.5	19	3.5	0.125	0.5	['B2', 'D4']
76.0	19	4.0	0.25	0.5	['E2', 'E4', 'G#4', 'E5']
76.5	19	4.5	0.125	0.5	['E3', 'E4']
77.0	20	1.0	1.0	0.5	['A1', 'E4', 'A4', 'E5']
77.5	20	1.5	0.125	0.5	['C#3', 'A3', 'E4']
78.0	20	2.0	0.25	0.5	['A2', 'C#4', 'E4']
78.5	20	2.5	0.125	0.5	['B2', 'D4', 'E4']
79.0	20	3.0	0.5	0.5	['C#3', 'E4']
79.5	20	3.5	0.125	0.5	['E3', 'E4']
80.0	20	4.0	0.25	0.5	['A3', 'C#4']
80.5	20	4.5	0.125	0.5	['G#3', 'B3', 'C#4']
81.0	21	1.0	1.0	0.5	['F#3', 'A3', 'F#4']
81.5	21	1.5	0.125	0.5	['C#3', 'C#4', 'F#4']
82.0	21	2.0	0.25	0.5	['G#2', 'E#4', 'G#4']
82.5	21	2.5	0.125	0.5	['C#2', 'B3', 'G#4']
83.0	21	3.0	0.5	0.5	['F#1', 'F#4', 'A4']
83.5	21	3.5	0.125	0.5	['F#2', 'A3', 'A4']
84.0	21	4.0	0.25	0.5	['A1', 'A4', 'C#5']
84.5	21	4.5	0.125	0.5	['A2', 'F#4', 'C#5']
85.0	22	1.0	1.0	0.5	['B1', 'D5', 'F#5']
85.5	22	1.5	0.125	0.5	['B2', 'F#4', 'D5', 'F#5']
86.0	22	2.0	0.25	0.5	['F#3', 'G#4', 'D5', 'F#5']
86.5	22	2.5	0.125	0.5	['G#3', 'D4', 'D5', 'F#5']
87.0	22	3.0	0.5	0.5	['A3', 'F#4', 'C#5']
87.5	22	3.5	0.125	0.5	['A3', 'C#4', 'C#5']
88.0	22	4.0	0.25	0.5	['F#3', 'A4', 'D5']
88.5	22	4.5	0.125	0.5	['D3', 'D4', 'D5']
89.0	23	1.0	1.0	0.5	['A2', 'C#5', 'E5']
89.5	23	1.5	0.125	0.5	['G#2', 'E4', 'C#5', 'E5']
90.0	23	2.0	0.25	0.5	['F#2', 'A4', 'C#5']
90.5	23	2.5	0.125	0.5	['A2', 'C#4', 'A4', 'C#5']
91.0	23	3.0	0.5	0.5	['D3', 'B3', 'E#4']
91.5	23	3.5	0.125	0.5	['D3', 'G#3', 'E#4']
92.0	23	4.0	0.25	0.5	['C#3', 'A3', 'F#4']
92.5	23	4.5	0.125	0.5	['C#3', 'F#3', 'F#4']
93.0	24	1.0	1.0	0.5	['C#1', 'E#4', 'G#4']
93.5	24	1.5	0.125	0.5	['C#2', 'E#4', 'G#4']
94.0	24	2.0	0.25	0.5	['G#2', 'E#4', 'G#4']
94.5	24	2.5	0.125	0.5	['C#3', 'E#4', 'G#4']
95.0	24	3.0	0.5	1.0	['G#3']
96.0	24	4.0	0.25	0.5	['D4', 'F#4']
96.5	24	4.5	0.125	0.5	['C#4', 'E#4', 'F#4']
97.0	25	1.0	1.0	0.5	['B3', 'D4', 'G4']
97.5	25	1.5	0.125	0.5	['A3', 'C#4', 'G4']
98.0	25	2.0	0.25	0.5	['G3', 'B3', 'A4']
98.5	25	2.5	0.125	0.5	['F#3', 'A3', 'A4']
99.0	25	3.0	0.5	0.5	['E3', 'G4', 'B4']
99.5	25	3.5	0.125	0.5	['D3', 'B3', 'B4']
100.0	25	4.0	0.25	0.5	['C#3', 'B4', 'D5']
100.5	25	4.5	0.125	0.5	['B2', 'D4', 'D5']
101.0	26	1.0	1.0	0.5	['A2', 'A4', 'C#5']
101.5	26	1.5	0.125	0.5	['B2', 'C#4', 'C#5']
102.0	26	2.0	0.25	0.5	['C#3', 'G4', 'B4']
102.5	26	2.5	0.125	0.5	['A2', 'B3', 'B4']
103.0	26	3.0	0.5	0.5	['D3', 'F#4', 'A4']
103.5	26	3.5	0.125	0.5	['E3', 'A3', 'A4']
104.0	26	4.0	0.25	0.5	['F#3', 'C#4', 'F#4']
104.5	26	4.5	0.125	0.5	['F#3', 'A3', 'F#4']
105.0	27	1.0	1.0	0.5	['G3', 'B3', 'E4']
105.5	27	1.5	0.125	0.5	['A3', 'C#4', 'E4']
106.0	27	2.0	0.25	0.5	['G3', 'B3', 'F#4']
106.5	27	2.5	0.125	0.5	['F#3', 'A3', 'F#4']
107.0	27	3.0	0.5	0.5	['E3', 'B3', 'G4']
107.5	27	3.5	0.125	0.5	['B2', 'E4', 'G4']
108.0	27	4.0	0.25	0.5	['G2', 'D4', 'B4']
108.5	27	4.5	0.125	0.5	['E2', 'G4', 'B4']
109.0	28	1.0	1.0	0.5	['A1', 'F#4', 'A4']
109.5	28	1.5	0.125	0.5	['A2', 'A3', 'F#4']
110.0	28	2.0	0.25	0.5	['B-1', 'E4', 'G4']
110.5	28	2.5	0.125	0.5	['B-2', 'G3', 'E4']
