Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	4.0	0.25	0.5	['E-4', 'C5']
0.5	1	1.0	1.0	0.5	['C2', 'C3', 'G4', 'E-5']
1.0	1	2.0	0.25	0.5	['C2', 'C3', 'E-4', 'E-5']
1.5	1	3.0	0.5	0.5	['E-2', 'E-3', 'C4', 'G4', 'C5']
2.0	1	4.0	0.25	0.5	['F2', 'F3', 'D4', 'A-4', 'D5']
2.5	2	1.0	1.0	0.5	['G2', 'G3', 'B3', 'G4']
3.0	2	2.0	0.25	0.5	['A2', 'G3', 'C4', 'G4']
3.5	2	3.0	0.5	0.5	['B2', 'G3', 'D4', 'G4']
4.0	2	4.0	0.25	0.5	['G2', 'G3', 'B3', 'G4']
4.5	3	1.0	1.0	0.5	['A-2', 'E-3', 'C4', 'C5']
5.0	3	2.0	0.25	0.5	['A-2', 'E-3', 'E-4', 'C5']
5.5	3	3.0	0.5	0.5	['C3', 'A-3', 'E-4', 'A-4']
6.0	3	4.0	0.25	0.5	['B-2', 'A-3', 'D4', 'A-4', 'B-4']
6.5	4	1.0	1.0	0.5	['E-2', 'B-2', 'G3', 'E-4', 'G4']
7.0	4	2.0	0.25	0.5	['E-2', 'B-2', 'B-3', 'E-4']
7.5	4	3.0	0.5	0.5	['B-2', 'E-4']
8.0	4	4.0	0.25	0.5	['C3', 'E-4']
8.5	5	1.0	1.0	0.5	['D2', 'D3', 'A-3', 'F4']
9.0	5	2.0	0.25	0.5	['D2', 'D3', 'C4', 'F4']
9.5	5	3.0	0.5	0.5	['G2', 'G3', 'B3', 'F4']
10.0	5	4.0	0.25	0.5	['F2', 'F3', 'G3', 'D4', 'A-4']
10.5	6	1.0	1.0	0.5	['E-2', 'E-3', 'C4', 'G4']
11.0	6	2.0	0.25	0.5	['E-2', 'E-3', 'G3', 'G4']
11.5	6	3.0	0.5	0.5	['A-2', 'F3', 'C4']
12.0	6	4.0	0.25	0.5	['G2', 'E-3', 'C4']
12.5	7	1.0	1.0	0.5	['F2', 'D3', 'A-3', 'C4']
13.0	7	2.0	0.25	0.25	['F2', 'D3', 'A-3', 'C4']
13.25	7	2.5	0.125	0.25	['F2', 'D3', 'A-3', 'C4']
13.5	7	3.0	0.5	0.5	['G-2', 'E-3', 'A3', 'C4', 'E-4']
14.0	7	4.0	0.25	0.5	['G-2', 'E-3', 'A3', 'C4']
14.5	8	1.0	1.0	0.5	['G2', 'D3', 'G3', 'B3', 'G4']
15.0	8	2.0	0.25	0.5	['G3', 'D4', 'G4']
15.5	8	3.0	0.5	0.5	['B3', 'G4']
16.0	8	4.0	0.25	0.5	['G3', 'E-4', 'C5']
16.5	9	1.0	1.0	0.25	['C3', 'G3', 'C4', 'A-4', 'C5', 'E-5']
16.75	9	1.5	0.125	0.25	['C3', 'G3', 'C4', 'G4', 'C5', 'E-5']
17.0	9	2.0	0.25	0.25	['C3', 'G3', 'C4', 'F#4', 'C5', 'E-5']
17.25	9	2.5	0.125	0.25	['C3', 'G3', 'C4', 'G4', 'C5', 'E-5']
17.5	9	3.0	0.5	0.5	['C3', 'F3', 'C4', 'A-4', 'E-5']
18.0	9	4.0	0.25	0.5	['C3', 'F3', 'C4', 'A-4', 'E-5', 'F5']
18.5	10	1.0	1.0	0.25	['B2', 'D3', 'B3', 'A-4', 'D5']
18.75	10	1.5	0.125	0.25	['B2', 'D3', 'B3', 'G4', 'D5']
19.0	10	2.0	0.25	0.25	['B2', 'D3', 'B3', 'F#4', 'D5']
19.25	10	2.5	0.125	0.25	['B2', 'D3', 'B3', 'G4', 'D5']
19.5	10	3.0	0.5	0.5	['G2', 'G3', 'D4', 'B4']
20.0	10	4.0	0.25	0.5	['F2', 'F3', 'B3', 'G4']
20.5	11	1.0	1.0	0.25	['E2', 'C3', 'E3', 'A-4', 'C5']
20.75	11	1.5	0.125	0.25	['E2', 'C3', 'E3', 'G4', 'C5']
21.0	11	2.0	0.25	0.25	['E2', 'C3', 'E3', 'F#4', 'C5']
21.25	11	2.5	0.125	0.25	['E2', 'C3', 'E3', 'G4', 'C5']
21.5	11	3.0	0.5	0.5	['C2', 'C3', 'D-4', 'G4', 'B-4', 'D-5']
22.0	11	4.0	0.25	0.5	['C2', 'C3', 'B-3', 'E4', 'G4', 'B-4']
22.5	12	1.0	1.0	0.25	['F2', 'C3', 'F3', 'D-4', 'F4', 'A-4']
22.75	12	1.5	0.125	0.25	['F2', 'C3', 'F3', 'C4', 'F4', 'A-4']
23.0	12	2.0	0.25	0.25	['F2', 'C3', 'F3', 'B3', 'F4', 'A-4']
23.25	12	2.5	0.125	0.25	['F2', 'C3', 'F3', 'C4', 'F4', 'A-4']
23.5	12	3.0	0.5	0.5	['F2', 'C3', 'F3', 'A-3', 'F4']
24.0	12	4.0	0.25	0.5	['F2', 'C3', 'F3', 'C4', 'A-4', 'C5']
24.5	13	1.0	1.0	0.5	['G2', 'G3', 'E-4', 'G4', 'C5']
25.0	13	2.0	0.25	0.5	['G2', 'G3', 'C4', 'C5']
25.5	13	3.0	0.5	0.5	['F2', 'F3', 'E-4', 'A-4', 'C5']
26.0	13	4.0	0.25	0.5	['F2', 'F3', 'D4', 'C5']
26.5	14	1.0	1.0	0.5	['E-2', 'E-3', 'G4', 'C5']
27.0	14	2.0	0.25	0.5	['E-2', 'E-3', 'C4', 'C5']
27.5	14	3.0	0.5	0.5	['E-1', 'E-2', 'G3', 'C4', 'G4']
28.0	14	4.0	0.25	0.5	['E-1', 'E-2', 'C4', 'C5']
28.5	15	1.0	1.0	0.5	['G-1', 'G-2', 'E-4', 'A-4', 'C5']
29.0	15	2.0	0.25	0.25	['G-1', 'G-2', 'C4', 'C5']
29.25	15	2.5	0.125	0.25	['G-1', 'G-2', 'C4', 'C5']
29.5	15	3.0	0.5	0.5	['G-1', 'G-2', 'E-4', 'C5', 'E-5']
30.0	15	4.0	0.25	0.5	['G-1', 'G-2', 'C4', 'A-4', 'C5']
30.5	16	1.0	1.0	0.25	['G1', 'G2', 'A-3', 'E-4', 'G4']
30.75	16	1.5	0.125	0.25	['G1', 'G2', 'G3', 'E-4', 'G4']
31.0	16	2.0	0.25	0.25	['G1', 'G2', 'F#3', 'E-4', 'G4']
31.25	16	2.5	0.125	0.25	['G1', 'G2', 'G3', 'E-4', 'G4']
31.5	16	3.0	0.5	0.5	['A-1', 'A-2', 'E-3', 'C4']
32.0	16	4.0	0.25	0.5	['A-1', 'A-2', 'A-3', 'C4']
32.5	17	1.0	1.0	0.25	['F1', 'F2', 'E-3', 'A-3', 'C4']
32.75	17	1.5	0.125	0.25	['F1', 'F2', 'D3', 'A-3', 'C4']
33.0	17	2.0	0.25	0.25	['F1', 'F2', 'C#3', 'A-3', 'C4']
33.25	17	2.5	0.125	0.25	['F1', 'F2', 'D3', 'A-3', 'C4']
33.5	17	3.0	0.5	0.5	['G1', 'G2', 'F3', 'B3', 'A-4']
34.0	17	4.0	0.25	0.5	['G1', 'G2', 'G3', 'B3']
34.5	18	1.0	1.0	0.5	['C2', 'E-3', 'G3', 'C4']
35.0	18	2.0	0.25	0.5	['A-2', 'E-3', 'G3', 'C4']
35.5	18	3.0	0.5	0.5	['G2', 'E-3', 'G3', 'C4']
36.0	18	4.0	0.25	0.5	['E-2', 'E-3', 'G3', 'C4']
36.5	19	1.0	1.0	1.0	['C1', 'C2']
37.5	19	3.0	0.5	0.5	
