Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['D-2', 'A-2', 'F3']
0.5	1	1.17	0.125	0.5	['D-2', 'A-2', 'A-3']
1.0	1	1.33	0.25	0.5	['D-2', 'A-2', 'D-4']
1.5	1	1.5	0.125	0.5	['D-2', 'A-2', 'F4']
2.0	1	1.67	0.25	0.5	['D-2', 'A-2', 'A-4']
2.5	1	1.83	0.125	0.5	['D-2', 'A-2', 'F5']
3.0	1	2.0	0.5	0.5	['D-2', 'D-3', 'E-5']
3.5	1	2.17	0.125	0.5	['D-2', 'D-3', 'D-5']
4.0	1	2.33	0.25	0.5	['D-2', 'D-3', 'A-4']
4.5	1	2.5	0.125	0.5	['D-2', 'D-3', 'F4']
5.0	1	2.67	0.25	0.5	['D-2', 'F3', 'E-4']
5.5	1	2.83	0.125	0.5	['D-2', 'F3', 'D-4']
6.0	2	1.0	1.0	0.5	['D-2', 'B--2', 'F-3']
6.5	2	1.17	0.125	0.5	['D-2', 'B--2', 'B--3']
7.0	2	1.33	0.25	0.5	['D-2', 'B--2', 'D-4']
7.5	2	1.5	0.125	0.5	['D-2', 'B--2', 'F-4']
8.0	2	1.67	0.25	0.5	['D-2', 'B--2', 'B--4']
8.5	2	1.83	0.125	0.5	['D-2', 'B--2', 'F-5']
9.0	2	2.0	0.5	0.5	['D-2', 'D-3', 'E-5']
9.5	2	2.17	0.125	0.5	['D-2', 'D-3', 'D-5']
10.0	2	2.33	0.25	0.5	['D-2', 'D-3', 'B--4']
10.5	2	2.5	0.125	0.5	['D-2', 'D-3', 'F-4']
11.0	2	2.67	0.25	0.5	['D-2', 'E-3', 'E-4']
11.5	2	2.83	0.125	0.5	['D-2', 'F-3', 'D-4']
12.0	3	1.0	1.0	0.5	['D-2', 'A-2', 'F3']
12.5	3	1.17	0.125	0.5	['D-2', 'A-2', 'A-3']
13.0	3	1.33	0.25	0.5	['D-2', 'A-2', 'D-4']
13.5	3	1.5	0.125	0.5	['D-2', 'A-2', 'F4']
14.0	3	1.67	0.25	0.5	['D-2', 'A-2', 'F4', 'A-4']
14.5	3	1.83	0.125	0.5	['D-2', 'A-2', 'F4', 'F5']
15.0	3	2.0	0.5	0.5	['D-2', 'D-3', 'A-4', 'E-5']
15.5	3	2.17	0.125	0.5	['D-2', 'D-3', 'A-4', 'D-5']
16.0	3	2.33	0.25	0.5	['D-2', 'D-3', 'A-4']
16.5	3	2.5	0.125	0.5	['D-2', 'D-3', 'F4', 'A-4']
17.0	3	2.67	0.25	0.5	['D-2', 'D-3', 'E-4', 'A-4']
17.5	3	2.83	0.125	0.5	['D-2', 'D-3', 'D-4', 'A-4']
18.0	4	1.0	1.0	0.5	['D-2', 'B-2', 'G-3', 'B-4']
18.5	4	1.17	0.125	0.5	['D-2', 'B-2', 'B-3', 'B-4']
19.0	4	1.33	0.25	0.5	['D-2', 'B-2', 'D-4', 'B-4']
19.5	4	1.5	0.125	0.5	['D-2', 'B-2', 'G-4', 'B-4']
20.0	4	1.67	0.25	0.5	['D-2', 'B-2', 'B-4']
20.5	4	1.83	0.125	0.5	['D-2', 'B-2', 'B-4', 'G-5']
21.0	4	2.0	0.5	0.5	['D-2', 'E-3', 'B-4', 'F5']
21.5	4	2.17	0.125	0.5	['D-2', 'E-3', 'B-4', 'E-5']
22.0	4	2.33	0.25	0.5	['D-2', 'E-3', 'B-4']
22.5	4	2.5	0.125	0.5	['D-2', 'E-3', 'G-4']
23.0	4	2.67	0.25	0.5	['D-2', 'G-3', 'E-4', 'G-4']
23.5	4	2.83	0.125	0.5	['D-2', 'G-3', 'B-3', 'A-4']
24.0	5	1.0	1.0	0.5	['E-2', 'B-2', 'G-3', 'B-4']
24.5	5	1.17	0.125	0.5	['E-2', 'B-2', 'B-3', 'B-4']
25.0	5	1.33	0.25	0.5	['E-2', 'B-2', 'E-4', 'B-4']
25.5	5	1.5	0.125	0.5	['E-2', 'B-2', 'G-4', 'B-4']
26.0	5	1.67	0.25	0.5	['E-2', 'B-2', 'B-4']
26.5	5	1.83	0.125	0.5	['E-2', 'B-2', 'B-4', 'B-5']
27.0	5	2.0	0.5	0.5	['E-2', 'E-3', 'A-4', 'G-5']
27.5	5	2.17	0.125	0.5	['E-2', 'E-3', 'A-4', 'E-5']
28.0	5	2.33	0.25	0.5	['E-2', 'F3', 'A-4', 'B-4']
28.5	5	2.5	0.125	0.5	['E-2', 'F3', 'G-4', 'A-4']
29.0	5	2.67	0.25	0.5	['E-2', 'G-3', 'F4', 'G-4']
29.5	5	2.83	0.125	0.5	['E-2', 'G-3', 'E-4', 'G-4']
30.0	6	1.0	1.0	0.5	['A-2', 'E-3', 'C4', 'C5']
30.5	6	1.17	0.125	0.5	['A-2', 'E-3', 'G-4', 'C5']
31.0	6	1.33	0.25	0.5	['A-2', 'E-3', 'A-4', 'C5']
31.5	6	1.5	0.125	0.5	['A-2', 'E-3', 'C5']
32.0	6	1.67	0.25	0.5	['A-2', 'E-3', 'C5', 'A-5']
32.5	6	1.83	0.125	0.5	['A-2', 'E-3', 'C5', 'C6']
33.0	6	2.0	0.5	0.5	['A-2', 'A-3', 'C5', 'B-5']
33.5	6	2.17	0.125	0.5	['A-2', 'A-3', 'C5', 'G-5']
34.0	6	2.33	0.25	0.5	['A-2', 'B-3', 'C5']
34.5	6	2.5	0.125	0.5	['A-2', 'B-3', 'B-4', 'C5']
35.0	6	2.67	0.25	0.5	['A-2', 'C4', 'A-4']
35.5	6	2.83	0.125	0.5	['A-2', 'C4', 'E-4']
36.0	7	1.0	1.0	0.5	['B-2', 'B-3', 'D-5']
36.5	7	1.17	0.125	0.5	['B-2', 'B-3', 'D-4', 'D-5']
37.0	7	1.33	0.25	0.5	['B-2', 'G-3', 'B-4']
37.5	7	1.5	0.125	0.5	['B-2', 'G-3', 'D-4', 'B-4']
38.0	7	1.67	0.25	0.5	['B-2', 'E-3', 'G-4']
38.5	7	1.83	0.125	0.5	['B-2', 'E-3', 'D-4', 'G-4']
39.0	7	2.0	0.5	0.5	['C3', 'G-3', 'F4']
39.5	7	2.17	0.125	0.5	['C3', 'G-3', 'A-3', 'F4']
40.0	7	2.33	0.25	0.5	['C3', 'G-3', 'F4']
40.5	7	2.5	0.125	0.5	['C3', 'G-3', 'A-4']
41.0	7	2.67	0.25	0.5	['C3', 'A-3', 'E-4']
41.5	7	2.83	0.125	0.5	['C3', 'A-3', 'C4', 'E-4']
42.0	8	1.0	1.0	0.5	['B-2', 'B-3', 'D-5']
42.5	8	1.17	0.125	0.5	['B-2', 'B-3', 'D-4', 'D-5']
43.0	8	1.33	0.25	0.5	['B-2', 'G-3', 'B-4']
43.5	8	1.5	0.125	0.5	['B-2', 'G-3', 'D-4', 'B-4']
44.0	8	1.67	0.25	0.5	['B-2', 'E-3', 'G-4']
44.5	8	1.83	0.125	0.5	['B-2', 'E-3', 'D-4', 'G-4']
45.0	8	2.0	0.5	0.5	['A-2', 'G-3', 'C5']
45.5	8	2.17	0.125	0.5	['A-2', 'G-3', 'C4', 'C5']
46.0	8	2.33	0.25	0.5	['A-2', 'G-3', 'A-4', 'C5']
46.5	8	2.5	0.125	0.5	['A-2', 'F3', 'D-4', 'D-5']
47.0	8	2.67	0.25	0.5	['A-2', 'C3', 'G-4', 'E-5']
47.5	8	2.83	0.125	0.5	['A-2', 'C3', 'A-4', 'E-5']
48.0	9	1.0	1.0	0.5	['A2', 'F5']
48.5	9	1.17	0.125	0.5	['A2', 'F4']
49.0	9	1.33	0.25	0.5	['F3', 'C5']
49.5	9	1.5	0.125	0.5	['F3', 'F5']
50.0	9	1.67	0.25	0.5	['C4', 'F6']
50.5	9	1.83	0.125	0.5	['C4', 'E-6']
