Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	3.5	0.25	0.5	['A5']
0.5	2	1.0	1.0	0.5	['F3', 'C6']
1.0	2	1.5	0.25	0.25	
1.25	2	1.75	0.125	0.25	['C4', 'A5']
1.5	2	2.0	0.5	0.5	['A4', 'F5', 'C6']
2.0	2	2.5	0.25	0.25	['F5']
2.25	2	2.75	0.125	0.25	['F4', 'F5']
2.5	2	3.0	0.5	0.5	['C5', 'F5']
3.0	2	3.5	0.25	0.5	['F6']
3.5	3	1.0	1.0	0.5	['F3', 'E5', 'B-5']
4.0	3	1.5	0.25	0.25	['E5', 'B-5']
4.25	3	1.75	0.125	0.25	['C4', 'E5', 'A5']
4.5	3	2.0	0.5	0.5	['B-4', 'E5', 'G5']
5.0	3	2.5	0.25	0.25	['E5', 'G5']
5.25	3	2.75	0.125	0.25	['E4', 'E5', 'G5']
5.5	3	3.0	0.5	0.5	['C5', 'G5']
6.0	3	3.5	0.25	0.5	['C6']
6.5	4	1.0	1.0	0.5	['F3', 'C5', 'A5']
7.0	4	1.5	0.25	0.25	['C5', 'A5']
7.25	4	1.75	0.125	0.25	['C4', 'C5', 'G5']
7.5	4	2.0	0.5	0.5	['A4', 'C5', 'F5']
8.0	4	2.5	0.25	0.25	['F5']
8.25	4	2.75	0.125	0.25	['F4', 'F5']
8.5	4	3.0	0.5	0.5	['C5', 'F5']
9.0	4	3.5	0.25	0.5	['A5']
9.5	5	1.0	1.0	0.75	['G3', 'D4', 'G4', 'B4', 'F5', 'G5']
10.25	5	1.75	0.125	0.25	['G3', 'D4', 'G4', 'B4', 'D6']
10.5	5	2.0	0.5	0.5	['C4', 'G4', 'C5', 'E5', 'G5', 'C6']
11.0	5	2.5	0.25	0.25	
11.25	5	2.75	0.125	0.25	['G5', 'G6']
11.5	5	3.0	0.5	0.5	['C5', 'E6', 'C7']
12.0	5	3.5	0.25	0.5	['A4']
12.5	6	1.0	1.0	0.5	['F2', 'C5']
13.0	6	1.5	0.25	0.25	['C5']
13.25	6	1.75	0.125	0.25	['C3', 'A4']
13.5	6	2.0	0.5	0.5	['A3', 'F4', 'C5']
14.0	6	2.5	0.25	0.25	['C5']
14.25	6	2.75	0.125	0.25	['C4', 'C5', 'A5']
14.5	6	3.0	0.5	0.5	['A4', 'F5', 'C6']
15.0	6	3.5	0.25	0.5	['F5']
