Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.25	['A2', 'C4']
0.25	1	1.5	0.25	0.25	['A2', 'E4']
0.5	1	2.0	0.5	0.25	['A2', 'A4']
0.75	1	2.5	0.25	0.25	['A2', 'E4']
1.0	1	3.0	0.5	0.25	['A2', 'B3', 'G#4']
1.25	1	3.5	0.25	0.25	['A2', 'E4']
1.5	2	1.0	1.0	0.25	['A3', 'C4']
1.75	2	1.5	0.25	0.25	['A3', 'E4']
2.0	2	2.0	0.5	0.25	['A3', 'A4']
2.25	2	2.5	0.25	0.25	['A3', 'E4']
2.5	2	3.0	0.5	0.25	['A3', 'G#4', 'B4']
2.75	2	3.5	0.25	0.25	['A3', 'E4']
3.0	3	1.0	1.0	0.25	['A2', 'C5']
3.25	3	1.5	0.25	0.25	['A2', 'A4']
3.5	3	2.0	0.5	0.25	['A2', 'D5', 'F5']
3.75	3	2.5	0.25	0.25	['A2', 'A4']
4.0	3	3.0	0.5	0.25	['A2', 'C5', 'E5']
4.25	3	3.5	0.25	0.25	['A2', 'A4']
4.5	4	1.0	1.0	0.25	['A3', 'F4', 'D5']
4.75	4	1.5	0.25	0.25	['A3', 'A4']
5.0	4	2.0	0.5	0.25	['A3', 'E4', 'C5']
5.25	4	2.5	0.25	0.25	['A3', 'A4']
5.5	4	3.0	0.5	0.25	['A3', 'D4', 'E4', 'B4']
5.75	4	3.5	0.25	0.25	['A3', 'E4', 'G#4']
6.0	5	1.0	1.0	0.25	['A2', 'C4', 'E5']
6.25	5	1.5	0.25	0.25	['A2', 'E4', 'E5']
6.5	5	2.0	0.5	0.25	['A2', 'A4', 'E5']
6.75	5	2.5	0.25	0.25	['A2', 'C4', 'E5']
7.0	5	3.0	0.5	0.25	['A2', 'B3', 'D#5']
7.25	5	3.5	0.25	0.25	['A2', 'A4', 'D#5']
7.5	6	1.0	1.0	0.25	['A3', 'C4', 'E5']
7.75	6	1.5	0.25	0.25	['A3', 'E4', 'E5']
8.0	6	2.0	0.5	0.25	['A3', 'A4', 'E5']
8.25	6	2.5	0.25	0.25	['A3', 'C4', 'E5']
8.5	6	3.0	0.5	0.25	['A3', 'B3', 'D#5']
8.75	6	3.5	0.25	0.25	['A3', 'A4', 'D#5']
9.0	7	1.0	1.0	0.25	['A2', 'C4', 'E5']
9.25	7	1.5	0.25	0.25	['A2', 'E4', 'E5']
9.5	7	2.0	0.5	0.25	['A2', 'A4', 'E5']
9.75	7	2.5	0.25	0.25	['A2', 'E4', 'E5']
10.0	7	3.0	0.5	0.25	['A2', 'C4', 'E5']
10.25	7	3.5	0.25	0.25	['A2', 'E4', 'E5']
10.5	8	1.0	1.0	0.25	['D3', 'A3', 'D4', 'A4']
10.75	8	1.5	0.25	0.25	['D3', 'A3', 'F4', 'A4']
11.0	8	2.0	0.5	0.25	['D3', 'A3', 'A4']
11.25	8	2.5	0.25	0.25	['D3', 'A3', 'F4', 'A4']
11.5	8	3.0	0.5	0.25	['D3', 'A3', 'D4', 'A4']
11.75	8	3.5	0.25	0.25	['D3', 'A3', 'F4', 'A4']
12.0	9	1.0	1.0	0.25	['A2', 'A3', 'E4', 'C5']
12.25	9	1.5	0.25	0.25	['A2', 'A3', 'A4', 'C5']
12.5	9	2.0	0.5	0.25	['A2', 'A3', 'C5']
12.75	9	2.5	0.25	0.25	['A2', 'A3', 'A4', 'C5']
13.0	9	3.0	0.5	0.25	['A2', 'A3', 'E4', 'C5']
13.25	9	3.5	0.25	0.25	['A2', 'A3', 'A4', 'C5']
