Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	4.5	0.125	0.5	['D4']
0.5	1	1.0	1.0	0.33	['D3', 'F#3', 'A4']
0.83	1	1.33	0.0625	0.33	['D3', 'F#3', 'A3', 'A4']
1.17	1	1.67	0.0625	0.08	['D3', 'F#3', 'D4', 'A4']
1.25	1	1.75	0.0625	0.25	['D3', 'F#3', 'D4', 'A4']
1.5	1	2.0	0.25	0.33	['D3', 'F#3', 'F#4', 'G#4']
1.83	1	2.33	0.0625	0.17	['D3', 'F#3', 'D4', 'G#4']
2.0	1	2.5	0.125	0.17	['D3', 'F#3', 'D4', 'A4']
2.17	1	2.67	0.0625	0.33	['D3', 'F#3', 'A3', 'A4']
2.5	1	3.0	0.5	0.33	['D3', 'F3', 'G#3', 'D5']
2.83	1	3.33	0.0625	0.33	['D3', 'F3', 'G#3', 'B3', 'D5']
3.17	1	3.67	0.0625	0.33	['D3', 'F3', 'G#3', 'D4', 'D5']
3.5	1	4.0	0.25	0.33	['D3', 'F3', 'G#3', 'G#4', 'D5']
3.83	1	4.33	0.0625	0.17	['D3', 'F3', 'G#3', 'D4', 'D5']
4.0	1	4.5	0.125	0.17	['D3', 'F3', 'G#3', 'D4', 'C#5']
4.17	1	4.67	0.0625	0.08	['D3', 'F3', 'G#3', 'B3', 'C#5']
4.25	1	4.75	0.0625	0.25	['D3', 'F3', 'G#3', 'B3', 'B4']
4.5	2	1.0	1.0	0.33	['C#3', 'E3', 'G3', 'B4']
4.83	2	1.33	0.0625	0.33	['C#3', 'E3', 'G3', 'A3', 'B4']
5.17	2	1.67	0.0625	0.33	['C#3', 'E3', 'G3', 'E4', 'B4']
5.5	2	2.0	0.25	0.33	['C#3', 'E3', 'G3', 'G4', 'A4']
5.83	2	2.33	0.0625	0.33	['C#3', 'E3', 'G3', 'E4', 'A4']
6.17	2	2.67	0.0625	0.33	['C#3', 'E3', 'G3', 'A3', 'A4']
6.5	2	3.0	0.5	0.33	['C#3', 'E3', 'G3']
