Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	0	2.0	0.5	0.5	['A-1', 'A-2']
0.5	0	2.33	0.25	0.5	['C3']
1.0	0	2.67	0.25	0.5	['D-3']
1.5	1	1.0	1.0	0.5	['E-3', 'E-4', 'C5']
2.0	1	1.33	0.25	0.5	['F3', 'E-4', 'C5']
2.5	1	1.67	0.25	0.5	['G3', 'D-4', 'B-4']
3.0	2	1.0	1.0	0.5	['A-2', 'A-3', 'C4', 'A-4']
3.5	2	1.33	0.25	0.5	['A-2', 'B-3', 'C4', 'A-4']
4.0	2	1.67	0.25	0.5	['A-2', 'A-3', 'C4', 'E-4']
4.5	2	2.0	0.5	0.5	['A-2', 'G3', 'D-4', 'F-4']
5.0	2	2.33	0.25	0.5	['A-2', 'G3', 'B-3', 'F-4']
5.5	2	2.67	0.25	0.5	['A-2', 'A-3', 'C4', 'E-4']
6.0	3	1.0	1.0	0.5	['A-2', 'G3', 'D-4', 'E4']
6.5	3	1.33	0.25	0.5	['A-2', 'G3', 'B-3', 'E4']
7.0	3	1.67	0.25	0.5	['A-2', 'A-3', 'C4', 'F4']
7.5	3	2.0	0.5	0.5	['A-2', 'E3', 'D-4', 'G4']
8.0	3	2.33	0.25	0.5	['A-2', 'E3', 'B-3', 'G4']
8.5	3	2.67	0.25	0.5	['A-2', 'F3', 'A-3', 'C4', 'A-4']
9.0	4	1.0	1.0	0.5	['B-1', 'B-2', 'C4', 'G-4', 'A4', 'E-5']
9.5	4	1.33	0.25	0.5	['B-1', 'B-2', 'D-4', 'F4', 'B-4', 'D-5']
10.0	4	1.67	0.25	0.5	['B-1', 'B-2', 'A3', 'E-4', 'G-4', 'C5']
10.5	4	2.0	0.5	0.5	['B-1', 'B-2', 'B-3', 'D-4', 'F4', 'D-5']
11.0	4	2.33	0.25	0.5	['B-1', 'B-2', 'B-3', 'D-4', 'F4', 'B-4']
11.5	4	2.67	0.25	0.5	['B-1', 'B-2', 'B-3', 'D-4', 'F-4', 'A-4', 'A4']
12.0	5	1.0	1.0	0.5	['E-2', 'E-4', 'G4']
12.5	5	1.33	0.25	0.5	['E-2', 'B-3', 'G4']
13.0	5	1.67	0.25	0.5	['E-2', 'E-4']
13.5	5	2.0	0.5	0.5	['E-3', 'B-3', 'G-4']
14.0	5	2.33	0.25	0.5	['E-3', 'E-4', 'G-4']
14.5	5	2.67	0.25	0.5	['E-3', 'A-3', 'F4']
15.0	6	1.0	1.0	0.5	['E-2', 'C-4', 'A-4']
15.5	6	1.33	0.25	0.5	['E-2', 'E-4', 'A-4']
16.0	6	1.67	0.25	0.5	['E-2', 'B-3', 'G-4']
16.5	6	2.0	0.5	0.5	['E-3', 'D-4', 'A4']
17.0	6	2.33	0.25	0.5	['E-3', 'G4', 'A4']
17.5	6	2.67	0.25	0.5	['G3', 'B-4']
18.0	7	1.0	1.0	0.5	['A-2', 'B-3', 'F-4', 'D-5']
18.5	7	1.33	0.25	0.5	['A-2', 'B-3', 'G4', 'D-5']
19.0	7	1.67	0.25	0.5	['A-2', 'A-3', 'E-4', 'A-4', 'C-5']
19.5	7	2.0	0.5	0.5	['A-3', 'C-4', 'F-5']
20.0	7	2.33	0.25	0.5	['A-3', 'C-4', 'F-4', 'F-5']
20.5	7	2.67	0.25	0.5	['A-3', 'C-4', 'A-4', 'C-5', 'F-5']
21.0	8	1.0	1.0	0.5	['G-3', 'C-4', 'F-5']
21.5	8	1.33	0.25	0.5	['G-3', 'C-4', 'F-4', 'B--4', 'E-5']
22.0	8	1.67	0.25	0.5	['G-3', 'C-4', 'F-4', 'B--4', 'D-5']
22.5	8	2.0	0.5	0.5	['C-2', 'C-3', 'C5']
23.0	8	2.33	0.25	0.5	['C-2', 'C-3', 'E-4', 'B--4', 'D-5']
23.5	8	2.67	0.25	0.5	['C-2', 'C-3', 'E-4', 'G-4', 'B--4']
24.0	9	1.0	1.0	0.5	['C2', 'C3', 'A-4']
24.5	9	1.33	0.25	0.5	['C2', 'C3', 'A-3', 'E-4', 'A-4']
25.0	9	1.67	0.25	0.5	['C2', 'C3', 'E-4', 'G-4', 'A-4']
25.5	9	2.0	0.5	0.5	['C2', 'C3', 'G-4', 'A-4']
26.0	9	2.33	0.25	0.5	['C2', 'C3', 'G-4', 'A-4']
26.5	9	2.67	0.25	0.5	['C2', 'C3', 'G-4', 'A-4']
27.0	10	1.0	1.0	0.5	['D-2', 'D-3', 'F-5']
27.5	10	1.33	0.25	0.5	['D-2', 'D-3', 'A-3', 'D-4', 'F-5']
28.0	10	1.67	0.25	0.5	['D-2', 'D-3', 'D-4', 'F-4', 'D-5']
28.5	10	2.0	0.5	1.0	['D-2', 'D-3', 'F-4', 'A-4', 'C-5']
29.5	10	2.67	0.25	0.5	['D-2', 'D-3', 'F-4', 'A-4', 'B--4']
30.0	11	1.0	1.0	0.5	['E-2', 'E-3', 'B--4']
30.5	11	1.33	0.25	0.5	['E-2', 'E-3', 'A-3', 'C-4', 'B--4']
31.0	11	1.67	0.25	0.5	['E-2', 'E-3', 'C-4', 'E-4', 'A-4']
31.5	11	2.0	0.5	0.5	['E-2', 'E-3', 'E-4', 'A-4']
32.0	11	2.33	0.25	0.5	['E-2', 'E-3', 'E-4', 'A-4']
32.5	11	2.67	0.25	0.5	['E-2', 'E-3', 'E-4', 'A-4']
33.0	12	1.0	1.0	0.5	['E-2', 'E-3', 'E-5']
33.5	12	1.33	0.25	0.5	['E-2', 'E-3', 'G3', 'B-3', 'E-5']
34.0	12	1.67	0.25	0.5	['E-2', 'E-3', 'B-3', 'D-4', 'B-4']
34.5	12	2.0	0.5	1.0	['E-2', 'E-3', 'D-4', 'G4', 'C-5']
35.5	12	2.67	0.25	0.5	['E-2', 'E-3', 'D-4', 'G4']
36.0	13	1.0	1.0	1.5	['F-2', 'F-3', 'A-3', 'A-4']
37.5	13	2.0	0.5	1.0	['E-2', 'E-3', 'A-3', 'G-4', 'A-4']
38.5	13	2.67	0.25	0.5	['D-2', 'D-3', 'A-3', 'F-4', 'A-4']
39.0	14	1.0	1.0	1.0	['C-2', 'C-3', 'A-3', 'E-4']
40.0	14	1.67	0.25	0.5	['B-1', 'B-2', 'D4']
40.5	14	2.0	0.5	1.0	['F-2', 'F-3', 'A-3', 'D-4', 'A-4']
41.5	14	2.67	0.25	0.5	['F-2', 'F-3', 'A-3', 'D-4', 'A-4']
42.0	15	1.0	1.0	0.5	['E-2', 'E-3', 'C-4', 'E-4', 'A-4', 'E-5']
42.5	15	1.33	0.25	0.5	['E-2', 'E-3', 'C-4', 'E-4', 'A-4', 'C-5']
43.0	15	1.67	0.25	0.5	['E-2', 'E-3', 'C-4', 'E-4', 'A-4']
43.5	15	2.0	0.5	1.0	['D-2', 'D-3', 'A-3', 'E-4', 'G-4']
44.5	15	2.67	0.25	0.5	['D-2', 'D-3', 'G3', 'D-4', 'F-4']
45.0	16	1.0	1.0	1.5	['A-1', 'A-2', 'A-3', 'C4', 'E-4']
46.5	16	2.0	0.5	1.0	['A-1', 'A-2', 'B--3', 'D-4', 'E-4']
47.5	16	2.67	0.25	0.5	['A-1', 'A-2', 'G3', 'E-4']
48.0	17	1.0	1.0	1.5	['A-1', 'A-2', 'A-3', 'C4', 'E-4']
49.5	17	2.0	0.5	1.0	['A-1', 'A-2', 'B--3', 'D-4', 'E-4']
50.5	17	2.67	0.25	0.5	['A-1', 'A-2', 'G3']
51.0	18	1.0	1.0	0.5	['A-1', 'A-2', 'A-3', 'C4', 'E-4']
51.5	18	1.33	0.25	0.5	['C3', 'A-3', 'C4', 'E-4']
52.0	18	1.67	0.25	0.5	['D-3', 'A-3', 'C4', 'E-4']
52.5	19	1.0	1.0	1.0	['A-1', 'A-2', 'A-3', 'C4', 'E-4']
53.5	19	1.67	0.25	0.5	
54.0	19	2.0	0.5	1.5	['A-1', 'A-2', 'C4', 'E-4', 'A-4']
55.5	20	1.0	1.0	3.0	['A-1', 'A-2', 'C4', 'E-4', 'A-4']
