Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['C#4', 'E#4', 'G#4']
0.5	1	1.5	0.125	0.5	['C#4', 'E#4', 'G#4']
1.0	1	2.0	0.25	0.5	['G#3', 'E#4', 'G#4', 'C#5', 'E#5']
1.5	1	2.5	0.125	0.5	['G#3', 'E#4', 'G#4', 'C#5', 'E#5']
2.0	1	3.0	0.5	0.5	['G#3', 'E#4', 'G#4', 'C#5', 'E#5']
2.5	1	3.5	0.125	0.5	['G#3', 'E#4', 'G#4', 'C#5', 'E#5']
3.0	1	4.0	0.25	0.5	['F#3', 'B#3', 'G#4', 'D#5']
3.5	1	4.5	0.125	0.5	['F#3', 'B#3', 'G#4', 'D#5']
4.0	2	1.0	1.0	0.5	['E#3', 'C#4', 'G#4', 'C#5']
4.5	2	1.5	0.125	0.5	['E#3', 'C#4', 'G#4', 'C#5']
5.0	2	2.0	0.25	0.5	['D#3', 'D#4', 'G#4', 'B4']
5.5	2	2.5	0.125	0.5	['D#3', 'D#4', 'G#4', 'B4']
6.0	2	3.0	0.5	0.5	['C#3', 'D#4', 'F#4', 'A4']
6.5	2	3.5	0.125	0.5	['C#3', 'D#4', 'F#4', 'A4']
7.0	2	4.0	0.25	0.5	['B#2', 'D#4', 'F#4', 'G#4']
7.5	2	4.5	0.125	0.5	['B#2', 'D#4', 'F#4', 'G#4']
8.0	3	1.0	1.0	0.5	['B2', 'B3', 'C#5']
8.5	3	1.5	0.125	0.5	['B2', 'B3', 'C#4', 'E#4', 'G#4', 'C#5']
9.0	3	2.0	0.25	0.5	['B2', 'B3', 'C#4', 'E#4', 'G#4', 'C#5']
9.5	3	2.5	0.125	0.5	['B2', 'B3', 'C#4', 'E#4', 'G#4', 'C#5']
10.0	3	3.0	0.5	0.5	['A2', 'A3', 'C#5']
10.5	3	3.5	0.125	0.5	['A2', 'A3', 'C#4', 'E4', 'F##4', 'C#5']
11.0	3	4.0	0.25	0.5	['A2', 'A3', 'C#4', 'E4', 'F##4', 'C#5']
11.5	3	4.5	0.125	0.5	['A2', 'A3', 'C#4', 'E4', 'F##4', 'C#5']
12.0	4	1.0	1.0	1.0	['G#2', 'G#3', 'E4', 'G#4', 'E5']
13.0	4	2.0	0.25	0.5	['G#2', 'G#3', 'E4', 'G#4', 'D#5']
13.5	4	2.5	0.125	0.5	['G#2', 'G#3', 'E4', 'G#4', 'C#5']
14.0	4	3.0	0.5	1.0	['G#3', 'D#4', 'F#4', 'G#4', 'C#5']
15.0	4	4.0	0.25	1.0	['G#3', 'D#4', 'F#4', 'G#4', 'B#4']
16.0	5	1.0	1.0	2.0	['C#3', 'E#4', 'G#4', 'C#5', 'E#5']
18.0	5	3.0	0.5	0.5	['C#3', 'E#4', 'G#4', 'C#5']
18.5	5	3.5	0.125	0.5	['C#3', 'E#4', 'G#4', 'C#5']
19.0	5	4.0	0.25	0.5	['C#3', 'E#4', 'G#4', 'A#4', 'C#5']
19.5	5	4.5	0.125	0.5	['C#3', 'E#4', 'G#4', 'A#4', 'C#5']
20.0	6	1.0	1.0	2.0	['C#4', 'E4', 'F##4', 'A#4', 'E5']
22.0	6	3.0	0.5	1.0	['E3', 'E4', 'F##4', 'A#4']
23.0	6	4.0	0.25	1.0	['C#3', 'E4', 'F##4', 'A#4']
24.0	7	1.0	1.0	2.0	['B2', 'D#4', 'F##4', 'A#4', 'D#5']
26.0	7	3.0	0.5	1.0	['B2', 'D#4', 'G#4', 'B4']
27.0	7	4.0	0.25	1.0	['B2', 'D#4', 'G#4', 'B4']
28.0	8	1.0	1.0	2.0	['B3', 'D4', 'F#4', 'G#4', 'D5']
30.0	8	3.0	0.5	1.0	['D3', 'D4', 'E#4', 'G#4']
31.0	8	4.0	0.25	1.0	['B2', 'D4', 'E#4', 'G#4']
32.0	9	1.0	1.0	0.5	['A#2', 'C#4', 'F#4', 'C#5']
32.5	9	1.5	0.125	0.5	['A#3', 'C#4', 'F#4']
33.0	9	2.0	0.25	0.5	['A#3', 'C#4', 'A#4']
33.5	9	2.5	0.125	0.5	['A#3', 'C#4', 'C#5']
34.0	9	3.0	0.5	0.5	['A2', 'F#4', 'F#5']
34.5	9	3.5	0.125	0.5	['A3', 'C#4', 'F#4', 'C#5']
35.0	9	4.0	0.25	0.5	['A3', 'C#4', 'F#4', 'D5']
35.5	9	4.5	0.125	0.25	['A3', 'C#4', 'F#4', 'D5']
35.75	9	4.75	0.0625	0.25	['A3', 'C#4', 'F#4', 'C#5']
36.0	10	1.0	1.0	0.5	['G#2', 'G#3', 'C#5']
36.5	10	1.5	0.125	0.5	['G#2', 'G#3', 'D#4', 'F#4', 'C#5']
37.0	10	2.0	0.25	0.5	['G#2', 'G#3', 'D#4', 'F#4', 'B#4']
37.5	10	2.5	0.125	0.5	['G#2', 'G#3', 'D#4', 'F#4', 'B#4']
38.0	10	3.0	0.5	0.5	['F#2', 'F#3']
38.5	10	3.5	0.125	0.5	['F#2', 'F#3', 'B#3', 'D#4', 'A4', 'B#4']
39.0	10	4.0	0.25	0.5	['F#2', 'F#3', 'B#3', 'D#4', 'A4', 'B#4', 'D#5']
39.5	10	4.5	0.125	0.25	['F#2', 'F#3', 'B#3', 'D#4', 'A4', 'B#4', 'D#5']
39.75	10	4.75	0.0625	0.25	['F#2', 'F#3', 'B#3', 'D#4', 'A4', 'B#4', 'C#5']
40.0	11	1.0	1.0	0.5	['E#2', 'E#3', 'C#5']
40.5	11	1.5	0.125	0.5	['E#2', 'E#3', 'C#4', 'G#4', 'C#5']
41.0	11	2.0	0.25	0.5	['E2', 'E3', 'C#4', 'G#4']
41.5	11	2.5	0.125	0.5	['E2', 'E3', 'C#4', 'E4', 'G#4']
42.0	11	3.0	0.5	0.5	['D#2', 'D#3', 'C#4', 'E4', 'B4']
42.5	11	3.5	0.125	0.5	['D#2', 'D#3', 'B3', 'F#4', 'B4']
43.0	11	4.0	0.25	0.5	['C#2', 'C#3', 'B3', 'F#4', 'B4']
43.5	11	4.5	0.125	0.5	['C#2', 'C#3', 'C#4', 'E4', 'A4']
44.0	12	1.0	1.0	1.0	['G#2', 'G#3', 'C#4', 'E4', 'F##4']
45.0	12	2.0	0.25	1.0	['G#3', 'E4', 'F##4', 'C#5']
46.0	12	3.0	0.5	1.0	['G#3', 'D#4', 'G#4', 'B#4']
47.0	12	4.0	0.25	1.0	['G#2', 'G#3', 'B#3', 'D#4']
48.0	13	1.0	1.0	0.5	['F#2', 'F#3', 'D#5']
48.5	13	1.5	0.125	0.5	['G#3', 'B#3', 'D#4', 'D#5']
49.0	13	2.0	0.25	0.5	['B#3', 'D#4', 'G#4', 'D#5']
49.5	13	2.5	0.125	0.5	['D#4', 'G#4', 'B#4', 'D#5']
50.0	13	3.0	0.5	1.0	['G#4', 'B#4', 'D#5']
51.0	13	4.0	0.25	0.5	['G#4']
51.5	13	4.5	0.125	0.5	['G#4']
52.0	14	1.0	1.0	0.5	['E#2', 'E#3', 'A#4']
52.5	14	1.5	0.125	0.5	['G#3', 'C#4', 'E#4', 'A#4']
53.0	14	2.0	0.25	0.5	['C#4', 'E#4', 'G#4']
53.5	14	2.5	0.125	0.5	['E#4', 'G#4', 'C#5']
54.0	14	3.0	0.5	1.0	['G#4', 'C#5', 'E#5']
55.0	14	4.0	0.25	1.0	['G#4']
56.0	15	1.0	1.0	0.5	['D#2', 'D#3', 'F#5']
56.5	15	1.5	0.125	0.5	['G#3', 'B#3', 'F#4', 'F#5']
57.0	15	2.0	0.25	0.5	['D#4', 'F#4', 'G#4', 'F#5']
57.5	15	2.5	0.125	0.5	['F#4', 'G#4', 'B#4', 'F#5']
58.0	15	3.0	0.5	0.5	['G#4', 'B#4', 'F#5']
58.5	15	3.5	0.125	0.5	['G#4', 'B#4', 'D#5', 'F#5']
59.0	15	4.0	0.25	0.5	['B#4']
59.5	15	4.5	0.125	0.5	['G#4']
60.0	16	1.0	1.0	0.5	['C##2', 'C##3', 'B4']
60.5	16	1.5	0.125	0.5	['G#3', 'A#3', 'E#4', 'B4']
61.0	16	2.0	0.25	0.5	['A#3', 'E#4', 'G#4', 'A#4']
61.5	16	2.5	0.125	0.5	['E#4', 'G#4', 'A#4']
62.0	16	3.0	0.5	0.5	['G#4', 'A#4', 'E#5']
62.5	16	3.5	0.125	0.5	['G#4', 'A#4', 'E#5']
63.0	16	4.0	0.25	0.5	['B4']
63.5	16	4.5	0.125	0.5	['A#4']
64.0	17	1.0	1.0	0.5	['D#2', 'D#3', 'F#3', 'A#3', 'D#4', 'F#4', 'A#4']
64.5	17	1.5	0.125	0.5	['D#2', 'D#3', 'F#3', 'A#3', 'D#4', 'F#4', 'G#5']
65.0	17	2.0	0.25	0.5	['F#3', 'A#3', 'D#4', 'F#4', 'A#4', 'D#5', 'F#5']
65.5	17	2.5	0.125	0.5	['F#3', 'A#3', 'D#4', 'F#4', 'A#4', 'D#5', 'E#5']
