0.0	1	1	1.0	2.0	['C2', 'G2']
2.0	1	2	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']
3.0	1	2.5	0.25	1.0	['G3', 'C4', 'E4']
4.0	2	1	1.0	2.0	['C2', 'G2']
6.0	2	2	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']
7.0	2	2.5	0.25	1.0	['G3', 'C4', 'E4']
8.0	3	1	1.0	2.0	['C2', 'G2']
10.0	3	2	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']
11.0	3	2.5	0.25	1.0	['G3', 'C4', 'E4']
12.0	4	1	1.0	2.0	['C2', 'G2']
14.0	4	2	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']
15.0	4	2.5	0.25	1.0	['G3', 'C4', 'E4']
16.0	5	1	1.0	2.0	['C2', 'G2', 'G5']
18.0	5	2	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'G5']
19.0	5	2.5	0.25	1.0	['G3', 'C4', 'E4', 'G5']
20.0	6	1	1.0	1.0	['C2', 'G2', 'E5']
21.0	6	1.5	0.25	0.5	['C2', 'G2', 'D5']
21.5	6	1.75	0.125	0.5	['C2', 'G2', 'E5']
22.0	6	2	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'C5']
23.0	6	2.5	0.25	0.5	['G3', 'C4', 'E4', 'G4']
23.5	6	2.75	0.125	0.5	['G3', 'C4', 'E4', 'A4']
24.0	7	1	1.0	1.0	['C2', 'G2', 'E4']
25.0	7	1.5	0.25	0.5	['C2', 'G2', 'G4']
25.5	7	1.75	0.125	0.5	['C2', 'G2', 'A4']
26.0	7	2	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'C5']
27.0	7	2.5	0.25	1.0	['G3', 'C4', 'E4', 'E5']
28.0	8	1	1.0	2.0	['D2', 'D3', 'B4', 'F5', 'A5']
30.0	8	2	0.5	1.0	['D2', 'D3', 'G3', 'B3', 'F4', 'G4', 'B4', 'F5', 'A5']
31.0	8	2.5	0.25	1.0	['G3', 'B3', 'F4']
32.0	9	1	1.0	2.0	['G1', 'G2']
34.0	9	2	0.5	1.0	['G1', 'G2', 'G3', 'B3', 'F4', 'G4', 'F5']
35.0	9	2.5	0.25	1.0	['G3', 'B3', 'F4', 'G5']
36.0	10	1	1.0	2.0	['G1', 'G2', 'B5']
38.0	10	2	0.5	1.0	['G1', 'G2', 'G3', 'B3', 'F4', 'G4', 'F5']
39.0	10	2.5	0.25	1.0	['G3', 'B3', 'F4', 'G5']
40.0	11	1	1.0	2.0	['G1', 'G2', 'B5']
42.0	11	2	0.5	1.0	['G1', 'G2', 'G3', 'B3', 'F4', 'G4', 'F5']
43.0	11	2.5	0.25	1.0	['G3', 'B3', 'F4', 'G5']
44.0	12	1	1.0	2.0	['C2', 'G2', 'E5']
46.0	12	2	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'E5']
47.0	12	2.5	0.25	1.0	['G3', 'C4', 'E4', 'E5']
48.0	13	1	1.0	2.0	['C2', 'G2', 'B-5']
50.0	13	2	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'B-5']
51.0	13	2.5	0.25	1.0	['G3', 'C4', 'E4', 'B-5']
52.0	14	1	1.0	1.0	['C2', 'G2', 'E5']
53.0	14	1.5	0.25	0.5	['C2', 'G2', 'D5']
53.5	14	1.75	0.125	0.5	['C2', 'G2', 'E5']
