Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.75	['A#5', 'C#6', 'E6']
0.75	1	2.5	0.25	0.25	['A5', 'C#6', 'E6']
1.0	1	3.0	0.5	0.5	['G#5', 'B5', 'D#6']
1.5	2	1.0	1.0	0.75	['G5', 'B-5', 'D6']
2.25	2	2.5	0.25	0.25	['F#5', 'A5', 'D6']
2.5	2	3.0	0.5	0.5	['E#5', 'G#5', 'C#6']
3.0	3	1.0	1.0	0.75	['E5', 'G5', 'C6']
3.75	3	2.5	0.25	0.25	['E-5', 'F#5', 'C6']
4.0	3	3.0	0.5	0.5	['D5', 'F5', 'B5']
4.5	4	1.0	1.0	0.75	['C#5', 'E5', 'A#5']
5.25	4	2.5	0.25	0.25	['C5', 'E-5', 'A#5']
5.5	4	3.0	0.5	0.5	['B4', 'D5', 'A5']
6.0	5	1.0	1.0	0.75	['B-4', 'C#5', 'G#5']
6.75	5	2.5	0.25	0.25	['B-4', 'C5', 'G#5']
7.0	5	3.0	0.5	0.5	['A4', 'B4', 'G5']
7.5	6	1.0	1.0	0.75	['A4', 'A#4', 'G5']
8.25	6	2.5	0.25	0.25	['A4', 'B4', 'G5']
8.5	6	3.0	0.5	0.5	['A4', 'C5', 'G5']
9.0	7	1.0	1.0	0.75	['A3', 'A4', 'C#5', 'G#5']
9.75	7	2.5	0.25	0.25	['A3', 'A4', 'C5', 'G#5']
10.0	7	3.0	0.5	0.5	['A4', 'B4', 'G5']
10.5	8	1.0	1.0	0.75	['A4', 'A#4', 'G5']
11.25	8	2.5	0.25	0.25	['A4', 'B4', 'G5']
11.5	8	3.0	0.5	0.5	['A4', 'C5', 'G5']
12.0	9	1.0	1.0	0.75	['D3', 'C#5', 'G#5']
12.75	9	2.5	0.25	0.25	['D3', 'D5', 'G#5']
13.0	9	3.0	0.5	0.5	['D3', 'D4', 'F#4', 'A4', 'C5', 'D#5', 'A5']
13.5	10	1.0	1.0	0.75	['D3', 'D4', 'F#4', 'A4', 'C5', 'E5', 'A5']
14.25	10	2.5	0.25	0.25	['D3', 'D4', 'F#4', 'A4', 'C5', 'F5', 'A5']
14.5	10	3.0	0.5	0.5	['D3', 'D4', 'F#4', 'A4', 'C5', 'F#5', 'A5']
15.0	11	1.0	1.0	1.0	['D3', 'D4', 'F#4', 'A4', 'C5', 'F#5', 'A5', 'C6']
16.0	11	2.0	0.5	1.0	['D3', 'D4', 'F#4', 'A4', 'C5', 'E5', 'F#5', 'A5', 'C6']
17.0	12	1.0	1.0	1.0	['D3', 'D4', 'F#4', 'A4', 'C5', 'E5', 'F#5', 'A5', 'C6']
18.0	12	2.0	0.5	1.0	['D3', 'D4', 'F#4', 'A4', 'C5', 'E-5', 'F#5', 'A5', 'C6']
19.0	13	1.0	1.0	0.75	['G2', 'G3', 'D4']
19.75	13	2.5	0.25	0.25	['G2', 'G3', 'E4']
20.0	13	3.0	0.5	0.5	['G2', 'G3', 'B3', 'D4', 'G4', 'B4', 'G5', 'B5']
20.5	14	1.0	1.0	1.0	['G2', 'G3', 'D4', 'G4', 'B4', 'G5', 'B5']
21.5	14	2.0	0.5	0.5	['D4', 'G4', 'B4', 'G5', 'B5']
22.0	14	2.5	0.25	0.5	['B4']
22.5	15	1.0	1.0	0.75	['A2', 'A3', 'C5']
23.25	15	2.5	0.25	0.25	['A2', 'A3', 'E4']
23.5	15	3.0	0.5	0.5	['A2', 'A3', 'E4', 'G4', 'C5', 'E5', 'G5', 'C6']
24.0	16	1.0	1.0	1.0	['A2', 'A3', 'E4', 'F#4', 'G4', 'C5', 'E5', 'G5', 'C6']
