Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['E-2', 'E-3', 'G3', 'B-3', 'E-4']
1.0	1	2.0	0.5	2.0	['B-1', 'B-2', 'B-3', 'D4', 'F4']
3.0	2	1.0	1.0	1.0	['E-2', 'E-3', 'B-3', 'E-4', 'G4']
4.0	2	2.0	0.5	2.0	['F2', 'F3', 'B-3', 'D4', 'A-4']
6.0	3	1.0	1.0	1.0	['G2', 'G3', 'B-3', 'E-4', 'B-4']
7.0	3	2.0	0.5	2.0	['A-2', 'A-3', 'C4', 'E-4', 'C5']
9.0	4	1.0	1.0	1.0	['B-2', 'B-3', 'D4', 'G4', 'D5']
10.0	4	2.0	0.5	2.0	['C3', 'C4', 'E-4', 'G4', 'E-5']
12.0	5	1.0	1.0	1.0	['A-2', 'A-3', 'C4', 'E-4', 'C5']
13.0	5	2.0	0.5	2.0	['G2', 'G3', 'B-3', 'E-4', 'B-4']
15.0	6	1.0	1.0	1.0	['F2', 'F3', 'B-3', 'D4', 'A-4']
16.0	6	2.0	0.5	2.0	['E-2', 'E-3', 'B-3', 'E-4', 'G4']
18.0	7	1.0	1.0	1.0	['B-1', 'B-2', 'B-3', 'E-4', 'F4']
19.0	7	2.0	0.5	1.0	['B-1', 'B-2', 'B-3', 'D4', 'F4']
20.0	7	3.0	0.5	0.5	['B-1', 'B-2', 'D4', 'F4']
20.5	7	3.5	0.25	0.5	['E-2', 'E-3', 'G3', 'B-3', 'E-4']
21.0	8	1.0	1.0	2.0	['E-2', 'E-3', 'G3', 'B-3', 'E-4']
23.0	8	3.0	0.5	1.0	
24.0	9	1.0	1.0	1.0	['E-2', 'E-3', 'G3', 'B-3', 'E-4']
25.0	9	2.0	0.5	2.0	['B-1', 'B-2', 'B-3', 'D4', 'F4']
27.0	10	1.0	1.0	1.0	['E-2', 'E-3', 'B-3', 'E-4', 'G4']
28.0	10	2.0	0.5	2.0	['F2', 'F3', 'B-3', 'D4', 'A-4']
30.0	11	1.0	1.0	1.0	['G2', 'G3', 'B-3', 'E-4', 'B-4']
31.0	11	2.0	0.5	2.0	['A-2', 'A-3', 'C4', 'E-4', 'C5']
33.0	12	1.0	1.0	1.0	['B-2', 'B-3', 'D4', 'F4']
34.0	12	2.0	0.5	1.0	['E-2', 'E-3', 'B-3', 'E-4', 'G4']
35.0	12	3.0	0.5	1.0	['E-2', 'E-3', 'B-3', 'E-4', 'G4']
36.0	13	1.0	1.0	1.0	['G2', 'G3', 'B-3', 'E-4', 'B-4']
37.0	13	2.0	0.5	2.0	['A-2', 'A-3', 'C4', 'E-4', 'C5']
39.0	14	1.0	1.0	1.0	['B2', 'B3', 'D4', 'G4', 'D5']
40.0	14	2.0	0.5	2.0	['C3', 'C4', 'E-4', 'G4', 'E-5']
42.0	15	1.0	1.0	1.0	['F2', 'F3', 'D4', 'F4', 'D5']
43.0	15	2.0	0.5	1.5	['A2', 'A3', 'E-4', 'F4', 'C5']
44.5	15	3.5	0.25	0.5	['B-2', 'B-3', 'D4', 'F4', 'B-4']
45.0	16	1.0	1.0	1.0	['B-2', 'B-3', 'D4', 'F4', 'B-4']
46.0	16	2.0	0.5	1.0	['F2', 'F3', 'B-3', 'D4', 'A-4', 'B-4']
47.0	16	3.0	0.5	1.0	['F2', 'F3', 'B-3', 'D4', 'A-4']
48.0	17	1.0	1.0	1.0	['E-2', 'E-3', 'G3', 'B-3', 'E-4']
49.0	17	2.0	0.5	2.0	['B-1', 'B-2', 'B-3', 'D4', 'F4']
51.0	18	1.0	1.0	1.0	['E-2', 'E-3', 'B-3', 'E-4', 'G4']
