Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	1.0	['F1', 'A-1', 'C2', 'F2', 'F5', 'A-5', 'C6']
1.0	1	2.0	0.25	1.0	['F1', 'A-1', 'C2', 'F2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
2.0	1	3.0	0.5	1.0	['F1', 'A-1', 'C2', 'F2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
3.0	1	4.0	0.25	1.0	['F1', 'A-1', 'C2', 'F2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
4.0	2	1.0	1.0	1.0	['F1', 'A-1', 'C2', 'F2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
5.0	2	2.0	0.25	1.0	['F1', 'A-1', 'C2', 'F2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
6.0	2	3.0	0.5	1.0	['F1', 'A-1', 'C2', 'F2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
7.0	2	4.0	0.25	0.5	['F1', 'A-1', 'C2', 'F2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
7.5	2	4.5	0.125	0.5	['F1', 'A-1', 'C2', 'F2', 'C4', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
8.0	3	1.0	1.0	1.0	['F1', 'A-1', 'C2', 'F2', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
9.0	3	2.0	0.25	0.67	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
9.67	3	2.67	0.0625	0.17	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
9.83	3	2.83	0.0625	0.17	['F4', 'G4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
10.0	3	3.0	0.5	0.67	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
10.67	3	3.67	0.0625	0.17	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
10.83	3	3.83	0.0625	0.17	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
11.0	3	4.0	0.25	0.67	['E-4', 'G4', 'B-4', 'E-5', 'G5', 'B-5', 'E-6']
11.67	3	4.67	0.0625	0.33	['E-4', 'G4', 'B-4', 'E-5', 'G5', 'B-5', 'E-6']
12.0	4	1.0	1.0	1.0	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
13.0	4	2.0	0.25	0.25	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
13.25	4	2.25	0.0625	0.25	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
13.5	4	2.5	0.125	0.25	['F4', 'G4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
13.75	4	2.75	0.0625	0.25	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
14.0	4	3.0	0.5	0.33	['C4', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
14.33	4	3.33	0.0625	0.33	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
14.67	4	3.67	0.0625	0.33	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
15.0	4	4.0	0.25	0.67	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
15.67	4	4.67	0.0625	0.17	['E4', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
15.83	4	4.83	0.0625	0.17	['F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
16.0	5	1.0	1.0	1.0	['C4', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
17.0	5	2.0	0.25	1.0	['C4', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
18.0	5	3.0	0.5	0.25	['C4', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
18.25	5	3.25	0.0625	0.25	['C4', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
18.5	5	3.5	0.125	0.25	['C4', 'F4', 'G4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
18.75	5	3.75	0.0625	0.25	['C4', 'F4', 'A-4', 'C5', 'F5', 'A-5', 'C6']
19.0	5	4.0	0.25	0.67	['C4', 'G4', 'C5', 'E5', 'B-5', 'C6']
19.67	5	4.67	0.0625	0.33	['C4', 'G4', 'C5', 'E5', 'B-5', 'C6']
20.0	6	1.0	1.0	0.5	['F1', 'A-1', 'C2', 'F2', 'C4', 'F5', 'A-5', 'C6']
20.5	6	1.5	0.125	1.5	['F1', 'A-1', 'C2', 'C4', 'F5', 'A-5', 'C6']
22.0	6	3.0	0.5	0.25	['F1', 'A-1', 'C2', 'C4', 'F5', 'A-5', 'C6']
22.25	6	3.25	0.0625	0.75	['F2', 'C4', 'F5', 'A-5', 'C6']
23.0	6	4.0	0.25	0.33	['F2', 'C4', 'F5', 'A-5', 'C6']
23.33	6	4.33	0.0625	0.17	['F2', 'F5', 'A-5', 'C6']
23.5	6	4.5	0.125	0.17	['F2']
23.67	6	4.67	0.0625	0.33	['F2', 'C4']
24.0	7	1.0	1.0	1.0	['F1', 'A-1', 'C2', 'F2', 'C5', 'F5', 'A-5', 'C6']
