Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['E2']
0.5	1	1.5	0.125	1.0	['E2', 'B3', 'E4', 'G#4', 'B4', 'E5', 'G#5']
1.5	1	2.5	0.125	1.0	['E2', 'B#3', 'E4', 'G#4', 'B#4', 'E5', 'G#5']
2.5	1	3.5	0.125	1.0	['E2', 'C#4', 'E4', 'G#4', 'C#5', 'E5', 'G#5']
3.5	1	4.5	0.125	0.5	['E2', 'C4', 'E4', 'G#4', 'C5', 'E5', 'G#5']
4.0	2	1.0	1.0	0.5	['E2']
4.5	2	1.5	0.125	1.0	['E2', 'B3', 'E4', 'G#4', 'B4', 'E5', 'G#5']
5.5	2	2.5	0.125	1.0	['E2', 'B#3', 'E4', 'G#4', 'B#4', 'E5', 'G#5']
6.5	2	3.5	0.125	1.0	['E2', 'C#4', 'E4', 'G#4', 'C#5', 'E5', 'G#5']
7.5	2	4.5	0.125	0.5	['E2', 'C4', 'E4', 'G#4', 'C5', 'E5', 'G#5']
8.0	3	1.0	1.0	0.5	['E2', 'G#4']
8.5	3	1.5	0.125	0.5	['E2', 'B3', 'E4', 'G#4', 'B4', 'E5', 'G#5']
9.0	3	2.0	0.25	0.5	['E2', 'B3', 'E4', 'G#4', 'B4', 'E5', 'G#5']
9.5	3	2.5	0.125	0.25	['E2', 'B#3', 'E4', 'G#4', 'B#4', 'E5', 'G#5']
9.75	3	2.75	0.0625	0.25	['E2', 'B#3', 'E4', 'G#4', 'B#4', 'E5', 'G#5']
10.0	3	3.0	0.5	0.5	['E2', 'B#3', 'E4', 'G#4', 'B#4', 'E5', 'G#5']
10.5	3	3.5	0.125	0.25	['E2', 'C#4', 'E4', 'G#4', 'C#5', 'E5', 'G#5']
10.75	3	3.75	0.0625	0.25	['E2', 'C#4', 'E4', 'G#4', 'C#5', 'E5', 'G#5']
11.0	3	4.0	0.25	0.5	['E2', 'C#4', 'E4', 'G#4', 'C#5', 'E5', 'G#5']
11.5	3	4.5	0.125	0.25	['E2', 'C4', 'E4', 'G#4', 'C5', 'E5', 'G#5']
11.75	3	4.75	0.0625	0.25	['E2', 'C4', 'E4', 'G#4', 'C5', 'E5', 'G#5']
12.0	4	1.0	1.0	0.5	['E2', 'G#4', 'B4', 'E5', 'G#5']
12.5	4	1.5	0.125	1.0	['E2', 'B3', 'E4', 'G#4', 'E5', 'G#5', 'E6']
13.5	4	2.5	0.125	0.5	['E2', 'B3', 'E4', 'G#4', 'E5', 'G#5', 'D#6']
14.0	4	3.0	0.5	0.5	['E2', 'B3', 'E4', 'G#4', 'E5', 'G#5', 'D#6']
14.5	4	3.5	0.125	0.5	['E2', 'B3', 'E4', 'G#4', 'E5', 'G#5', 'C#6']
15.0	4	4.0	0.25	0.5	['E2', 'B3', 'E4', 'G#4', 'E5', 'G#5', 'C#6']
15.5	4	4.5	0.125	0.5	['E2', 'B3', 'E4', 'G#4', 'A4', 'E5', 'G#5', 'B5']
16.0	5	1.0	1.0	0.5	['B1', 'G#4', 'E5', 'G#5', 'B5']
16.5	5	1.5	0.125	0.5	['B1', 'B3', 'E4', 'G#4', 'G#5', 'B5', 'G#6']
17.0	5	2.0	0.25	0.5	['B1', 'B3', 'E4', 'G#4', 'G#5', 'B5', 'G#6']
17.5	5	2.5	0.125	1.0	['B1', 'B3', 'E4', 'G#4', 'G#5', 'B5', 'F#6']
18.5	5	3.5	0.125	0.5	['B1', 'B3', 'E4', 'G#4', 'G#5', 'B5', 'E6']
19.0	5	4.0	0.25	0.5	['B1', 'B3', 'C#4', 'E4', 'G#4', 'G#5', 'B5', 'E6']
19.5	5	4.5	0.125	0.5	['B1', 'B3', 'D#4', 'F#4', 'A4', 'A5', 'B5', 'D#6']
20.0	6	1.0	1.0	0.5	['E2', 'E4', 'G#5', 'B5', 'E6']
20.5	6	1.5	0.125	1.0	['E2', 'B3', 'E4', 'G#4', 'B4', 'E5', 'G#5']
21.5	6	2.5	0.125	1.0	['E2', 'B#3', 'E4', 'G#4', 'B#4', 'E5', 'G#5']
22.5	6	3.5	0.125	1.0	['E2', 'C#4', 'E4', 'G#4', 'C#5', 'E5', 'G#5']
23.5	6	4.5	0.125	0.5	['E2', 'C4', 'E4', 'G#4', 'C5', 'E5', 'G#5']
24.0	7	1.0	1.0	0.5	['G#2', 'G#4']
24.5	7	1.5	0.125	0.5	['G#2', 'D#4', 'G#4', 'C#5', 'D#5', 'F#5', 'C#6']
25.0	7	2.0	0.25	0.5	['G#2', 'D#4', 'G#4', 'C#5', 'D#5', 'F#5', 'C#6']
25.5	7	2.5	0.125	0.25	['G#2', 'D#4', 'G#4', 'B#4', 'D#5', 'F#5', 'B#5']
25.75	7	2.75	0.0625	0.25	['G#2', 'D#4', 'G#4', 'B#4', 'D#5', 'F#5', 'B#5']
26.0	7	3.0	0.5	0.5	['G#2', 'D#4', 'G#4', 'B#4', 'D#5', 'F#5', 'B#5']
26.5	7	3.5	0.125	0.25	['G#2', 'D#4', 'G#4', 'C#5', 'D#5', 'F#5', 'A5']
26.75	7	3.75	0.0625	0.25	['G#2', 'D#4', 'G#4', 'C#5', 'D#5', 'F#5', 'A5']
27.0	7	4.0	0.25	0.5	['G#2', 'D#4', 'G#4', 'C#5', 'D#5', 'F#5', 'A5']
